{'statement': 'Between London and Milan, the smaller city is Milan.', 'answer': 'Milan', 'candidate': 'London'}
{'statement': 'Between Lagos and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Lagos'}
{'statement': 'Between Douala and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Douala'}
{'statement': 'Between Jakarta and Hanoi, the smaller city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Jakarta'}
{'statement': 'Between Houston and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Houston'}
{'statement': 'Between Karachi and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Karachi'}
{'statement': 'Between Melbourne and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Melbourne'}
{'statement': 'Between Tashkent and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Tashkent'}
{'statement': 'Between Luanda and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Luanda'}
{'statement': 'Between Guadalajara and Harare, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Guadalajara'}
{'statement': 'Between Nairobi and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Nairobi'}
{'statement': 'Between Hanoi and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Hanoi'}
{'statement': 'Between Berlin and Ndola, the smaller city is Ndola.', 'answer': 'Ndola', 'candidate': 'Berlin'}
{'statement': 'Between Ho Chi Minh City and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Ankara and Cayenne, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Ankara'}
{'statement': 'Between Algiers and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Algiers'}
{'statement': 'Between Manila and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Manila'}
{'statement': 'Between Berlin and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Berlin'}
{'statement': 'Between Berlin and Córdoba, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Berlin'}
{'statement': 'Between Jakarta and Luanda, the smaller city is Luanda.', 'answer': 'Luanda', 'candidate': 'Jakarta'}
{'statement': 'Between Ankara and Brisbane, the smaller city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Ankara'}
{'statement': 'Between Karachi and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Karachi'}
{'statement': 'Between Phnom Penh and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Phnom Penh'}
{'statement': 'Between Paris and Juba, the smaller city is Juba.', 'answer': 'Juba', 'candidate': 'Paris'}
{'statement': 'Between Santiago and Indianapolis, the smaller city is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Santiago'}
{'statement': 'Between Buenos Aires and Frankfurt, the smaller city is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Buenos Aires'}
{'statement': 'Between Manila and Ankara, the smaller city is Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'Between Guadalajara and Manaus, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Guadalajara'}
{'statement': 'Between Bangkok and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Rome, the smaller city is Rome.', 'answer': 'Rome', 'candidate': 'Lima'}
{'statement': 'Between London and Mendoza, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'London'}
{'statement': 'Between Dar es Salaam and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Bangkok and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Bangkok'}
{'statement': 'Between Tashkent and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Tashkent'}
{'statement': 'Between Santiago and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Santiago'}
{'statement': 'Between Nairobi and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Nairobi'}
{'statement': 'Between Mexico City and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Mexico City'}
{'statement': 'Between Bogotá and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Bogotá'}
{'statement': 'Between Mumbai and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Mumbai'}
{'statement': 'Between Brasília and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Brasília'}
{'statement': 'Between Buenos Aires and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Buenos Aires'}
{'statement': 'Between Sydney and Bujumbura, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Sydney'}
{'statement': 'Between Moscow and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Moscow'}
{'statement': 'Between Karachi and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Karachi'}
