{'statement': 'Between Guangzhou and Antofagasta, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Antofagasta'}
{'statement': 'Between Tashkent and Suwałki, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Suwałki'}
{'statement': 'Between Buenos Aires and Porto Alegre, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Porto Alegre'}
{'statement': 'Between Guadalajara and Lhasa, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Lhasa'}
{'statement': 'Between Saint Petersburg and Upington, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Upington'}
{'statement': 'Between Fukuoka and Ségou, the bigger city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Ségou'}
{'statement': 'Between Los Angeles and Murmansk, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Murmansk'}
{'statement': 'Between Harare and Entebbe, the bigger city is Harare.', 'answer': 'Harare', 'candidate': 'Entebbe'}
{'statement': 'Between Kabul and Lviv, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Lviv'}
{'statement': 'Between Kuwait City and Canberra, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Canberra'}
{'statement': 'Between Jakarta and Changsha, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Changsha'}
{'statement': 'Between Bogotá and Pretoria, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Pretoria'}
{'statement': 'Between Manila and Toamasina, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Toamasina'}
{'statement': 'Between Nairobi and Antofagasta, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Antofagasta'}
{'statement': 'Between Melbourne and Amsterdam, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Amsterdam'}
{'statement': 'Between Kabul and Upington, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Upington'}
{'statement': 'Between Rome and Belize City, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Belize City'}
{'statement': 'Between Santiago and Thiès, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Thiès'}
{'statement': 'Between Johannesburg and Podgorica, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Podgorica'}
{'statement': 'Between Hanoi and Abéché, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Abéché'}
{'statement': 'Between Berlin and Christchurch, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Christchurch'}
{'statement': 'Between Jakarta and San José, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'San José'}
{'statement': 'Between Guadalajara and Irkutsk, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Irkutsk'}
{'statement': 'Between Kuwait City and Bata, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Bata'}
{'statement': 'Between London and Copenhagen, the bigger city is London.', 'answer': 'London', 'candidate': 'Copenhagen'}
{'statement': 'Between Luanda and Pretoria, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Pretoria'}
{'statement': 'Between Perth and Toliara, the bigger city is Perth.', 'answer': 'Perth', 'candidate': 'Toliara'}
{'statement': 'Between Riyadh and Oslo, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Oslo'}
{'statement': 'Between Luanda and Chihuahua, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Chihuahua'}
{'statement': 'Between Dar es Salaam and Porto Alegre, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Porto Alegre'}
