{'statement': "I don't like expensive restaurants. Between Piper's Pub And Grill and Branca, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between The Duke of Devon and Sweet Jesus, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'The Duke of Devon'}
{'statement': "I don't like expensive restaurants. Between The Empire and Verona Restaurant, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Eastern legend and Hawthorne Food and Drink, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I don't like expensive restaurants. Between Solero Mediterranean Bakery and Eggspectation, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': "I don't like expensive restaurants. Between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Watson's and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Watson's"}
{'statement': "I don't like expensive restaurants. Between It's All Grk and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "It's All Grk"}
{'statement': "I don't like expensive restaurants. Between Roncy's Bean and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': "I don't like expensive restaurants. Between Helena's Magic Kitchen and Paradise Farms Prime Beef Bistro, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like expensive restaurants. Between Hina Sushi and Bagel Nash, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Hina Sushi'}
{'statement': "I don't like expensive restaurants. Between Anatolia Restaurant and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like expensive restaurants. Between Kairali - Taste of Kerala and Eastern legend, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Kairali - Taste of Kerala'}
