{'statement': 'Between Bujumbura and Guangzhou, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Guangzhou'}
{'statement': 'Between Kabul and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Kabul'}
{'statement': 'Between Kunming and Manila, the smaller city is Kunming.', 'answer': 'Kunming', 'candidate': 'Manila'}
{'statement': 'Between Algiers and Mexico City, the smaller city is Algiers.', 'answer': 'Algiers', 'candidate': 'Mexico City'}
{'statement': 'Between Mahajanga and Ankara, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ankara'}
{'statement': 'Between Entebbe and Mumbai, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Mumbai'}
{'statement': 'Between Bahía Blanca and Kano, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Kano'}
{'statement': 'Between Luanda and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Luanda'}
{'statement': 'Between Panama City and Paris, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Paris'}
{'statement': 'Between Surabaya and Buenos Aires, the smaller city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Buenos Aires'}
{'statement': 'Between Bangkok and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Bangkok'}
{'statement': 'Between Kansas City and Johannesburg, the smaller city is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Johannesburg'}
{'statement': 'Between Algiers and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Algiers'}
{'statement': 'Between Toronto and Moscow, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Moscow'}
{'statement': 'Between Houston and Durban, the smaller city is Durban.', 'answer': 'Durban', 'candidate': 'Houston'}
{'statement': 'Between Shanghai and Santiago, the smaller city is Santiago.', 'answer': 'Santiago', 'candidate': 'Shanghai'}
{'statement': 'Between Mendoza and Riyadh, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Riyadh'}
{'statement': 'Between Medellín and Nairobi, the smaller city is Medellín.', 'answer': 'Medellín', 'candidate': 'Nairobi'}
{'statement': 'Between Berlin and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Berlin'}
{'statement': 'Between Hamilton and Saint Petersburg, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Shanghai and Baltimore, the smaller city is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Shanghai'}
{'statement': 'Between Mexico City and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Mexico City'}
{'statement': 'Between Santiago and Guangzhou, the smaller city is Santiago.', 'answer': 'Santiago', 'candidate': 'Guangzhou'}
