prompt,completion
"In terms of price, from 1 being affordable and 5 expensive, Garden Restaurant is a", 2
"In terms of distance, Garden Restaurant is", 3.5 miles away
"In terms of price, from 1 being affordable and 5 expensive, Branca is a", 3
"In terms of distance, Branca is", 2.5 miles away
"In terms of price, from 1 being affordable and 5 expensive, Verona Restaurant is a", 3
"In terms of distance, Verona Restaurant is", 4.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, Milestones Restaurants is a", 2
"In terms of distance, Milestones Restaurants is", 2.75 miles away
"In terms of price, from 1 being affordable and 5 expensive, Golden Joy Hakka Restaurant is a", 1
"In terms of distance, Golden Joy Hakka Restaurant is", 3.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, Bulk Barn is a", 2
"In terms of distance, Bulk Barn is", 3.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, St. Clair Shawarma and Falafel is a", 1
"In terms of distance, St. Clair Shawarma and Falafel is", 6.75 miles away
"In terms of price, from 1 being affordable and 5 expensive, Ciao Europa wine bar is a", 2
"In terms of distance, Ciao Europa wine bar is", 5.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, Le Papillon Park is a", 2
"In terms of distance, Le Papillon Park is", 3.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, To-ne Sushi is a", 2
"In terms of distance, To-ne Sushi is", 7.75 miles away
"In terms of price, from 1 being affordable and 5 expensive, Taste of Greek Cuisine is a", 2
"In terms of distance, Taste of Greek Cuisine is", 3.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, Pita Lite is a", 1
"In terms of distance, Pita Lite is", 3.0 miles away
"In terms of price, from 1 being affordable and 5 expensive, Kibo Sushi House is a", 2
"In terms of distance, Kibo Sushi House is", 1.75 miles away
"In terms of price, from 1 being affordable and 5 expensive, The Coffee Pocket is a", 1
"In terms of distance, The Coffee Pocket is", 7.0 miles away
"In terms of price, from 1 being affordable and 5 expensive, Yes To Fresh is a", 1
"In terms of distance, Yes To Fresh is", 0.25 mile away
"In terms of price, from 1 being affordable and 5 expensive, Pizza Pizza is a", 1
"In terms of distance, Pizza Pizza is", 3.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, King Palace is a", 2
"In terms of distance, King Palace is", 3.0 miles away
"In terms of price, from 1 being affordable and 5 expensive, Pizzeria Libretto is a", 2
"In terms of distance, Pizzeria Libretto is", 0.5 mile away
"In terms of price, from 1 being affordable and 5 expensive, Dim Sum King Seafood Restaurant is a", 2
"In terms of distance, Dim Sum King Seafood Restaurant is", 6.5 miles away
"In terms of price, from 1 being affordable and 5 expensive, Shell is a", 3
"In terms of distance, Shell is", 4.25 miles away
"In terms of price, from 1 being affordable and 5 expensive, Popeyes Louisiana Kitchen is a", 2
"In terms of distance, Popeyes Louisiana Kitchen is", 4.0 miles away
"In terms of price, from 1 being affordable and 5 expensive, Magic Oven is a", 2
"In terms of distance, Magic Oven is", 3.5 miles away
