{'statement': 'Between Córdoba and Abéché, the city with colder weather is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Abéché'}
{'statement': 'Between Fairbanks and Wau, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Wau'}
{'statement': 'Between Mumbai and Rome, the city with colder weather is Rome.', 'answer': 'Rome', 'candidate': 'Mumbai'}
{'statement': 'Between Erzurum and Sydney, the city with colder weather is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Sydney'}
{'statement': 'Between Ulaanbaatar and Chihuahua, the city with colder weather is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Chihuahua'}
{'statement': 'Between Mahajanga and Skopje, the city with colder weather is Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'Between Cayenne and Ürümqi, the city with colder weather is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cayenne'}
{'statement': 'Between Bergen and Fairbanks, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bergen'}
{'statement': 'Between Oslo and Lima, the city with colder weather is Oslo.', 'answer': 'Oslo', 'candidate': 'Lima'}
{'statement': 'Between Abéché and Baku, the city with colder weather is Baku.', 'answer': 'Baku', 'candidate': 'Abéché'}
{'statement': 'Between Podgorica and Belize City, the city with colder weather is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Belize City'}
{'statement': 'Between Frankfurt and Belize City, the city with colder weather is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Belize City'}
{'statement': 'Between Algiers and Willemstad, the city with colder weather is Algiers.', 'answer': 'Algiers', 'candidate': 'Willemstad'}
{'statement': 'Between Port Moresby and Moscow, the city with colder weather is Moscow.', 'answer': 'Moscow', 'candidate': 'Port Moresby'}
{'statement': 'Between Bangui and Halifax, the city with colder weather is Halifax.', 'answer': 'Halifax', 'candidate': 'Bangui'}
{'statement': 'Between Minsk and Sokoto, the city with colder weather is Minsk.', 'answer': 'Minsk', 'candidate': 'Sokoto'}
{'statement': 'Between Denver and Lake Havasu City, the city with colder weather is Denver.', 'answer': 'Denver', 'candidate': 'Lake Havasu City'}
{'statement': 'Between San Juan and Toronto, the city with colder weather is Toronto.', 'answer': 'Toronto', 'candidate': 'San Juan'}
{'statement': 'Between Malabo and Cape Town, the city with colder weather is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Malabo'}
{'statement': 'Between Riyadh and Napier, the city with colder weather is Napier.', 'answer': 'Napier', 'candidate': 'Riyadh'}
{'statement': 'Between Saint Petersburg and Karachi, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Karachi'}
{'statement': 'Between Boise and Cabo San Lucas, the city with colder weather is Boise.', 'answer': 'Boise', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Minsk and Phnom Penh, the city with colder weather is Minsk.', 'answer': 'Minsk', 'candidate': 'Phnom Penh'}
{'statement': 'Between Manila and Ankara, the city with colder weather is Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'Between Juba and Mexico City, the city with colder weather is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Juba'}
{'statement': 'Between Niamey and Campos do Jordão, the city with colder weather is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Niamey'}
{'statement': 'Between Phoenix and Denver, the city with colder weather is Denver.', 'answer': 'Denver', 'candidate': 'Phoenix'}
{'statement': 'Between Kingston and Boise, the city with colder weather is Boise.', 'answer': 'Boise', 'candidate': 'Kingston'}
{'statement': 'Between Calgary and Lagos, the city with colder weather is Calgary.', 'answer': 'Calgary', 'candidate': 'Lagos'}
