{'statement': 'Between Suva and Berlin, the city with lower average temperature is Berlin.', 'answer': 'Berlin', 'candidate': 'Suva'}
{'statement': 'Between Baghdad and Halifax, the city with lower average temperature is Halifax.', 'answer': 'Halifax', 'candidate': 'Baghdad'}
{'statement': 'Between Abéché and Kuopio, the city with lower average temperature is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Abéché'}
{'statement': 'Between Garoua and Milan, the city with lower average temperature is Milan.', 'answer': 'Milan', 'candidate': 'Garoua'}
{'statement': 'Between Riyadh and Indianapolis, the city with lower average temperature is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Riyadh'}
{'statement': 'Between Lagos and Podgorica, the city with lower average temperature is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Lagos'}
{'statement': 'Between Mexicali and Milan, the city with lower average temperature is Milan.', 'answer': 'Milan', 'candidate': 'Mexicali'}
{'statement': 'Between Mendoza and Irkutsk, the city with lower average temperature is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Mendoza'}
{'statement': 'Between San Juan and Baltimore, the city with lower average temperature is Baltimore.', 'answer': 'Baltimore', 'candidate': 'San Juan'}
{'statement': 'Between Garissa and Chicago, the city with lower average temperature is Chicago.', 'answer': 'Chicago', 'candidate': 'Garissa'}
{'statement': 'Between Pontianak and Moscow, the city with lower average temperature is Moscow.', 'answer': 'Moscow', 'candidate': 'Pontianak'}
{'statement': 'Between Yaoundé and Minsk, the city with lower average temperature is Minsk.', 'answer': 'Minsk', 'candidate': 'Yaoundé'}
{'statement': 'Between Mahajanga and Lhasa, the city with lower average temperature is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Mahajanga'}
{'statement': 'Between Ouahigouya and Palmerston North, the city with lower average temperature is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Ouahigouya'}
{'statement': 'Between Hat Yai and Brussels, the city with lower average temperature is Brussels.', 'answer': 'Brussels', 'candidate': 'Hat Yai'}
{'statement': 'Between Yaoundé and Vladivostok, the city with lower average temperature is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Yaoundé'}
{'statement': 'Between Rangpur and Ürümqi, the city with lower average temperature is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Rangpur'}
{'statement': 'Between San Salvador and Berlin, the city with lower average temperature is Berlin.', 'answer': 'Berlin', 'candidate': 'San Salvador'}
{'statement': 'Between Nouakchott and Chicago, the city with lower average temperature is Chicago.', 'answer': 'Chicago', 'candidate': 'Nouakchott'}
{'statement': 'Between Phoenix and Zagreb, the city with lower average temperature is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Phoenix'}
{'statement': 'Between Malabo and Christchurch, the city with lower average temperature is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Malabo'}
{'statement': 'Between Belize City and Antofagasta, the city with lower average temperature is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Belize City'}
{'statement': 'Between La Paz and Hobart, the city with lower average temperature is Hobart.', 'answer': 'Hobart', 'candidate': 'La Paz'}
{'statement': 'Between Palembang and Halifax, the city with lower average temperature is Halifax.', 'answer': 'Halifax', 'candidate': 'Palembang'}
{'statement': 'Between Lomé and Napier, the city with lower average temperature is Napier.', 'answer': 'Napier', 'candidate': 'Lomé'}
{'statement': 'Between Suva and Bucharest, the city with lower average temperature is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Suva'}
{'statement': 'Between Antsiranana and Nur-Sultan, the city with lower average temperature is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Antsiranana'}
{'statement': 'Between Mumbai and Nur-Sultan, the city with lower average temperature is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Mumbai'}
{'statement': 'Between Lagos and Anchorage, the city with lower average temperature is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Lagos'}
{'statement': 'Between Garoua and Pittsburgh, the city with lower average temperature is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Garoua'}
{'statement': 'Between Barranquilla and Sacramento, the city with lower average temperature is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Barranquilla'}
{'statement': 'Between Muscat and Vienna, the city with lower average temperature is Vienna.', 'answer': 'Vienna', 'candidate': 'Muscat'}
