{'statement': 'Someone is looking for a small city to visit. Between Chicago and Mandalay, this person should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Moscow and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Hamilton, this person should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Yinchuan, this person should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Goiânia, this person should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and Belgrade, this person should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and Ushuaia, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Bogotá and Piura, this person should visit Piura.', 'answer': 'Piura', 'candidate': 'Bogotá'}
{'statement': 'Someone is looking for a small city to visit. Between Shanghai and Tauranga, this person should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Bangkok and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Berlin and Garoua, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Suwałki, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Toliara, this person should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Kampala, this person should visit Kampala.', 'answer': 'Kampala', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Baghdad and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Lake Havasu City, this person should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Saint Petersburg and Algiers, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Makurdi, this person should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Cairo'}
