{'statement': 'Someone is looking for a big city to visit. Between Ljubljana and Phoenix, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Ljubljana'}
{'statement': 'Someone is looking for a big city to visit. Between Ho Chi Minh City and Luanda, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a big city to visit. Between Maputo and Shanghai, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Maputo'}
{'statement': 'Someone is looking for a big city to visit. Between Minneapolis and Ljubljana, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Ljubljana'}
{'statement': 'Someone is looking for a big city to visit. Between Cairo and Caracas, this person should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Caracas'}
{'statement': 'Someone is looking for a big city to visit. Between Cabo San Lucas and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Cabo San Lucas'}
{'statement': 'Someone is looking for a big city to visit. Between Upington and Brasília, this person should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Upington'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Manila, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a big city to visit. Between Dar es Salaam and Manaus, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Manaus'}
{'statement': 'Someone is looking for a big city to visit. Between La Ceiba and Addis Ababa, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
{'statement': 'Someone is looking for a big city to visit. Between Bergen and Phoenix, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bergen'}
{'statement': 'Someone is looking for a big city to visit. Between Reykjavík and Houston, this person should visit Houston.', 'answer': 'Houston', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a big city to visit. Between Baku and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Baku'}
{'statement': 'Someone is looking for a big city to visit. Between Changsha and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Changsha'}
{'statement': 'Someone is looking for a big city to visit. Between Ndola and Mumbai, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ndola'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Palembang, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Conakry, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Conakry'}
{'statement': 'Someone is looking for a big city to visit. Between Saint Petersburg and Milwaukee, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Milwaukee'}
{'statement': 'Someone is looking for a big city to visit. Between Christchurch and Los Angeles, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Christchurch'}
{'statement': 'Someone is looking for a big city to visit. Between Honolulu and Ho Chi Minh City, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Honolulu'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Alexandria, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a big city to visit. Between Shanghai and Melbourne, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a big city to visit. Between Bahía Blanca and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Bahía Blanca'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Algiers, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Algiers'}
{'statement': 'Someone is looking for a big city to visit. Between Luanda and La Paz, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Suwałki, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Suwałki'}
{'statement': 'Someone is looking for a big city to visit. Between London and Fairbanks, this person should visit London.', 'answer': 'London', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a big city to visit. Between Paramaribo and Moscow, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Paramaribo'}
{'statement': 'Someone is looking for a big city to visit. Between San Diego and Cape Town, this person should visit San Diego.', 'answer': 'San Diego', 'candidate': 'Cape Town'}
{'statement': 'Someone is looking for a big city to visit. Between Mendoza and Brisbane, this person should visit Brisbane.', 'answer': 'Brisbane', 'candidate': 'Mendoza'}
{'statement': 'Someone is looking for a big city to visit. Between Medellín and Chicago, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Medellín'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Saint Petersburg, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a big city to visit. Between Bucharest and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Bucharest'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Antsiranana, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Antsiranana'}
{'statement': 'Someone is looking for a big city to visit. Between Sacramento and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Sacramento'}
{'statement': 'Someone is looking for a big city to visit. Between Chicago and Irkutsk, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Port Sudan, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a big city to visit. Between Douala and Ankara, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a big city to visit. Between Cairo and Kampala, this person should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Kampala'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Juba, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Juba'}
{'statement': 'Someone is looking for a big city to visit. Between Lake Havasu City and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a big city to visit. Between Belize City and Perth, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a big city to visit. Between Rangpur and Shanghai, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Rangpur'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a big city to visit. Between Baghdad and Lomé, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Lomé'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Nur-Sultan, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Nur-Sultan'}
{'statement': 'Someone is looking for a big city to visit. Between Dar es Salaam and Wellington, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Wellington'}
{'statement': 'Someone is looking for a big city to visit. Between Bishkek and Ho Chi Minh City, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Bishkek'}
{'statement': 'Someone is looking for a big city to visit. Between La Paz and Kano, this person should visit Kano.', 'answer': 'Kano', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a big city to visit. Between Aden and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Aden'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Chihuahua, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Chihuahua'}
{'statement': 'Someone is looking for a big city to visit. Between Villahermosa and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Villahermosa'}
{'statement': 'Someone is looking for a big city to visit. Between Johannesburg and Saskatoon, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a big city to visit. Between Córdoba and Surabaya, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Córdoba'}
{'statement': 'Someone is looking for a big city to visit. Between Riyadh and Wau, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Wau'}
{'statement': 'Someone is looking for a big city to visit. Between Ho Chi Minh City and Palembang, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a big city to visit. Between Cayenne and Harare, this person should visit Harare.', 'answer': 'Harare', 'candidate': 'Cayenne'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Rangpur, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Rangpur'}
{'statement': 'Someone is looking for a big city to visit. Between Baghdad and Toliara, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Toliara'}
{'statement': 'Someone is looking for a big city to visit. Between Reykjavík and Yaoundé, this person should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a big city to visit. Between Brisbane and Alexandria, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Brisbane'}
{'statement': 'Someone is looking for a big city to visit. Between Manila and Tampa, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a big city to visit. Between Tirana and Houston, this person should visit Houston.', 'answer': 'Houston', 'candidate': 'Tirana'}
{'statement': 'Someone is looking for a big city to visit. Between Suva and Toronto, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a big city to visit. Between Ürümqi and Tabora, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Tabora'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Surabaya, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a big city to visit. Between La Paz and Bangkok, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Brussels, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Brussels'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Quito, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Quito'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and Oslo, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Oslo'}
{'statement': 'Someone is looking for a big city to visit. Between Antofagasta and Nairobi, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a big city to visit. Between Baltimore and Gabès, this person should visit Baltimore.', 'answer': 'Baltimore', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Cabo San Lucas, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Cabo San Lucas'}
{'statement': 'Someone is looking for a big city to visit. Between Beirut and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Beirut'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Djibouti, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a big city to visit. Between Tashkent and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Tashkent'}
{'statement': 'Someone is looking for a big city to visit. Between Lviv and Manila, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a big city to visit. Between Tashkent and Willemstad, this person should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a big city to visit. Between Sapporo and Sydney, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Parakou, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Parakou'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Muscat, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Muscat'}
{'statement': 'Someone is looking for a big city to visit. Between Napier and Guadalajara, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Napier'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Garoua, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Sucre, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Sucre'}
{'statement': 'Someone is looking for a big city to visit. Between Fukuoka and Chicago, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a big city to visit. Between Chihuahua and Los Angeles, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Chihuahua'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Melbourne, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Melbourne'}
