{'statement': "You don't like restaurants further away. Between Mi Mi Restaurant and Sushi Shop, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between The Empire and Cafe Jules, you should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Cafe Jules'}
{'statement': "You don't like restaurants further away. Between Roncy's Bean and Milo's Pita, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': "You don't like restaurants further away. Between Solero Mediterranean Bakery and z-teca Gourmet Burritos, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between Green Grotto and Ardor Bistro, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': "You don't like restaurants further away. Between Tian An Cuisine and Oxygen Restaurant & Lounge, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You don't like restaurants further away. Between El Fogón and JJ Bean, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'JJ Bean'}
{'statement': "You don't like restaurants further away. Between Galata Cafe and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "You don't like restaurants further away. Between Druxy's Famous Deli and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like restaurants further away. Between Green Grotto and Anatolia Restaurant, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like restaurants further away. Between Evoo Ristorante and Aroma Espresso Bar, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Aroma Espresso Bar'}
{'statement': "You don't like restaurants further away. Between Watson's and Mirage Grill & Lounge, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like restaurants further away. Between Tik Talk Cafe and Bagel Nash, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Bagel Nash'}
{'statement': "You don't like restaurants further away. Between Mamma's Pizza and Ardor Bistro, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Ardor Bistro'}
{'statement': "You don't like restaurants further away. Between Sushi World and St. Clair Shawarma and Falafel, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'St. Clair Shawarma and Falafel'}
