{'statement': 'Someone is looking for an affordable restaurant. Between Nook and Thompson Rooftop, this person should go to Nook.', 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': 'Someone is looking for an affordable restaurant. Between Mirage Grill & Lounge and Sheriff Broaster Chicken, this person should go to Sheriff Broaster Chicken.', 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'Someone is looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and LCBO, this person should go to Buk Chang Dong Soon Tofu.', 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'LCBO'}
{'statement': 'Someone is looking for an affordable restaurant. Between Juice & Java Cafe and Cake Opera, this person should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Cake Opera'}
{'statement': 'Someone is looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and Hina Sushi, this person should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'Someone is looking for an affordable restaurant. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, this person should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': 'Someone is looking for an affordable restaurant. Between LCBO and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'LCBO'}
{'statement': 'Someone is looking for an affordable restaurant. Between Supermodel Pizza and Lebanese Bakery, this person should go to Supermodel Pizza.', 'answer': 'Supermodel Pizza', 'candidate': 'Lebanese Bakery'}
{'statement': "Someone is looking for an affordable restaurant. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': 'Someone is looking for an affordable restaurant. Between Madras Pantry and Chipotle Mexican Grill, this person should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone is looking for an affordable restaurant. Between Helena's Magic Kitchen and FreshCo, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'FreshCo'}
{'statement': "Someone is looking for an affordable restaurant. Between Dinah's Cupboard and Piper's Pub And Grill, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Dinah's Cupboard"}
{'statement': 'Someone is looking for an affordable restaurant. Between Top Sushi and Maurya East Indian Roti, this person should go to Top Sushi.', 'answer': 'Top Sushi', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'Someone is looking for an affordable restaurant. Between La Pupusa Loka and KFC, this person should go to KFC.', 'answer': 'KFC', 'candidate': 'La Pupusa Loka'}
{'statement': 'Someone is looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and Hapa Toronto, this person should go to Buk Chang Dong Soon Tofu.', 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Hapa Toronto'}
{'statement': "Someone is looking for an affordable restaurant. Between Milo's Pita and Topham Corner, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Topham Corner'}
{'statement': 'Someone is looking for an affordable restaurant. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, this person should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Itamae Ayce Sushi'}
{'statement': 'Someone is looking for an affordable restaurant. Between Falafel Hut Village and Oxygen Restaurant & Lounge, this person should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
