{'statement': 'Someone is looking for a small city to visit. Between Manila and Mexicali, this person should visit Mexicali.', 'answer': 'Mexicali', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Zürich, this person should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Saint Petersburg and Barranquilla, this person should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Bratislava, this person should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Nairobi, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Ürümqi and Garissa, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a small city to visit. Between Ho Chi Minh City and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between San Diego and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and Mandalay, this person should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Baghdad and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a small city to visit. Between Mexico City and Bangkok, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Mexicali, this person should visit Mexicali.', 'answer': 'Mexicali', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Brasília and Garoua, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Lima and Ankara, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Paramaribo, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Douala and Ljubljana, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a small city to visit. Between Alexandria and Malabo, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Ho Chi Minh City and Anchorage, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between San Diego and Tucson, this person should visit Tucson.', 'answer': 'Tucson', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and Berlin, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Toronto and Panama City, this person should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Toronto'}
