{'statement': "You don't like the restaurants nearby. Between Sushi Shop and JJ Bean, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between Anatolia Restaurant and Carole's Cheesecake Cafe, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like the restaurants nearby. Between EJ Sushi and Harry's Char Broil & Dining Lounge, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like the restaurants nearby. Between Juice & Java Cafe and Hawthorne Food and Drink, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like the restaurants nearby. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like the restaurants nearby. Between Juice & Java Cafe and Eastern legend, you should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like the restaurants nearby. Between Kim PO Vietnamese and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like the restaurants nearby. Between Branca and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Branca'}
{'statement': "You don't like the restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'La Cocina De Dona Luz'}
{'statement': "You don't like the restaurants nearby. Between Freshii and Popeyes Louisiana Kitchen, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like the restaurants nearby. Between Breakfast Room and Shawarma Twist, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between Mt Everest Restaurant and Mamma's Pizza, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like the restaurants nearby. Between Buk Chang Dong Soon Tofu and Delicious Paradise Kitchen, you should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like the restaurants nearby. Between La Pupusa Loka and Mi Mi Restaurant, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like the restaurants nearby. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like the restaurants nearby. Between Tierra Azteca and Dangerous Dan's Diner, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like the restaurants nearby. Between The Empire and Eastern legend, you should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'The Empire'}
{'statement': "You don't like the restaurants nearby. Between Basil Express Restaurant and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Mirage Grill & Lounge and Chick Fiesta, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Chick Fiesta'}
