{'statement': 'You are looking for a small city to visit. Between San Diego and Yakutsk, you should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Diego'}
{'statement': 'You are looking for a small city to visit. Between Piura and Luanda, you should visit Piura.', 'answer': 'Piura', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Makurdi, you should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Minneapolis and Gabès, you should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a small city to visit. Between Denver and Chihuahua, you should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Denver'}
{'statement': 'You are looking for a small city to visit. Between Jakarta and Los Angeles, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Surabaya and Bratislava, you should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a small city to visit. Between Ushuaia and Johannesburg, you should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Goiânia, you should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Hanoi and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Tampa and Darwin, you should visit Darwin.', 'answer': 'Darwin', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Auckland and Alexandria, you should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Chicago and Malabo, you should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Lake Havasu City, you should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Tauranga and Mumbai, you should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Kathmandu, you should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Hanoi and Bratislava, you should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Guangzhou and Tirana, you should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Irkutsk and Nairobi, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Karachi and Hat Yai, you should visit Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Karachi'}
{'statement': 'You are looking for a small city to visit. Between Mahajanga and Buenos Aires, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Hanoi and Tauranga, you should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Tripoli and Lagos, you should visit Tripoli.', 'answer': 'Tripoli', 'candidate': 'Lagos'}
{'statement': 'You are looking for a small city to visit. Between Vladivostok and Paris, you should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Sucre and Nairobi, you should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Brasília and Chihuahua, you should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Brasília'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Canberra, you should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Kunming and Perth, you should visit Perth.', 'answer': 'Perth', 'candidate': 'Kunming'}
{'statement': 'You are looking for a small city to visit. Between Conakry and Alexandria, you should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Berlin and Niamey, you should visit Niamey.', 'answer': 'Niamey', 'candidate': 'Berlin'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Bangkok, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a small city to visit. Between Mahajanga and Kuwait City, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Kuwait City'}
