{'statement': 'Between Bamako and Dublin, the city with warmer weather is Bamako.', 'answer': 'Bamako', 'candidate': 'Dublin'}
{'statement': 'Between Willemstad and Baltimore, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Baltimore'}
{'statement': 'Between Willemstad and Tirana, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Tirana'}
{'statement': 'Between Toamasina and Indianapolis, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Indianapolis'}
{'statement': 'Between Pontianak and Zagreb, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Zagreb'}
{'statement': 'Between Hat Yai and Skopje, the city with warmer weather is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Skopje'}
{'statement': 'Between Lomé and Lhasa, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'Lhasa'}
{'statement': 'Between Muscat and Punta Arenas, the city with warmer weather is Muscat.', 'answer': 'Muscat', 'candidate': 'Punta Arenas'}
{'statement': 'Between Garissa and Podgorica, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Podgorica'}
{'statement': 'Between Kathmandu and Suwałki, the city with warmer weather is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Suwałki'}
{'statement': 'Between Ouahigouya and Saint Petersburg, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Hamilton and Erzurum, the city with warmer weather is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Erzurum'}
{'statement': 'Between Douala and Skopje, the city with warmer weather is Douala.', 'answer': 'Douala', 'candidate': 'Skopje'}
{'statement': 'Between Antofagasta and Minsk, the city with warmer weather is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Minsk'}
{'statement': 'Between Malabo and Sacramento, the city with warmer weather is Malabo.', 'answer': 'Malabo', 'candidate': 'Sacramento'}
{'statement': 'Between Lusaka and Murmansk, the city with warmer weather is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Murmansk'}
{'statement': 'Between Sydney and Fairbanks, the city with warmer weather is Sydney.', 'answer': 'Sydney', 'candidate': 'Fairbanks'}
{'statement': 'Between Tampa and Anchorage, the city with warmer weather is Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'Between Port Sudan and Ulaanbaatar, the city with warmer weather is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Toamasina and Chicago, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Chicago'}
{'statement': 'Between Florianópolis and Fairbanks, the city with warmer weather is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Fairbanks'}
{'statement': 'Between Djibouti and Pittsburgh, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Pittsburgh'}
{'statement': 'Between Abéché and Kabul, the city with warmer weather is Abéché.', 'answer': 'Abéché', 'candidate': 'Kabul'}
{'statement': 'Between Antsiranana and Murmansk, the city with warmer weather is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Murmansk'}
{'statement': 'Between La Ceiba and Albuquerque, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Albuquerque'}
{'statement': 'Between Fukuoka and Saskatoon, the city with warmer weather is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Saskatoon'}
{'statement': 'Between San Antonio and Murmansk, the city with warmer weather is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Murmansk'}
{'statement': 'Between Bangui and Oslo, the city with warmer weather is Bangui.', 'answer': 'Bangui', 'candidate': 'Oslo'}
{'statement': 'Between Ouahigouya and Vladivostok, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Vladivostok'}
{'statement': 'Between Honolulu and Toronto, the city with warmer weather is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Toronto'}
{'statement': 'Between Ho Chi Minh City and Punta Arenas, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Punta Arenas'}
{'statement': 'Between Mombasa and Zagreb, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Zagreb'}
{'statement': 'Between Makurdi and Bucharest, the city with warmer weather is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Bucharest'}
