{'statement': 'Someone is looking for a city with cold weather. Between Dar es Salaam and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a city with cold weather. Between Caracas and Omaha, this person should visit Omaha.', 'answer': 'Omaha', 'candidate': 'Caracas'}
{'statement': 'Someone is looking for a city with cold weather. Between Phnom Penh and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Phnom Penh'}
{'statement': 'Someone is looking for a city with cold weather. Between Parakou and Skopje, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Parakou'}
{'statement': 'Someone is looking for a city with cold weather. Between Mandalay and Podgorica, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Mandalay'}
{'statement': 'Someone is looking for a city with cold weather. Between Rosario and Novosibirsk, this person should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Rosario'}
{'statement': 'Someone is looking for a city with cold weather. Between Bata and Lviv, this person should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Bata'}
{'statement': 'Someone is looking for a city with cold weather. Between Tampa and Ushuaia, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a city with cold weather. Between Bangui and Baku, this person should visit Baku.', 'answer': 'Baku', 'candidate': 'Bangui'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Garissa and Erzurum, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a city with cold weather. Between Wau and Johannesburg, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Wau'}
{'statement': 'Someone is looking for a city with cold weather. Between Mumbai and Punta Arenas, this person should visit Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Mumbai'}
