{'statement': "Someone doesn't like the restaurants nearby. Between Sushi Shop and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "Someone doesn't like the restaurants nearby. Between Cafe Jules and The Empire, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like the restaurants nearby. Between Milo's Pita and Roncy's Bean, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like the restaurants nearby. Between Solero Mediterranean Bakery and z-teca Gourmet Burritos, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like the restaurants nearby. Between Ardor Bistro and Green Grotto, this person should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like the restaurants nearby. Between Tian An Cuisine and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like the restaurants nearby. Between El Fogón and JJ Bean, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like the restaurants nearby. Between Galata Cafe and Goldstone Noodle Restaurant, this person should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Madras Pantry and Druxy's Famous Deli, this person should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like the restaurants nearby. Between Anatolia Restaurant and Green Grotto, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like the restaurants nearby. Between Aroma Espresso Bar and Evoo Ristorante, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mirage Grill & Lounge and Watson's, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Watson's"}
{'statement': "Someone doesn't like the restaurants nearby. Between Tik Talk Cafe and Bagel Nash, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between Ardor Bistro and Mamma's Pizza, this person should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like the restaurants nearby. Between Sushi World and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kairali - Taste of Kerala and Tierra Azteca, this person should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like the restaurants nearby. Between Modo Mio Italian Bistro and Basil Express Restaurant, this person should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bagel Nash and KFC, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'KFC'}
{'statement': "Someone doesn't like the restaurants nearby. Between Cake Opera and Tortería San Cosme, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Tortería San Cosme'}
{'statement': "Someone doesn't like the restaurants nearby. Between Carole's Cheesecake Cafe and Fit For Life, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like the restaurants nearby. Between St. Louis Bar & Grill and Eggspectation, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Chipotle Mexican Grill and Eggspectation, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Tierra Azteca and Branca, this person should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Branca'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kibo Sushi House and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Kibo Sushi House'}
{'statement': "Someone doesn't like the restaurants nearby. Between Adega Restaurante and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Adega Restaurante'}
{'statement': "Someone doesn't like the restaurants nearby. Between Topham Corner and Le Papillon Park, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Le Papillon Park'}
{'statement': "Someone doesn't like the restaurants nearby. Between St. Louis Bar & Grill and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Beryl's Pepper Pot and Assembly Chef's Hall, this person should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': "Beryl's Pepper Pot"}
