{'statement': 'Between Mumbai and Florianópolis, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Florianópolis'}
{'statement': 'Between Lagos and Auckland, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Auckland'}
{'statement': 'Between Cairo and Garoua, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Garoua'}
{'statement': 'Between Nairobi and Garissa, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Garissa'}
{'statement': 'Between Los Angeles and Denver, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Denver'}
{'statement': 'Between Ankara and Mombasa, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Mombasa'}
{'statement': 'Between Guangzhou and Monterrey, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Monterrey'}
{'statement': 'Between Guadalajara and Florianópolis, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Florianópolis'}
{'statement': 'Between Tampa and La Ceiba, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'La Ceiba'}
{'statement': 'Between Guadalajara and Beirut, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Beirut'}
{'statement': 'Between Paris and Baku, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Baku'}
{'statement': 'Between Tampa and Aden, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Aden'}
{'statement': 'Between Medellín and Saskatoon, the city with a larger population is Medellín.', 'answer': 'Medellín', 'candidate': 'Saskatoon'}
{'statement': 'Between Ankara and Albuquerque, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Albuquerque'}
{'statement': 'Between Tampa and Malabo, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Malabo'}
{'statement': 'Between Beijing and Parakou, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Parakou'}
{'statement': 'Between Yaoundé and Tamanrasset, the city with a larger population is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Tamanrasset'}
{'statement': 'Between Paris and El Paso, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'El Paso'}
{'statement': 'Between Melbourne and Gabès, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Gabès'}
{'statement': 'Between Addis Ababa and Ségou, the city with a larger population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Ségou'}
{'statement': 'Between Los Angeles and Honolulu, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Honolulu'}
{'statement': 'Between Lima and Fairbanks, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Fairbanks'}
{'statement': 'Between Guadalajara and Ürümqi, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Ürümqi'}
{'statement': 'Between Mumbai and Erbil, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Erbil'}
{'statement': 'Between Johannesburg and Hat Yai, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Hat Yai'}
{'statement': 'Between Algiers and Mandalay, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Mandalay'}
{'statement': 'Between Mumbai and Garissa, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Garissa'}
{'statement': 'Between Los Angeles and Reykjavík, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Reykjavík'}
{'statement': 'Between Ho Chi Minh City and Lisbon, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Lisbon'}
{'statement': 'Between Kuwait City and Zagreb, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Zagreb'}
{'statement': 'Between Melbourne and Lusaka, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Lusaka'}
{'statement': 'Between Bangkok and Toliara, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Toliara'}
{'statement': 'Between Hanoi and Calgary, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Calgary'}
{'statement': 'Between Guangzhou and Sacramento, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Sacramento'}
{'statement': 'Between Mexico City and Makassar, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Makassar'}
{'statement': 'Between Cairo and Córdoba, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Córdoba'}
{'statement': 'Between Santiago and Halifax, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Halifax'}
{'statement': 'Between Shanghai and San Antonio, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'San Antonio'}
{'statement': 'Between Sydney and San José, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'San José'}
{'statement': 'Between Kabul and Ljubljana, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Ljubljana'}
{'statement': 'Between London and Barranquilla, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': 'Between Surabaya and Bucharest, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bucharest'}
{'statement': 'Between Ankara and Mahajanga, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Mahajanga'}
{'statement': 'Between Kuwait City and Paramaribo, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Paramaribo'}
{'statement': 'Between Brasília and Bata, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Bata'}
{'statement': 'Between Mumbai and Karachi, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Karachi'}
{'statement': 'Between Rome and Napier, the city with a larger population is Rome.', 'answer': 'Rome', 'candidate': 'Napier'}
{'statement': 'Between Guadalajara and Niamey, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Niamey'}
{'statement': 'Between Dar es Salaam and Cabo San Lucas, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Moscow and Fairbanks, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Fairbanks'}
{'statement': 'Between Lagos and Fairbanks, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Fairbanks'}
{'statement': 'Between Tampa and Ushuaia, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Ushuaia'}
{'statement': 'Between London and Guadalajara, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Guadalajara'}
{'statement': 'Between Lima and Kuopio, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Kuopio'}
{'statement': 'Between Denver and Toamasina, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Toamasina'}
{'statement': 'Between Cairo and Toronto, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Toronto'}
{'statement': 'Between Los Angeles and Fukuoka, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Fukuoka'}
{'statement': 'Between Ürümqi and Panama City, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Panama City'}
{'statement': 'Between Tashkent and Halifax, the city with a larger population is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Halifax'}
{'statement': 'Between Denver and Suva, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Suva'}
{'statement': 'Between Algiers and Dodoma, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Dodoma'}
