{'statement': 'Between Chicago and Mandalay, the city with a smaller population is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Chicago'}
{'statement': 'Between Moscow and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Moscow'}
{'statement': 'Between Manila and Hamilton, the city with a smaller population is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Manila'}
{'statement': 'Between Kabul and Yinchuan, the city with a smaller population is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Kabul'}
{'statement': 'Between Riyadh and Goiânia, the city with a smaller population is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Riyadh'}
{'statement': 'Between Lahore and Belgrade, the city with a smaller population is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Lahore'}
{'statement': 'Between Jakarta and Ushuaia, the city with a smaller population is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Jakarta'}
{'statement': 'Between Bogotá and Piura, the city with a smaller population is Piura.', 'answer': 'Piura', 'candidate': 'Bogotá'}
{'statement': 'Between Shanghai and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Shanghai'}
{'statement': 'Between Bangkok and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Bangkok'}
{'statement': 'Between Berlin and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Berlin'}
{'statement': 'Between Johannesburg and Suwałki, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Johannesburg'}
{'statement': 'Between Ankara and Toliara, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Ankara'}
{'statement': 'Between Johannesburg and Kampala, the city with a smaller population is Kampala.', 'answer': 'Kampala', 'candidate': 'Johannesburg'}
{'statement': 'Between Baghdad and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Baghdad'}
{'statement': 'Between Nairobi and Lake Havasu City, the city with a smaller population is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Nairobi'}
{'statement': 'Between Saint Petersburg and Algiers, the city with a smaller population is Algiers.', 'answer': 'Algiers', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Cairo and Makurdi, the city with a smaller population is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Cairo'}
{'statement': 'Between Bogotá and Denver, the city with a smaller population is Denver.', 'answer': 'Denver', 'candidate': 'Bogotá'}
