{'statement': 'Someone is looking for a city with cold weather. Between Garoua and Belgrade, this person should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a city with cold weather. Between Port Moresby and Wellington, this person should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Port Moresby'}
{'statement': 'Someone is looking for a city with cold weather. Between Panama City and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Panama City'}
{'statement': 'Someone is looking for a city with cold weather. Between Rabat and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Rabat'}
{'statement': 'Someone is looking for a city with cold weather. Between Dar es Salaam and Murmansk, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a city with cold weather. Between Bangkok and Milwaukee, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a city with cold weather. Between Baghdad and Zürich, this person should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a city with cold weather. Between Caracas and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Caracas'}
{'statement': 'Someone is looking for a city with cold weather. Between Bahía Blanca and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bahía Blanca'}
{'statement': 'Someone is looking for a city with cold weather. Between Mombasa and Addis Ababa, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Albuquerque, this person should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Benghazi and Toronto, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Benghazi'}
{'statement': 'Someone is looking for a city with cold weather. Between Djibouti and Fukuoka, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a city with cold weather. Between Brisbane and Novosibirsk, this person should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Brisbane'}
{'statement': 'Someone is looking for a city with cold weather. Between Bangkok and Johannesburg, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a city with cold weather. Between Alexandria and Lviv, this person should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a city with cold weather. Between Fianarantsoa and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Fianarantsoa'}
{'statement': 'Someone is looking for a city with cold weather. Between Belize City and Moscow, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a city with cold weather. Between Toliara and Milwaukee, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Toliara'}
