{'statement': 'Between Anchorage and Tampa, the city with colder weather is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'Between Auckland and Bamako, the city with colder weather is Auckland.', 'answer': 'Auckland', 'candidate': 'Bamako'}
{'statement': 'Between Suwałki and Luanda, the city with colder weather is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'Between Pontianak and Sucre, the city with colder weather is Sucre.', 'answer': 'Sucre', 'candidate': 'Pontianak'}
{'statement': 'Between Mahajanga and Bergen, the city with colder weather is Bergen.', 'answer': 'Bergen', 'candidate': 'Mahajanga'}
{'statement': 'Between Barranquilla and Frankfurt, the city with colder weather is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Barranquilla'}
{'statement': 'Between Lyon and Pontianak, the city with colder weather is Lyon.', 'answer': 'Lyon', 'candidate': 'Pontianak'}
{'statement': 'Between Vladivostok and Port Sudan, the city with colder weather is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Port Sudan'}
{'statement': 'Between Kansas City and Managua, the city with colder weather is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Managua'}
{'statement': 'Between Belgrade and Managua, the city with colder weather is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Managua'}
{'statement': 'Between Reykjavík and Hanoi, the city with colder weather is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Hanoi'}
{'statement': 'Between Ushuaia and Maputo, the city with colder weather is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Maputo'}
{'statement': 'Between Suva and Bogotá, the city with colder weather is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Suva'}
{'statement': 'Between Ottawa and Mendoza, the city with colder weather is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Mendoza'}
{'statement': 'Between Ulaanbaatar and Paris, the city with colder weather is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Paris'}
{'statement': 'Between London and Makurdi, the city with colder weather is London.', 'answer': 'London', 'candidate': 'Makurdi'}
{'statement': 'Between Irkutsk and Bishkek, the city with colder weather is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bishkek'}
{'statement': 'Between Panama City and Mexico City, the city with colder weather is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Panama City'}
{'statement': 'Between Port Moresby and Addis Ababa, the city with colder weather is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Port Moresby'}
{'statement': 'Between Djibouti and Harare, the city with colder weather is Harare.', 'answer': 'Harare', 'candidate': 'Djibouti'}
{'statement': 'Between Riyadh and Oslo, the city with colder weather is Oslo.', 'answer': 'Oslo', 'candidate': 'Riyadh'}
{'statement': 'Between Sapporo and Medellín, the city with colder weather is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Medellín'}
{'statement': 'Between Antsiranana and Milan, the city with colder weather is Milan.', 'answer': 'Milan', 'candidate': 'Antsiranana'}
{'statement': 'Between Djibouti and Saint Petersburg, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Djibouti'}
{'statement': 'Between Bangkok and Asmara, the city with colder weather is Asmara.', 'answer': 'Asmara', 'candidate': 'Bangkok'}
