{'statement': 'Between London and Milan, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Milan'}
{'statement': 'Between Lagos and Calgary, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Calgary'}
{'statement': 'Between Douala and Reykjavík, the city with a larger population is Douala.', 'answer': 'Douala', 'candidate': 'Reykjavík'}
{'statement': 'Between Jakarta and Hanoi, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Hanoi'}
{'statement': 'Between Houston and Pretoria, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Pretoria'}
{'statement': 'Between Karachi and Lusaka, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Lusaka'}
{'statement': 'Between Melbourne and Makurdi, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Makurdi'}
{'statement': 'Between Tashkent and Gabès, the city with a larger population is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Gabès'}
{'statement': 'Between Luanda and Toliara, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Toliara'}
{'statement': 'Between Guadalajara and Harare, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Harare'}
{'statement': 'Between Nairobi and Zagreb, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Zagreb'}
{'statement': 'Between Hanoi and Barranquilla, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Barranquilla'}
{'statement': 'Between Berlin and Ndola, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Ndola'}
{'statement': 'Between Ho Chi Minh City and Bratislava, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Bratislava'}
{'statement': 'Between Ankara and Cayenne, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Cayenne'}
{'statement': 'Between Algiers and Chihuahua, the city with a larger population is Algiers.', 'answer': 'Algiers', 'candidate': 'Chihuahua'}
{'statement': 'Between Manila and Managua, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Managua'}
{'statement': 'Between Berlin and San Juan, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'San Juan'}
{'statement': 'Between Berlin and Córdoba, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Córdoba'}
{'statement': 'Between Jakarta and Luanda, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Luanda'}
{'statement': 'Between Ankara and Brisbane, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Brisbane'}
{'statement': 'Between Karachi and Alexandria, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Alexandria'}
{'statement': 'Between Phnom Penh and Port-Gentil, the city with a larger population is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Port-Gentil'}
{'statement': 'Between Paris and Juba, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Juba'}
{'statement': 'Between Santiago and Indianapolis, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Indianapolis'}
{'statement': 'Between Buenos Aires and Frankfurt, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Frankfurt'}
{'statement': 'Between Manila and Ankara, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Ankara'}
{'statement': 'Between Guadalajara and Manaus, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Manaus'}
{'statement': 'Between Bangkok and Entebbe, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Entebbe'}
{'statement': 'Between Lima and Rome, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Rome'}
{'statement': 'Between London and Mendoza, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Mendoza'}
{'statement': 'Between Dar es Salaam and Bucharest, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Bucharest'}
{'statement': 'Between Bangkok and Canberra, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Canberra'}
{'statement': 'Between Tashkent and Beirut, the city with a larger population is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Beirut'}
{'statement': 'Between Santiago and Reykjavík, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Reykjavík'}
{'statement': 'Between Nairobi and Ljubljana, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Ljubljana'}
{'statement': 'Between Mexico City and Fukuoka, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Fukuoka'}
{'statement': 'Between Bogotá and Bergen, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Bergen'}
{'statement': 'Between Mumbai and Rangpur, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Rangpur'}
{'statement': 'Between Brasília and Sokoto, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Sokoto'}
{'statement': 'Between Buenos Aires and Ljubljana, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Ljubljana'}
{'statement': 'Between Sydney and Bujumbura, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Bujumbura'}
{'statement': 'Between Moscow and Bangui, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Bangui'}
{'statement': 'Between Karachi and Amsterdam, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Amsterdam'}
{'statement': 'Between Beijing and Honolulu, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Honolulu'}
{'statement': 'Between Nairobi and Denver, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Denver'}
{'statement': 'Between Buenos Aires and Kathmandu, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Kathmandu'}
{'statement': 'Between Johannesburg and Bishkek, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Bishkek'}
{'statement': 'Between Kabul and Tauranga, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Tauranga'}
{'statement': 'Between Paris and Phnom Penh, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Phnom Penh'}
{'statement': 'Between Los Angeles and Anchorage, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Anchorage'}
{'statement': 'Between Fukuoka and Tauranga, the city with a larger population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Tauranga'}
{'statement': 'Between Sydney and San Antonio, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'San Antonio'}
{'statement': 'Between Moscow and Florianópolis, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Florianópolis'}
{'statement': 'Between Riyadh and Asmara, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Asmara'}
{'statement': 'Between Houston and Lake Havasu City, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Minneapolis and Nakhon Ratchasima, the city with a larger population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Houston and Bahía Blanca, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Bahía Blanca'}
