{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Córdoba, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Córdoba'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Palembang, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Podgorica, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a big city to visit. Between Bangui and Beijing, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Bangui'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Port Sudan, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a big city to visit. Between Dar es Salaam and Harare, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Harare'}
{'statement': 'Someone is looking for a big city to visit. Between Caracas and Ankara, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Caracas'}
{'statement': 'Someone is looking for a big city to visit. Between Malabo and Kabul, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Malabo'}
{'statement': 'Someone is looking for a big city to visit. Between Bucharest and Ankara, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Bucharest'}
{'statement': 'Someone is looking for a big city to visit. Between Reykjavík and Buenos Aires, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a big city to visit. Between Kuwait City and Albuquerque, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Albuquerque'}
{'statement': 'Someone is looking for a big city to visit. Between Tabora and Ürümqi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Tabora'}
{'statement': 'Someone is looking for a big city to visit. Between San José and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'San José'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Kabul, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Phnom Penh, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Phnom Penh'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Sucre, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Sucre'}
{'statement': 'Someone is looking for a big city to visit. Between Fukuoka and Jakarta, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a big city to visit. Between Antofagasta and Lima, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a big city to visit. Between Thiès and Phoenix, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Thiès'}
