{'statement': 'Between Addis Ababa and Cotonou, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Addis Ababa'}
{'statement': 'Between Chicago and Baku, the city with a smaller population is Baku.', 'answer': 'Baku', 'candidate': 'Chicago'}
{'statement': 'Between Medellín and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Medellín'}
{'statement': 'Between Perth and Suwałki, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Perth'}
{'statement': 'Between Los Angeles and Lomé, the city with a smaller population is Lomé.', 'answer': 'Lomé', 'candidate': 'Los Angeles'}
{'statement': 'Between Houston and Bishkek, the city with a smaller population is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Houston'}
{'statement': 'Between Paris and Cape Town, the city with a smaller population is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Paris'}
{'statement': 'Between Melbourne and Ouahigouya, the city with a smaller population is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Melbourne'}
{'statement': 'Between Guadalajara and Kuopio, the city with a smaller population is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Guadalajara'}
{'statement': 'Between Nairobi and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Nairobi'}
{'statement': 'Between London and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'London'}
{'statement': 'Between Saint Petersburg and Novosibirsk, the city with a smaller population is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Luanda and Podgorica, the city with a smaller population is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Luanda'}
{'statement': 'Between Shanghai and Belgrade, the city with a smaller population is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Shanghai'}
{'statement': 'Between Houston and Ouahigouya, the city with a smaller population is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Houston'}
{'statement': 'Between Fukuoka and Nouadhibou, the city with a smaller population is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Fukuoka'}
{'statement': 'Between Sydney and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Sydney'}
{'statement': 'Between Kabul and Garissa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Kabul'}
{'statement': 'Between Mexico City and Changsha, the city with a smaller population is Changsha.', 'answer': 'Changsha', 'candidate': 'Mexico City'}
{'statement': 'Between Kunming and Nur-Sultan, the city with a smaller population is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Kunming'}
{'statement': 'Between Mumbai and Ouahigouya, the city with a smaller population is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Mumbai'}
{'statement': 'Between Sydney and Kuopio, the city with a smaller population is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Sydney'}
{'statement': 'Between Ankara and Cotonou, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ankara'}
{'statement': 'Between Riyadh and Erbil, the city with a smaller population is Erbil.', 'answer': 'Erbil', 'candidate': 'Riyadh'}
{'statement': 'Between Toronto and Makurdi, the city with a smaller population is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Toronto'}
{'statement': 'Between Los Angeles and Changsha, the city with a smaller population is Changsha.', 'answer': 'Changsha', 'candidate': 'Los Angeles'}
{'statement': 'Between London and Barranquilla, the city with a smaller population is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'London'}
{'statement': 'Between Ankara and Skopje, the city with a smaller population is Skopje.', 'answer': 'Skopje', 'candidate': 'Ankara'}
{'statement': 'Between Karachi and Kano, the city with a smaller population is Kano.', 'answer': 'Kano', 'candidate': 'Karachi'}
{'statement': 'Between Cairo and Sokoto, the city with a smaller population is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Cairo'}
{'statement': 'Between London and Pontianak, the city with a smaller population is Pontianak.', 'answer': 'Pontianak', 'candidate': 'London'}
{'statement': 'Between Los Angeles and Belgrade, the city with a smaller population is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Los Angeles'}
{'statement': 'Between Melbourne and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Melbourne'}
{'statement': 'Between Bogotá and Porto Alegre, the city with a smaller population is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Bogotá'}
{'statement': 'Between Saint Petersburg and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Guangzhou and Amsterdam, the city with a smaller population is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Guangzhou'}
{'statement': 'Between Hanoi and Bamako, the city with a smaller population is Bamako.', 'answer': 'Bamako', 'candidate': 'Hanoi'}
{'statement': 'Between Los Angeles and Kunming, the city with a smaller population is Kunming.', 'answer': 'Kunming', 'candidate': 'Los Angeles'}
{'statement': 'Between Lagos and Berlin, the city with a smaller population is Berlin.', 'answer': 'Berlin', 'candidate': 'Lagos'}
{'statement': 'Between Los Angeles and Tirana, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'Los Angeles'}
{'statement': 'Between Lagos and Panama City, the city with a smaller population is Panama City.', 'answer': 'Panama City', 'candidate': 'Lagos'}
{'statement': 'Between Ho Chi Minh City and Almaty, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between London and Garissa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'London'}
{'statement': 'Between Buenos Aires and Bratislava, the city with a smaller population is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Buenos Aires'}
{'statement': 'Between Guadalajara and Maputo, the city with a smaller population is Maputo.', 'answer': 'Maputo', 'candidate': 'Guadalajara'}
{'statement': 'Between Alexandria and Nakhon Ratchasima, the city with a smaller population is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Alexandria'}
{'statement': 'Between Dar es Salaam and Tabora, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Shanghai and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Shanghai'}
{'statement': 'Between Riyadh and Palembang, the city with a smaller population is Palembang.', 'answer': 'Palembang', 'candidate': 'Riyadh'}
{'statement': 'Between Buenos Aires and Pittsburgh, the city with a smaller population is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Buenos Aires'}
{'statement': 'Between Phoenix and Nouakchott, the city with a smaller population is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Phoenix'}
{'statement': 'Between Minneapolis and Albuquerque, the city with a smaller population is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Minneapolis'}
{'statement': 'Between Monterrey and Upington, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Monterrey'}
{'statement': 'Between Baghdad and Malabo, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Baghdad'}
{'statement': 'Between London and Maputo, the city with a smaller population is Maputo.', 'answer': 'Maputo', 'candidate': 'London'}
{'statement': 'Between Surabaya and Lusaka, the city with a smaller population is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Surabaya'}
{'statement': 'Between Melbourne and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Melbourne'}
{'statement': 'Between Sydney and Ulaanbaatar, the city with a smaller population is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Sydney'}
{'statement': 'Between Kabul and Asmara, the city with a smaller population is Asmara.', 'answer': 'Asmara', 'candidate': 'Kabul'}
{'statement': 'Between Jakarta and Toliara, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Jakarta'}
{'statement': 'Between Rome and Fairbanks, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Rome'}
