{'statement': 'You are looking for a small city to visit. Between Córdoba and Bogotá, you should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Lagos and Palembang, you should visit Palembang.', 'answer': 'Palembang', 'candidate': 'Lagos'}
{'statement': 'You are looking for a small city to visit. Between Podgorica and Kabul, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Bangui and Beijing, you should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Beijing'}
{'statement': 'You are looking for a small city to visit. Between Port Sudan and Toronto, you should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Dar es Salaam and Harare, you should visit Harare.', 'answer': 'Harare', 'candidate': 'Dar es Salaam'}
{'statement': 'You are looking for a small city to visit. Between Caracas and Ankara, you should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Malabo and Kabul, you should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Bucharest, you should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Reykjavík and Buenos Aires, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Kuwait City and Albuquerque, you should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Kuwait City'}
{'statement': 'You are looking for a small city to visit. Between Ürümqi and Tabora, you should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Ürümqi'}
{'statement': 'You are looking for a small city to visit. Between Minneapolis and San José, you should visit San José.', 'answer': 'San José', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a small city to visit. Between Beijing and Kabul, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Beijing'}
{'statement': 'You are looking for a small city to visit. Between Phnom Penh and Guangzhou, you should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Sucre and Bangkok, you should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a small city to visit. Between Jakarta and Fukuoka, you should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Antofagasta and Lima, you should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Lima'}
{'statement': 'You are looking for a small city to visit. Between Phoenix and Thiès, you should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a small city to visit. Between Parakou and Mexico City, you should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Mexico City'}
{'statement': 'You are looking for a small city to visit. Between Ho Chi Minh City and Cairo, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Cairo'}
{'statement': 'You are looking for a small city to visit. Between Minsk and Dar es Salaam, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Dar es Salaam'}
{'statement': 'You are looking for a small city to visit. Between Tirana and Johannesburg, you should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a small city to visit. Between Suwałki and Luanda, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Managua and Brasília, you should visit Managua.', 'answer': 'Managua', 'candidate': 'Brasília'}
