{'statement': 'Someone is looking for a small city to visit. Between Moscow and Dublin, this person should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Palmerston North, this person should visit Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and La Paz, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and Tashkent, this person should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Beijing and Hobart, this person should visit Hobart.', 'answer': 'Hobart', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Alexandria and Tampa, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Tripoli, this person should visit Tripoli.', 'answer': 'Tripoli', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Mexico City and Cayenne, this person should visit Cayenne.', 'answer': 'Cayenne', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and Conakry, this person should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Sydney and La Ceiba, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a small city to visit. Between Mexico City and Conakry, this person should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Ouahigouya, this person should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Murmansk, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Toluca, this person should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Baghdad and Conakry, this person should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a small city to visit. Between Surabaya and Thiès, this person should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and Nairobi, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Kunming and Djibouti, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a small city to visit. Between Medellín and Sucre, this person should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Medellín'}
{'statement': 'Someone is looking for a small city to visit. Between Melbourne and Mexicali, this person should visit Mexicali.', 'answer': 'Mexicali', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Sydney and Tirana, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Nouakchott, this person should visit Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Monterrey and Erbil, this person should visit Erbil.', 'answer': 'Erbil', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Honolulu, this person should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Djibouti, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Lagos and Oslo, this person should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Kabul, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Caracas, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Phoenix and Honolulu, this person should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Karachi and Bangui, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Oslo, this person should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Rabat, this person should visit Rabat.', 'answer': 'Rabat', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and Milwaukee, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Curitiba, this person should visit Curitiba.', 'answer': 'Curitiba', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Toronto and Lusaka, this person should visit Lusaka.', 'answer': 'Lusaka', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Malabo, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Chicago, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and Denver, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Rome and El Paso, this person should visit El Paso.', 'answer': 'El Paso', 'candidate': 'Rome'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Oslo, this person should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between San Diego and Reykjavík, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Yaoundé and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Yaoundé'}
{'statement': 'Someone is looking for a small city to visit. Between Surabaya and Viedma, this person should visit Viedma.', 'answer': 'Viedma', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Santiago del Estero, this person should visit Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Berlin and Honolulu, this person should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a small city to visit. Between Bangkok and Phoenix, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Lima and Kampala, this person should visit Kampala.', 'answer': 'Kampala', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Lagos and Sapporo, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a small city to visit. Between Phoenix and Tauranga, this person should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Douala and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a small city to visit. Between Karachi and Berlin, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Darwin, this person should visit Darwin.', 'answer': 'Darwin', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Brasília and Tamanrasset, this person should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Darwin, this person should visit Darwin.', 'answer': 'Darwin', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and San José, this person should visit San José.', 'answer': 'San José', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Shanghai and Cabo San Lucas, this person should visit Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Almaty, this person should visit Almaty.', 'answer': 'Almaty', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Rome and Skopje, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Rome'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and Anchorage, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Rangpur, this person should visit Rangpur.', 'answer': 'Rangpur', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Ho Chi Minh City and La Paz, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between Phoenix and Toluca, this person should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Manila and San Antonio, this person should visit San Antonio.', 'answer': 'San Antonio', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Addis Ababa, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Sydney and Paramaribo, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a small city to visit. Between Baku and Suwałki, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Baku'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Mahajanga, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Brasília and Wau, this person should visit Wau.', 'answer': 'Wau', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Willemstad, this person should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Tampa and Hamilton, this person should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Tampa'}
