{'statement': 'Someone is looking for a city with cold weather. Between Bamako and Dublin, this person should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Bamako'}
{'statement': 'Someone is looking for a city with cold weather. Between Willemstad and Baltimore, this person should visit Baltimore.', 'answer': 'Baltimore', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Willemstad and Tirana, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Toamasina and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Toamasina'}
{'statement': 'Someone is looking for a city with cold weather. Between Pontianak and Zagreb, this person should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a city with cold weather. Between Hat Yai and Skopje, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Hat Yai'}
{'statement': 'Someone is looking for a city with cold weather. Between Lomé and Lhasa, this person should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Lomé'}
{'statement': 'Someone is looking for a city with cold weather. Between Muscat and Punta Arenas, this person should visit Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Muscat'}
{'statement': 'Someone is looking for a city with cold weather. Between Garissa and Podgorica, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a city with cold weather. Between Kathmandu and Suwałki, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kathmandu'}
{'statement': 'Someone is looking for a city with cold weather. Between Ouahigouya and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a city with cold weather. Between Hamilton and Erzurum, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Hamilton'}
{'statement': 'Someone is looking for a city with cold weather. Between Douala and Skopje, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a city with cold weather. Between Antofagasta and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a city with cold weather. Between Malabo and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Malabo'}
{'statement': 'Someone is looking for a city with cold weather. Between Lusaka and Murmansk, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Lusaka'}
{'statement': 'Someone is looking for a city with cold weather. Between Sydney and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a city with cold weather. Between Tampa and Anchorage, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a city with cold weather. Between Port Sudan and Ulaanbaatar, this person should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a city with cold weather. Between Toamasina and Chicago, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Toamasina'}
{'statement': 'Someone is looking for a city with cold weather. Between Florianópolis and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Florianópolis'}
{'statement': 'Someone is looking for a city with cold weather. Between Djibouti and Pittsburgh, this person should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a city with cold weather. Between Abéché and Kabul, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a city with cold weather. Between Antsiranana and Murmansk, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Antsiranana'}
{'statement': 'Someone is looking for a city with cold weather. Between La Ceiba and Albuquerque, this person should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'La Ceiba'}
{'statement': 'Someone is looking for a city with cold weather. Between Fukuoka and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Fukuoka'}
