{'statement': "Someone doesn't like restaurants further away. Between JJ Bean and Sushi Shop, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "Someone doesn't like restaurants further away. Between Anatolia Restaurant and Carole's Cheesecake Cafe, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like restaurants further away. Between Harry's Char Broil & Dining Lounge and EJ Sushi, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'EJ Sushi'}
{'statement': "Someone doesn't like restaurants further away. Between Hawthorne Food and Drink and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "Someone doesn't like restaurants further away. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like restaurants further away. Between Eastern legend and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like restaurants further away. Between Kim PO Vietnamese and Banjara Indian Cuisine, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like restaurants further away. Between Branca and Mirage Grill & Lounge, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like restaurants further away. Between Helena's Magic Kitchen and La Cocina De Dona Luz, this person should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like restaurants further away. Between Freshii and Popeyes Louisiana Kitchen, this person should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like restaurants further away. Between Breakfast Room and Shawarma Twist, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like restaurants further away. Between Mamma's Pizza and Mt Everest Restaurant, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone doesn't like restaurants further away. Between Mi Mi Restaurant and La Pupusa Loka, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like restaurants further away. Between Tierra Azteca and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Tierra Azteca'}
{'statement': "Someone doesn't like restaurants further away. Between Eastern legend and The Empire, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like restaurants further away. Between Basil Express Restaurant and Grappa Ristorante, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like restaurants further away. Between Chick Fiesta and Mirage Grill & Lounge, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like restaurants further away. Between Helena's Magic Kitchen and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like restaurants further away. Between Buk Chang Dong Soon Tofu and Domino's Pizza, this person should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like restaurants further away. Between Sushi World and Magic Oven, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like restaurants further away. Between La Pupusa Loka and Ici Bistro, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between Chick Fiesta and Nutella Cafe by Pusateri's, this person should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like restaurants further away. Between St. Louis Bar & Grill and Cake Opera, this person should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like restaurants further away. Between Oxygen Restaurant & Lounge and Freshii, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like restaurants further away. Between Kim PO Vietnamese and Freshii, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like restaurants further away. Between Assembly Chef's Hall and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Queen Pita, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like restaurants further away. Between Tik Talk Cafe and Big Al's Diner, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like restaurants further away. Between Thai 4 You Restaurant and To-ne Sushi, this person should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'To-ne Sushi'}
{'statement': "Someone doesn't like restaurants further away. Between Beryl's Pepper Pot and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': "Someone doesn't like restaurants further away. Between Grappa Ristorante and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like restaurants further away. Between Kairali - Taste of Kerala and Cake Opera, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like restaurants further away. Between Itamae Ayce Sushi and Nook, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Nook'}
{'statement': "Someone doesn't like restaurants further away. Between To-ne Sushi and Harvey's, this person should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'To-ne Sushi'}
{'statement': "Someone doesn't like restaurants further away. Between Eggspectation and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Aris Place and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Aris Place'}
{'statement': "Someone doesn't like restaurants further away. Between Sky Dragon Chinese Restaurant and Hina Sushi, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like restaurants further away. Between Mövenpick Café and Magic Oven, this person should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like restaurants further away. Between Eggspectation and Cake Opera, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Solero Mediterranean Bakery and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone doesn't like restaurants further away. Between Harry's Char Broil & Dining Lounge and Domino's Pizza, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like restaurants further away. Between Evoo Ristorante and FreshCo, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'FreshCo'}
{'statement': "Someone doesn't like restaurants further away. Between Fit For Life and Bao Bao Plus Dim Sum, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone doesn't like restaurants further away. Between Queen Pita and Basil Express Restaurant, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like restaurants further away. Between Anatolia Restaurant and Ici Bistro, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between z-teca Gourmet Burritos and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like restaurants further away. Between Basha Middle Eastern Grill and Domino's Pizza, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like restaurants further away. Between New Bilan Restaurant and Tim Hortons, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between LCBO and Lahore Grill & Fast Food, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like restaurants further away. Between JJ Bean and z-teca Gourmet Burritos, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like restaurants further away. Between Sushi Time Japanese Restaurant and The Empire, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Goldstone Noodle Restaurant and Topham Corner, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Topham Corner'}
{'statement': "Someone doesn't like restaurants further away. Between Freshii and Sushi Shop, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like restaurants further away. Between Eggspectation and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Pizzeria Via Mercanti and Ardor Bistro, this person should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like restaurants further away. Between Harry's Char Broil & Dining Lounge and Roncy's Bean, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': "Roncy's Bean"}
{'statement': "Someone doesn't like restaurants further away. Between Roncy's Bean and Le Papillon Park, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': "Roncy's Bean"}
{'statement': "Someone doesn't like restaurants further away. Between Tierra Azteca and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': "Someone doesn't like restaurants further away. Between Juice & Java Cafe and Tierra Azteca, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Tierra Azteca'}
{'statement': "Someone doesn't like restaurants further away. Between The Duke of Devon and Basha Middle Eastern Grill, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like restaurants further away. Between Sushi Shop and Verona Restaurant, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Sizzlers and Just Soups Take Out & Catering, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Lebanese Bakery, this person should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like restaurants further away. Between z-teca Gourmet Burritos and LCBO, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like restaurants further away. Between Queen Pita and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like restaurants further away. Between Evoo Ristorante and Eggspectation, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Kairali - Taste of Kerala and Mt Everest Restaurant, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Fit For Life and Big Al's Diner, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like restaurants further away. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like restaurants further away. Between Piper's Pub And Grill and Queen Slice, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like restaurants further away. Between Roncy's Bean and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Roncy's Bean"}
{'statement': "Someone doesn't like restaurants further away. Between Thompson Rooftop and Breakfast Room, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like restaurants further away. Between Viccino Pizzeria and Daily Press Juicery, this person should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Viccino Pizzeria'}
{'statement': "Someone doesn't like restaurants further away. Between Tian An Cuisine and Mövenpick Café, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Mövenpick Café'}
{'statement': "Someone doesn't like restaurants further away. Between Roncy's Bean and Madras Pantry, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Roncy's Bean"}
{'statement': "Someone doesn't like restaurants further away. Between Assembly Chef's Hall and Falafel House, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Assembly Chef's Hall"}
{'statement': "Someone doesn't like restaurants further away. Between Queen Pita and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Queen Pita'}
