{'statement': 'You are looking for a big city to visit. Between Guadalajara and Kansas City, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kansas City'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Dodoma, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Dodoma'}
{'statement': 'You are looking for a big city to visit. Between Toronto and Minneapolis, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a big city to visit. Between Bangkok and Garissa, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Garissa'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Mahajanga, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a big city to visit. Between Shanghai and Cape Town, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cape Town'}
{'statement': 'You are looking for a big city to visit. Between Bogotá and Douala, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Douala'}
{'statement': 'You are looking for a big city to visit. Between Brasília and Campos do Jordão, you should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Campos do Jordão'}
{'statement': 'You are looking for a big city to visit. Between Hanoi and Asmara, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Asmara'}
{'statement': 'You are looking for a big city to visit. Between Moscow and Napier, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Napier'}
{'statement': 'You are looking for a big city to visit. Between Denver and Upington, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Upington'}
{'statement': 'You are looking for a big city to visit. Between Chicago and Murmansk, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Murmansk'}
{'statement': 'You are looking for a big city to visit. Between Alexandria and Garoua, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Garoua'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and San José, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'San José'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Palermo, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Palermo'}
{'statement': 'You are looking for a big city to visit. Between Denver and Bergen, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Bergen'}
{'statement': 'You are looking for a big city to visit. Between Lahore and Asmara, you should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Asmara'}
{'statement': 'You are looking for a big city to visit. Between Monterrey and Kathmandu, you should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Kathmandu'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Tampa, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Tampa'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Yakutsk, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a big city to visit. Between Lima and Baltimore, you should visit Lima.', 'answer': 'Lima', 'candidate': 'Baltimore'}
{'statement': 'You are looking for a big city to visit. Between Lima and Irkutsk, you should visit Lima.', 'answer': 'Lima', 'candidate': 'Irkutsk'}
{'statement': 'You are looking for a big city to visit. Between Beijing and Pretoria, you should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Honolulu, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Honolulu'}
{'statement': 'You are looking for a big city to visit. Between Moscow and Gabès, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Gabès'}
{'statement': 'You are looking for a big city to visit. Between Beijing and Tabora, you should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Tabora'}
{'statement': 'You are looking for a big city to visit. Between Minneapolis and Tabora, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Tabora'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Palembang, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Palembang'}
{'statement': 'You are looking for a big city to visit. Between Paris and Palermo, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Palermo'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Kano, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kano'}
{'statement': 'You are looking for a big city to visit. Between Luanda and Guadalajara, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Guadalajara'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Lake Havasu City, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Lake Havasu City'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Canberra, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Canberra'}
{'statement': 'You are looking for a big city to visit. Between Kunming and Omaha, you should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Omaha'}
{'statement': 'You are looking for a big city to visit. Between Kuwait City and Kathmandu, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Kathmandu'}
{'statement': 'You are looking for a big city to visit. Between Chicago and Perth, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Perth'}
{'statement': 'You are looking for a big city to visit. Between Karachi and San José, you should visit Karachi.', 'answer': 'Karachi', 'candidate': 'San José'}
{'statement': 'You are looking for a big city to visit. Between London and Bamako, you should visit London.', 'answer': 'London', 'candidate': 'Bamako'}
{'statement': 'You are looking for a big city to visit. Between Santiago and Berlin, you should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Berlin'}
{'statement': 'You are looking for a big city to visit. Between Lima and Lviv, you should visit Lima.', 'answer': 'Lima', 'candidate': 'Lviv'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Cape Town, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Cape Town'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Amsterdam, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Amsterdam'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Mexicali, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Mexicali'}
{'statement': 'You are looking for a big city to visit. Between Jakarta and Mombasa, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Mombasa'}
{'statement': 'You are looking for a big city to visit. Between Sydney and Brussels, you should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Brussels'}
{'statement': 'You are looking for a big city to visit. Between Jakarta and Port-Gentil, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Port-Gentil'}
{'statement': 'You are looking for a big city to visit. Between Mexico City and Tripoli, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tripoli'}
{'statement': 'You are looking for a big city to visit. Between Baghdad and Almaty, you should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Almaty'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Almaty, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Almaty'}
