{'statement': 'Between Moscow and Dublin, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Dublin'}
{'statement': 'Between Riyadh and Palmerston North, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Palmerston North'}
{'statement': 'Between Lahore and La Paz, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'La Paz'}
{'statement': 'Between Lahore and Tashkent, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Tashkent'}
{'statement': 'Between Beijing and Hobart, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Hobart'}
{'statement': 'Between Alexandria and Tampa, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Tampa'}
{'statement': 'Between Luanda and Tripoli, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Tripoli'}
{'statement': 'Between Mexico City and Cayenne, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Cayenne'}
{'statement': 'Between Lahore and Conakry, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Conakry'}
{'statement': 'Between Sydney and La Ceiba, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'La Ceiba'}
{'statement': 'Between Mexico City and Conakry, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Conakry'}
{'statement': 'Between Riyadh and Ouahigouya, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Ouahigouya'}
{'statement': 'Between Kuwait City and Murmansk, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Murmansk'}
{'statement': 'Between Cairo and Toluca, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Toluca'}
{'statement': 'Between Baghdad and Conakry, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Conakry'}
{'statement': 'Between Surabaya and Thiès, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Thiès'}
{'statement': 'Between Paris and Nairobi, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Nairobi'}
{'statement': 'Between Kunming and Djibouti, the city with a larger population is Kunming.', 'answer': 'Kunming', 'candidate': 'Djibouti'}
{'statement': 'Between Medellín and Sucre, the city with a larger population is Medellín.', 'answer': 'Medellín', 'candidate': 'Sucre'}
{'statement': 'Between Melbourne and Mexicali, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Mexicali'}
{'statement': 'Between Sydney and Tirana, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Tirana'}
{'statement': 'Between Manila and Nouakchott, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Nouakchott'}
{'statement': 'Between Monterrey and Erbil, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Erbil'}
{'statement': 'Between Chicago and Honolulu, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Honolulu'}
{'statement': 'Between Santiago and Djibouti, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Djibouti'}
{'statement': 'Between Lagos and Oslo, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Oslo'}
{'statement': 'Between Dar es Salaam and Kabul, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Kabul'}
{'statement': 'Between Manila and Caracas, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Caracas'}
{'statement': 'Between Phoenix and Honolulu, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Honolulu'}
{'statement': 'Between Karachi and Bangui, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Bangui'}
{'statement': 'Between Manila and Oslo, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Oslo'}
{'statement': 'Between Manila and Rabat, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Rabat'}
{'statement': 'Between Jakarta and Milwaukee, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Milwaukee'}
{'statement': 'Between Chicago and Curitiba, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Curitiba'}
{'statement': 'Between Toronto and Lusaka, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Lusaka'}
{'statement': 'Between Chicago and Malabo, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Malabo'}
{'statement': 'Between Buenos Aires and Chicago, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Chicago'}
{'statement': 'Between Manila and Denver, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Denver'}
{'statement': 'Between Rome and El Paso, the city with a larger population is Rome.', 'answer': 'Rome', 'candidate': 'El Paso'}
{'statement': 'Between Dar es Salaam and Oslo, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Oslo'}
{'statement': 'Between San Diego and Reykjavík, the city with a larger population is San Diego.', 'answer': 'San Diego', 'candidate': 'Reykjavík'}
{'statement': 'Between Yaoundé and Gabès, the city with a larger population is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Gabès'}
{'statement': 'Between Surabaya and Viedma, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Viedma'}
{'statement': 'Between Dar es Salaam and Santiago del Estero, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Santiago del Estero'}
{'statement': 'Between Berlin and Honolulu, the city with a larger population is Berlin.', 'answer': 'Berlin', 'candidate': 'Honolulu'}
{'statement': 'Between Bangkok and Phoenix, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Phoenix'}
{'statement': 'Between Lima and Kampala, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Kampala'}
{'statement': 'Between Lagos and Sapporo, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Sapporo'}
{'statement': 'Between Phoenix and Tauranga, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Tauranga'}
{'statement': 'Between Douala and Gabès, the city with a larger population is Douala.', 'answer': 'Douala', 'candidate': 'Gabès'}
{'statement': 'Between Karachi and Berlin, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Berlin'}
{'statement': 'Between Ankara and Darwin, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Darwin'}
{'statement': 'Between Brasília and Tamanrasset, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Tamanrasset'}
{'statement': 'Between Nairobi and Darwin, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Darwin'}
{'statement': 'Between Jakarta and San José, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'San José'}
{'statement': 'Between Shanghai and Cabo San Lucas, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Dar es Salaam and Almaty, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Almaty'}
{'statement': 'Between Rome and Skopje, the city with a larger population is Rome.', 'answer': 'Rome', 'candidate': 'Skopje'}
{'statement': 'Between Minneapolis and Anchorage, the city with a larger population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Anchorage'}
{'statement': 'Between Chicago and Rangpur, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Rangpur'}
{'statement': 'Between Ho Chi Minh City and La Paz, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'La Paz'}
