{'statement': "I'm looking for an expensive restaurant. Between Piper's Pub And Grill and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for an expensive restaurant. Between The Duke of Devon and Sweet Jesus, I should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Sweet Jesus'}
{'statement': "I'm looking for an expensive restaurant. Between The Empire and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'The Empire'}
{'statement': "I'm looking for an expensive restaurant. Between Hawthorne Food and Drink and Eastern legend, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Eggspectation and Solero Mediterranean Bakery, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for an expensive restaurant. Between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Watson's and St. Clair Shawarma and Falafel, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between It's All Grk and Supermodel Pizza, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Milo's Pita and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between Hina Sushi and Bagel Nash, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between McDonald's and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between Kairali - Taste of Kerala and Eastern legend, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Villa Madina and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between KFC and Itamae Ayce Sushi, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'KFC'}
{'statement': "I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Falafel House, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Falafel House'}
