{'statement': 'Between Dar es Salaam and Indianapolis, the city with lower average temperature is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Caracas and Omaha, the city with lower average temperature is Omaha.', 'answer': 'Omaha', 'candidate': 'Caracas'}
{'statement': 'Between Phnom Penh and Irkutsk, the city with lower average temperature is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Phnom Penh'}
{'statement': 'Between Parakou and Skopje, the city with lower average temperature is Skopje.', 'answer': 'Skopje', 'candidate': 'Parakou'}
{'statement': 'Between Mandalay and Podgorica, the city with lower average temperature is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Mandalay'}
{'statement': 'Between Rosario and Novosibirsk, the city with lower average temperature is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Rosario'}
{'statement': 'Between Bata and Lviv, the city with lower average temperature is Lviv.', 'answer': 'Lviv', 'candidate': 'Bata'}
{'statement': 'Between Tampa and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Tampa'}
{'statement': 'Between Bangui and Baku, the city with lower average temperature is Baku.', 'answer': 'Baku', 'candidate': 'Bangui'}
{'statement': 'Between San Juan and Indianapolis, the city with lower average temperature is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'San Juan'}
{'statement': 'Between Garissa and Erzurum, the city with lower average temperature is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Garissa'}
{'statement': 'Between Wau and Johannesburg, the city with lower average temperature is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Wau'}
{'statement': 'Between Mumbai and Punta Arenas, the city with lower average temperature is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Mumbai'}
{'statement': 'Between Vientiane and Halifax, the city with lower average temperature is Halifax.', 'answer': 'Halifax', 'candidate': 'Vientiane'}
{'statement': 'Between Thiès and Moscow, the city with lower average temperature is Moscow.', 'answer': 'Moscow', 'candidate': 'Thiès'}
{'statement': 'Between Phnom Penh and Chicago, the city with lower average temperature is Chicago.', 'answer': 'Chicago', 'candidate': 'Phnom Penh'}
{'statement': 'Between Hanoi and Punta Arenas, the city with lower average temperature is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Hanoi'}
{'statement': 'Between Riyadh and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Riyadh'}
{'statement': 'Between Sydney and Kuopio, the city with lower average temperature is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Sydney'}
{'statement': 'Between Ouahigouya and Suwałki, the city with lower average temperature is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Ouahigouya'}
{'statement': 'Between Entebbe and Minneapolis, the city with lower average temperature is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Entebbe'}
{'statement': 'Between Thiès and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Thiès'}
{'statement': 'Between La Paz and Ottawa, the city with lower average temperature is Ottawa.', 'answer': 'Ottawa', 'candidate': 'La Paz'}
{'statement': 'Between Garissa and Asmara, the city with lower average temperature is Asmara.', 'answer': 'Asmara', 'candidate': 'Garissa'}
{'statement': 'Between Garissa and Saskatoon, the city with lower average temperature is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Garissa'}
{'statement': 'Between Darwin and Fukuoka, the city with lower average temperature is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Darwin'}
{'statement': 'Between Djibouti and Córdoba, the city with lower average temperature is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Djibouti'}
{'statement': 'Between Garissa and Mendoza, the city with lower average temperature is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Garissa'}
{'statement': 'Between Hat Yai and Bahía Blanca, the city with lower average temperature is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Hat Yai'}
{'statement': 'Between Mombasa and Calgary, the city with lower average temperature is Calgary.', 'answer': 'Calgary', 'candidate': 'Mombasa'}
{'statement': 'Between Malabo and Hobart, the city with lower average temperature is Hobart.', 'answer': 'Hobart', 'candidate': 'Malabo'}
{'statement': 'Between San Juan and Reykjavík, the city with lower average temperature is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'San Juan'}
{'statement': 'Between Mexico City and Oslo, the city with lower average temperature is Oslo.', 'answer': 'Oslo', 'candidate': 'Mexico City'}
{'statement': 'Between Kathmandu and Erzurum, the city with lower average temperature is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Kathmandu'}
{'statement': 'Between San Salvador and Lviv, the city with lower average temperature is Lviv.', 'answer': 'Lviv', 'candidate': 'San Salvador'}
{'statement': 'Between Manila and Ankara, the city with lower average temperature is Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'Between Medellín and Chicago, the city with lower average temperature is Chicago.', 'answer': 'Chicago', 'candidate': 'Medellín'}
{'statement': 'Between Thiès and Hobart, the city with lower average temperature is Hobart.', 'answer': 'Hobart', 'candidate': 'Thiès'}
{'statement': 'Between Sokoto and Brussels, the city with lower average temperature is Brussels.', 'answer': 'Brussels', 'candidate': 'Sokoto'}
{'statement': 'Between Cairo and Omaha, the city with lower average temperature is Omaha.', 'answer': 'Omaha', 'candidate': 'Cairo'}
{'statement': 'Between Port Sudan and Christchurch, the city with lower average temperature is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Port Sudan'}
{'statement': 'Between Ankara and Novosibirsk, the city with lower average temperature is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Ankara'}
{'statement': 'Between Abéché and Kuopio, the city with lower average temperature is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Abéché'}
