{'statement': 'Between Addis Ababa and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Addis Ababa'}
{'statement': 'Between Chicago and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Chicago'}
{'statement': 'Between Medellín and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Medellín'}
{'statement': 'Between Perth and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Perth'}
{'statement': 'Between Los Angeles and Lomé, the smaller city is Lomé.', 'answer': 'Lomé', 'candidate': 'Los Angeles'}
{'statement': 'Between Houston and Bishkek, the smaller city is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Houston'}
{'statement': 'Between Paris and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Paris'}
{'statement': 'Between Melbourne and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Melbourne'}
{'statement': 'Between Guadalajara and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Guadalajara'}
{'statement': 'Between Nairobi and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Nairobi'}
{'statement': 'Between London and Bujumbura, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'London'}
{'statement': 'Between Saint Petersburg and Novosibirsk, the smaller city is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Luanda and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Luanda'}
{'statement': 'Between Shanghai and Belgrade, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Shanghai'}
{'statement': 'Between Houston and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Houston'}
{'statement': 'Between Fukuoka and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Fukuoka'}
{'statement': 'Between Sydney and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Sydney'}
{'statement': 'Between Kabul and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Kabul'}
{'statement': 'Between Mexico City and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Mexico City'}
{'statement': 'Between Kunming and Nur-Sultan, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Kunming'}
{'statement': 'Between Mumbai and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Mumbai'}
{'statement': 'Between Sydney and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Sydney'}
{'statement': 'Between Ankara and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ankara'}
{'statement': 'Between Riyadh and Erbil, the smaller city is Erbil.', 'answer': 'Erbil', 'candidate': 'Riyadh'}
{'statement': 'Between Toronto and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Toronto'}
{'statement': 'Between Los Angeles and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Los Angeles'}
{'statement': 'Between London and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'London'}
{'statement': 'Between Ankara and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Ankara'}
{'statement': 'Between Karachi and Kano, the smaller city is Kano.', 'answer': 'Kano', 'candidate': 'Karachi'}
{'statement': 'Between Cairo and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Cairo'}
{'statement': 'Between London and Pontianak, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'London'}
{'statement': 'Between Los Angeles and Belgrade, the smaller city is Belgrade.', 'answer': 'Belgrade', 'candidate': 'Los Angeles'}
{'statement': 'Between Melbourne and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Melbourne'}
{'statement': 'Between Bogotá and Porto Alegre, the smaller city is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Bogotá'}
{'statement': 'Between Saint Petersburg and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Guangzhou and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Guangzhou'}
{'statement': 'Between Hanoi and Bamako, the smaller city is Bamako.', 'answer': 'Bamako', 'candidate': 'Hanoi'}
{'statement': 'Between Los Angeles and Kunming, the smaller city is Kunming.', 'answer': 'Kunming', 'candidate': 'Los Angeles'}
{'statement': 'Between Lagos and Berlin, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Lagos'}
{'statement': 'Between Los Angeles and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Los Angeles'}
{'statement': 'Between Lagos and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Lagos'}
{'statement': 'Between Ho Chi Minh City and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between London and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'London'}
{'statement': 'Between Buenos Aires and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Buenos Aires'}
{'statement': 'Between Guadalajara and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'Guadalajara'}
{'statement': 'Between Alexandria and Nakhon Ratchasima, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Alexandria'}
{'statement': 'Between Dar es Salaam and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Dar es Salaam'}
