{'statement': 'You are looking for a big city to visit. Between Guangzhou and Antofagasta, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Antofagasta'}
{'statement': 'You are looking for a big city to visit. Between Tashkent and Suwałki, you should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Suwałki'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Porto Alegre, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Porto Alegre'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Lhasa, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Lhasa'}
{'statement': 'You are looking for a big city to visit. Between Saint Petersburg and Upington, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Upington'}
{'statement': 'You are looking for a big city to visit. Between Fukuoka and Ségou, you should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Ségou'}
{'statement': 'You are looking for a big city to visit. Between Los Angeles and Murmansk, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Murmansk'}
{'statement': 'You are looking for a big city to visit. Between Harare and Entebbe, you should visit Harare.', 'answer': 'Harare', 'candidate': 'Entebbe'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Lviv, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Lviv'}
{'statement': 'You are looking for a big city to visit. Between Kuwait City and Canberra, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Canberra'}
{'statement': 'You are looking for a big city to visit. Between Jakarta and Changsha, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Changsha'}
{'statement': 'You are looking for a big city to visit. Between Bogotá and Pretoria, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a big city to visit. Between Manila and Toamasina, you should visit Manila.', 'answer': 'Manila', 'candidate': 'Toamasina'}
{'statement': 'You are looking for a big city to visit. Between Nairobi and Antofagasta, you should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Antofagasta'}
{'statement': 'You are looking for a big city to visit. Between Melbourne and Amsterdam, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Amsterdam'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Upington, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Upington'}
{'statement': 'You are looking for a big city to visit. Between Rome and Belize City, you should visit Rome.', 'answer': 'Rome', 'candidate': 'Belize City'}
{'statement': 'You are looking for a big city to visit. Between Santiago and Thiès, you should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Thiès'}
{'statement': 'You are looking for a big city to visit. Between Johannesburg and Podgorica, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Podgorica'}
{'statement': 'You are looking for a big city to visit. Between Hanoi and Abéché, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Abéché'}
{'statement': 'You are looking for a big city to visit. Between Berlin and Christchurch, you should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Christchurch'}
{'statement': 'You are looking for a big city to visit. Between Jakarta and San José, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'San José'}
{'statement': 'You are looking for a big city to visit. Between Guadalajara and Irkutsk, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Irkutsk'}
{'statement': 'You are looking for a big city to visit. Between Kuwait City and Bata, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Bata'}
{'statement': 'You are looking for a big city to visit. Between London and Copenhagen, you should visit London.', 'answer': 'London', 'candidate': 'Copenhagen'}
{'statement': 'You are looking for a big city to visit. Between Luanda and Pretoria, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a big city to visit. Between Perth and Toliara, you should visit Perth.', 'answer': 'Perth', 'candidate': 'Toliara'}
{'statement': 'You are looking for a big city to visit. Between Riyadh and Oslo, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Oslo'}
