{'statement': "I'm looking for a big city to visit. Between Guangzhou and Antofagasta, I should visit Guangzhou.", 'answer': 'Guangzhou', 'candidate': 'Antofagasta'}
{'statement': "I'm looking for a big city to visit. Between Tashkent and Suwałki, I should visit Tashkent.", 'answer': 'Tashkent', 'candidate': 'Suwałki'}
{'statement': "I'm looking for a big city to visit. Between Buenos Aires and Porto Alegre, I should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Porto Alegre'}
{'statement': "I'm looking for a big city to visit. Between Guadalajara and Lhasa, I should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Lhasa'}
{'statement': "I'm looking for a big city to visit. Between Saint Petersburg and Upington, I should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Upington'}
{'statement': "I'm looking for a big city to visit. Between Fukuoka and Ségou, I should visit Fukuoka.", 'answer': 'Fukuoka', 'candidate': 'Ségou'}
{'statement': "I'm looking for a big city to visit. Between Los Angeles and Murmansk, I should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Murmansk'}
{'statement': "I'm looking for a big city to visit. Between Harare and Entebbe, I should visit Harare.", 'answer': 'Harare', 'candidate': 'Entebbe'}
{'statement': "I'm looking for a big city to visit. Between Kabul and Lviv, I should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Lviv'}
{'statement': "I'm looking for a big city to visit. Between Kuwait City and Canberra, I should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Canberra'}
{'statement': "I'm looking for a big city to visit. Between Jakarta and Changsha, I should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'Changsha'}
{'statement': "I'm looking for a big city to visit. Between Bogotá and Pretoria, I should visit Bogotá.", 'answer': 'Bogotá', 'candidate': 'Pretoria'}
{'statement': "I'm looking for a big city to visit. Between Manila and Toamasina, I should visit Manila.", 'answer': 'Manila', 'candidate': 'Toamasina'}
{'statement': "I'm looking for a big city to visit. Between Nairobi and Antofagasta, I should visit Nairobi.", 'answer': 'Nairobi', 'candidate': 'Antofagasta'}
{'statement': "I'm looking for a big city to visit. Between Melbourne and Amsterdam, I should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Amsterdam'}
{'statement': "I'm looking for a big city to visit. Between Kabul and Upington, I should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Upington'}
{'statement': "I'm looking for a big city to visit. Between Rome and Belize City, I should visit Rome.", 'answer': 'Rome', 'candidate': 'Belize City'}
{'statement': "I'm looking for a big city to visit. Between Santiago and Thiès, I should visit Santiago.", 'answer': 'Santiago', 'candidate': 'Thiès'}
{'statement': "I'm looking for a big city to visit. Between Johannesburg and Podgorica, I should visit Johannesburg.", 'answer': 'Johannesburg', 'candidate': 'Podgorica'}
{'statement': "I'm looking for a big city to visit. Between Hanoi and Abéché, I should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Abéché'}
{'statement': "I'm looking for a big city to visit. Between Berlin and Christchurch, I should visit Berlin.", 'answer': 'Berlin', 'candidate': 'Christchurch'}
{'statement': "I'm looking for a big city to visit. Between Jakarta and San José, I should visit Jakarta.", 'answer': 'Jakarta', 'candidate': 'San José'}
{'statement': "I'm looking for a big city to visit. Between Guadalajara and Irkutsk, I should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Irkutsk'}
{'statement': "I'm looking for a big city to visit. Between Kuwait City and Bata, I should visit Kuwait City.", 'answer': 'Kuwait City', 'candidate': 'Bata'}
{'statement': "I'm looking for a big city to visit. Between London and Copenhagen, I should visit London.", 'answer': 'London', 'candidate': 'Copenhagen'}
{'statement': "I'm looking for a big city to visit. Between Luanda and Pretoria, I should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Pretoria'}
{'statement': "I'm looking for a big city to visit. Between Perth and Toliara, I should visit Perth.", 'answer': 'Perth', 'candidate': 'Toliara'}
{'statement': "I'm looking for a big city to visit. Between Riyadh and Oslo, I should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Oslo'}
{'statement': "I'm looking for a big city to visit. Between Luanda and Chihuahua, I should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Chihuahua'}
{'statement': "I'm looking for a big city to visit. Between Dar es Salaam and Porto Alegre, I should visit Dar es Salaam.", 'answer': 'Dar es Salaam', 'candidate': 'Porto Alegre'}
{'statement': "I'm looking for a big city to visit. Between Luanda and Cabo San Lucas, I should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Cabo San Lucas'}
