{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Antofagasta, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a big city to visit. Between Tashkent and Suwałki, this person should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Suwałki'}
{'statement': 'Someone is looking for a big city to visit. Between Buenos Aires and Porto Alegre, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Porto Alegre'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Lhasa, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Lhasa'}
{'statement': 'Someone is looking for a big city to visit. Between Saint Petersburg and Upington, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Upington'}
{'statement': 'Someone is looking for a big city to visit. Between Fukuoka and Ségou, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Murmansk, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a big city to visit. Between Harare and Entebbe, this person should visit Harare.', 'answer': 'Harare', 'candidate': 'Entebbe'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Lviv, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a big city to visit. Between Kuwait City and Canberra, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Canberra'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Changsha, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Changsha'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Pretoria, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a big city to visit. Between Manila and Toamasina, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Toamasina'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Antofagasta, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Amsterdam, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Amsterdam'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Upington, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Upington'}
{'statement': 'Someone is looking for a big city to visit. Between Rome and Belize City, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Thiès, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Thiès'}
{'statement': 'Someone is looking for a big city to visit. Between Johannesburg and Podgorica, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Abéché, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a big city to visit. Between Berlin and Christchurch, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Christchurch'}
