{'statement': 'Between Managua and Amsterdam, the city with higher average temperature is Managua.', 'answer': 'Managua', 'candidate': 'Amsterdam'}
{'statement': 'Between Bujumbura and London, the city with higher average temperature is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'London'}
{'statement': 'Between Nairobi and Minneapolis, the city with higher average temperature is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Minneapolis'}
{'statement': 'Between Karachi and Viedma, the city with higher average temperature is Karachi.', 'answer': 'Karachi', 'candidate': 'Viedma'}
{'statement': 'Between Managua and Suwałki, the city with higher average temperature is Managua.', 'answer': 'Managua', 'candidate': 'Suwałki'}
{'statement': 'Between Bangui and Viedma, the city with higher average temperature is Bangui.', 'answer': 'Bangui', 'candidate': 'Viedma'}
{'statement': 'Between Bujumbura and Ulaanbaatar, the city with higher average temperature is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Lisbon and Ushuaia, the city with higher average temperature is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Ushuaia'}
{'statement': 'Between Abéché and Milan, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Milan'}
{'statement': 'Between Piura and Reykjavík, the city with higher average temperature is Piura.', 'answer': 'Piura', 'candidate': 'Reykjavík'}
{'statement': 'Between Douala and Shanghai, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Shanghai'}
{'statement': 'Between Mumbai and Lviv, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Lviv'}
{'statement': 'Between Djibouti and Toronto, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Toronto'}
{'statement': 'Between Kano and Minneapolis, the city with higher average temperature is Kano.', 'answer': 'Kano', 'candidate': 'Minneapolis'}
{'statement': 'Between Pontianak and Frankfurt, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Frankfurt'}
{'statement': 'Between Tampa and Zagreb, the city with higher average temperature is Tampa.', 'answer': 'Tampa', 'candidate': 'Zagreb'}
{'statement': 'Between Aden and Dublin, the city with higher average temperature is Aden.', 'answer': 'Aden', 'candidate': 'Dublin'}
{'statement': 'Between Malabo and Beijing, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Beijing'}
{'statement': 'Between Brasília and Anchorage, the city with higher average temperature is Brasília.', 'answer': 'Brasília', 'candidate': 'Anchorage'}
{'statement': 'Between Manila and Dublin, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Dublin'}
{'statement': 'Between Lagos and Murmansk, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Murmansk'}
{'statement': 'Between Tripoli and Minneapolis, the city with higher average temperature is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Minneapolis'}
{'statement': 'Between Alexandria and Nur-Sultan, the city with higher average temperature is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Aden and Vienna, the city with higher average temperature is Aden.', 'answer': 'Aden', 'candidate': 'Vienna'}
{'statement': 'Between Hat Yai and Toronto, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Toronto'}
{'statement': 'Between Port Sudan and Ulaanbaatar, the city with higher average temperature is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Douala and Denver, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Denver'}
{'statement': 'Between Hat Yai and Vladivostok, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Vladivostok'}
{'statement': 'Between Chicago and Ulaanbaatar, the city with higher average temperature is Chicago.', 'answer': 'Chicago', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Nakhon Ratchasima and Kunming, the city with higher average temperature is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Kunming'}
{'statement': 'Between Port-Gentil and Melbourne, the city with higher average temperature is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Melbourne'}
{'statement': 'Between Durban and Nur-Sultan, the city with higher average temperature is Durban.', 'answer': 'Durban', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Hat Yai and Saskatoon, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Saskatoon'}
{'statement': 'Between Kano and Erzurum, the city with higher average temperature is Kano.', 'answer': 'Kano', 'candidate': 'Erzurum'}
{'statement': 'Between Aden and Kabul, the city with higher average temperature is Aden.', 'answer': 'Aden', 'candidate': 'Kabul'}
{'statement': 'Between Villahermosa and Irkutsk, the city with higher average temperature is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Irkutsk'}
{'statement': 'Between Ndola and Suwałki, the city with higher average temperature is Ndola.', 'answer': 'Ndola', 'candidate': 'Suwałki'}
{'statement': 'Between Lomé and Toluca, the city with higher average temperature is Lomé.', 'answer': 'Lomé', 'candidate': 'Toluca'}
{'statement': 'Between Tabora and Milwaukee, the city with higher average temperature is Tabora.', 'answer': 'Tabora', 'candidate': 'Milwaukee'}
{'statement': 'Between San Juan and Tashkent, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Tashkent'}
{'statement': 'Between Phnom Penh and Mexico City, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Mexico City'}
{'statement': 'Between Mumbai and Rome, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Rome'}
