{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Florianópolis, this person should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Lagos and Auckland, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Garoua, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Garissa, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Denver, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Mombasa, this person should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Guangzhou and Monterrey, this person should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Guadalajara and Florianópolis, this person should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a small city to visit. Between Tampa and La Ceiba, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Guadalajara and Beirut, this person should visit Beirut.', 'answer': 'Beirut', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and Baku, this person should visit Baku.', 'answer': 'Baku', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Tampa and Aden, this person should visit Aden.', 'answer': 'Aden', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Medellín and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Medellín'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Albuquerque, this person should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Tampa and Malabo, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Beijing and Parakou, this person should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Yaoundé and Tamanrasset, this person should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Yaoundé'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and El Paso, this person should visit El Paso.', 'answer': 'El Paso', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Melbourne and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Addis Ababa and Ségou, this person should visit Ségou.', 'answer': 'Ségou', 'candidate': 'Addis Ababa'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Honolulu, this person should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Lima and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Guadalajara and Ürümqi, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Erbil, this person should visit Erbil.', 'answer': 'Erbil', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Hat Yai, this person should visit Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Algiers and Mandalay, this person should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Algiers'}
{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Garissa, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Reykjavík, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Ho Chi Minh City and Lisbon, this person should visit Lisbon.', 'answer': 'Lisbon', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Zagreb, this person should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Melbourne and Lusaka, this person should visit Lusaka.', 'answer': 'Lusaka', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Bangkok and Toliara, this person should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Hanoi and Calgary, this person should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a small city to visit. Between Guangzhou and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Mexico City and Makassar, this person should visit Makassar.', 'answer': 'Makassar', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Córdoba, this person should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Halifax, this person should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Shanghai and San Antonio, this person should visit San Antonio.', 'answer': 'San Antonio', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Sydney and San José, this person should visit San José.', 'answer': 'San José', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Ljubljana, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between London and Barranquilla, this person should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'London'}
{'statement': 'Someone is looking for a small city to visit. Between Surabaya and Bucharest, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Mahajanga, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Paramaribo, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Brasília and Bata, this person should visit Bata.', 'answer': 'Bata', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Karachi, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Rome and Napier, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Rome'}
