{'statement': 'You are looking for a city with warm weather. Between Bamako and Dublin, you should visit Bamako.', 'answer': 'Bamako', 'candidate': 'Dublin'}
{'statement': 'You are looking for a city with warm weather. Between Willemstad and Baltimore, you should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Baltimore'}
{'statement': 'You are looking for a city with warm weather. Between Willemstad and Tirana, you should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Tirana'}
{'statement': 'You are looking for a city with warm weather. Between Toamasina and Indianapolis, you should visit Toamasina.', 'answer': 'Toamasina', 'candidate': 'Indianapolis'}
{'statement': 'You are looking for a city with warm weather. Between Pontianak and Zagreb, you should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Zagreb'}
{'statement': 'You are looking for a city with warm weather. Between Hat Yai and Skopje, you should visit Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Skopje'}
{'statement': 'You are looking for a city with warm weather. Between Lomé and Lhasa, you should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Lhasa'}
{'statement': 'You are looking for a city with warm weather. Between Muscat and Punta Arenas, you should visit Muscat.', 'answer': 'Muscat', 'candidate': 'Punta Arenas'}
{'statement': 'You are looking for a city with warm weather. Between Garissa and Podgorica, you should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Podgorica'}
{'statement': 'You are looking for a city with warm weather. Between Kathmandu and Suwałki, you should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Suwałki'}
{'statement': 'You are looking for a city with warm weather. Between Ouahigouya and Saint Petersburg, you should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a city with warm weather. Between Hamilton and Erzurum, you should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Erzurum'}
{'statement': 'You are looking for a city with warm weather. Between Douala and Skopje, you should visit Douala.', 'answer': 'Douala', 'candidate': 'Skopje'}
{'statement': 'You are looking for a city with warm weather. Between Antofagasta and Minsk, you should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Minsk'}
