{'statement': 'Someone is looking for a big city to visit. Between Rome and San Juan, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a big city to visit. Between Manila and Mahajanga, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Christchurch, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Christchurch'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Murmansk, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a big city to visit. Between Ho Chi Minh City and Piura, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Piura'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Tabora, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Tabora'}
{'statement': 'Someone is looking for a big city to visit. Between Algiers and Asmara, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Asmara'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Tripoli, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Tripoli'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Port Sudan, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Port Sudan'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Kuwait City, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Lviv, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Goiânia, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Goiânia'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Florianópolis, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Florianópolis'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Sucre, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Sucre'}
{'statement': 'Someone is looking for a big city to visit. Between Douala and Port-Gentil, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Port-Gentil'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Dublin, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Dublin'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Bratislava, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'Someone is looking for a big city to visit. Between Dar es Salaam and Lusaka, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Lusaka'}
