{'statement': 'Someone is looking for a city with warm weather. Between Anchorage and Tampa, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'Someone is looking for a city with warm weather. Between Bamako and Auckland, this person should visit Bamako.', 'answer': 'Bamako', 'candidate': 'Auckland'}
{'statement': 'Someone is looking for a city with warm weather. Between Suwałki and Luanda, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Suwałki'}
{'statement': 'Someone is looking for a city with warm weather. Between Pontianak and Sucre, this person should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Sucre'}
{'statement': 'Someone is looking for a city with warm weather. Between Mahajanga and Bergen, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bergen'}
{'statement': 'Someone is looking for a city with warm weather. Between Frankfurt and Barranquilla, this person should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Frankfurt'}
{'statement': 'Someone is looking for a city with warm weather. Between Pontianak and Lyon, this person should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Lyon'}
{'statement': 'Someone is looking for a city with warm weather. Between Port Sudan and Vladivostok, this person should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Vladivostok'}
{'statement': 'Someone is looking for a city with warm weather. Between Managua and Kansas City, this person should visit Managua.', 'answer': 'Managua', 'candidate': 'Kansas City'}
{'statement': 'Someone is looking for a city with warm weather. Between Managua and Belgrade, this person should visit Managua.', 'answer': 'Managua', 'candidate': 'Belgrade'}
{'statement': 'Someone is looking for a city with warm weather. Between Reykjavík and Hanoi, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a city with warm weather. Between Ushuaia and Maputo, this person should visit Maputo.', 'answer': 'Maputo', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a city with warm weather. Between Bogotá and Suva, this person should visit Suva.', 'answer': 'Suva', 'candidate': 'Bogotá'}
{'statement': 'Someone is looking for a city with warm weather. Between Ottawa and Mendoza, this person should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Ottawa'}
{'statement': 'Someone is looking for a city with warm weather. Between Ulaanbaatar and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Ulaanbaatar'}
{'statement': 'Someone is looking for a city with warm weather. Between Makurdi and London, this person should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'London'}
{'statement': 'Someone is looking for a city with warm weather. Between Irkutsk and Bishkek, this person should visit Bishkek.', 'answer': 'Bishkek', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Panama City and Mexico City, this person should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a city with warm weather. Between Port Moresby and Addis Ababa, this person should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Addis Ababa'}
{'statement': 'Someone is looking for a city with warm weather. Between Djibouti and Harare, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Harare'}
{'statement': 'Someone is looking for a city with warm weather. Between Oslo and Riyadh, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Oslo'}
{'statement': 'Someone is looking for a city with warm weather. Between Sapporo and Medellín, this person should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a city with warm weather. Between Antsiranana and Milan, this person should visit Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Milan'}
{'statement': 'Someone is looking for a city with warm weather. Between Saint Petersburg and Djibouti, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Saint Petersburg'}
{'statement': 'Someone is looking for a city with warm weather. Between Bangkok and Asmara, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Asmara'}
{'statement': 'Someone is looking for a city with warm weather. Between Pittsburgh and Entebbe, this person should visit Entebbe.', 'answer': 'Entebbe', 'candidate': 'Pittsburgh'}
{'statement': 'Someone is looking for a city with warm weather. Between Reykjavík and Buenos Aires, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a city with warm weather. Between Willemstad and Curitiba, this person should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Curitiba'}
{'statement': 'Someone is looking for a city with warm weather. Between Anchorage and Changsha, this person should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Anchorage'}
{'statement': 'Someone is looking for a city with warm weather. Between Vladivostok and Auckland, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Vladivostok'}
{'statement': 'Someone is looking for a city with warm weather. Between Manaus and Bratislava, this person should visit Manaus.', 'answer': 'Manaus', 'candidate': 'Bratislava'}
{'statement': 'Someone is looking for a city with warm weather. Between Mahajanga and Toluca, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Toluca'}
{'statement': 'Someone is looking for a city with warm weather. Between San Juan and Shanghai, this person should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a city with warm weather. Between Napier and Paramaribo, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Napier'}
{'statement': 'Someone is looking for a city with warm weather. Between Sapporo and Dodoma, this person should visit Dodoma.', 'answer': 'Dodoma', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a city with warm weather. Between Ségou and La Serena, this person should visit Ségou.', 'answer': 'Ségou', 'candidate': 'La Serena'}
{'statement': 'Someone is looking for a city with warm weather. Between Conakry and Anchorage, this person should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Anchorage'}
{'statement': 'Someone is looking for a city with warm weather. Between Baku and Phnom Penh, this person should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Baku'}
{'statement': 'Someone is looking for a city with warm weather. Between Dublin and Djibouti, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Dublin'}
{'statement': 'Someone is looking for a city with warm weather. Between Vladivostok and Mendoza, this person should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Vladivostok'}
{'statement': 'Someone is looking for a city with warm weather. Between Santiago and Suva, this person should visit Suva.', 'answer': 'Suva', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a city with warm weather. Between Canberra and Denpasar, this person should visit Denpasar.', 'answer': 'Denpasar', 'candidate': 'Canberra'}
{'statement': 'Someone is looking for a city with warm weather. Between Manila and Yinchuan, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Yinchuan'}
{'statement': 'Someone is looking for a city with warm weather. Between Lyon and La Ceiba, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Lyon'}
{'statement': 'Someone is looking for a city with warm weather. Between Mombasa and Ottawa, this person should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Ottawa'}
{'statement': 'Someone is looking for a city with warm weather. Between Rome and Erzurum, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'Erzurum'}
{'statement': 'Someone is looking for a city with warm weather. Between Omaha and San José, this person should visit San José.', 'answer': 'San José', 'candidate': 'Omaha'}
{'statement': 'Someone is looking for a city with warm weather. Between Ouahigouya and Yakutsk, this person should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Yakutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Ürümqi and Hanoi, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a city with warm weather. Between Kuopio and Cotonou, this person should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Bata and Ankara, this person should visit Bata.', 'answer': 'Bata', 'candidate': 'Ankara'}
