{'statement': 'Between Baghdad and Ségou, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Ségou'}
{'statement': 'Between Hanoi and Milwaukee, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Milwaukee'}
{'statement': 'Between Mumbai and Damascus, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Damascus'}
{'statement': 'Between Los Angeles and Kathmandu, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Kathmandu'}
{'statement': 'Between Toronto and Indianapolis, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Indianapolis'}
{'statement': 'Between Riyadh and Kampala, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kampala'}
{'statement': 'Between Tampa and Fairbanks, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Fairbanks'}
{'statement': 'Between Lagos and Omaha, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Omaha'}
{'statement': 'Between Santiago and Wau, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Wau'}
{'statement': 'Between Guangzhou and Sapporo, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Sapporo'}
{'statement': 'Between Addis Ababa and La Ceiba, the city with a larger population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
{'statement': 'Between Karachi and Damascus, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Damascus'}
{'statement': 'Between Nairobi and Sapporo, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Sapporo'}
{'statement': 'Between Dar es Salaam and Bucharest, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Bucharest'}
{'statement': 'Between Lahore and Rome, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Rome'}
{'statement': 'Between Karachi and Kathmandu, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Kathmandu'}
{'statement': 'Between Surabaya and Calgary, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Calgary'}
{'statement': 'Between Buenos Aires and Port-Gentil, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port-Gentil'}
{'statement': 'Between Kano and Christchurch, the city with a larger population is Kano.', 'answer': 'Kano', 'candidate': 'Christchurch'}
{'statement': 'Between Lagos and Alexandria, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Alexandria'}
{'statement': 'Between Brasília and Ushuaia, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Ushuaia'}
{'statement': 'Between Lahore and Harare, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Harare'}
{'statement': 'Between Toronto and La Paz, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'La Paz'}
{'statement': 'Between Ho Chi Minh City and Wellington, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Wellington'}
{'statement': 'Between Toronto and Malabo, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Malabo'}
{'statement': 'Between Tashkent and Port-Gentil, the city with a larger population is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Port-Gentil'}
{'statement': 'Between Jakarta and Bucharest, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Bucharest'}
{'statement': 'Between Moscow and Rangpur, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Rangpur'}
{'statement': 'Between Denver and Oslo, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Oslo'}
{'statement': 'Between Johannesburg and Sokoto, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Sokoto'}
{'statement': 'Between Shanghai and Belize City, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Belize City'}
{'statement': 'Between Dar es Salaam and Novosibirsk, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Novosibirsk'}
{'statement': 'Between Ho Chi Minh City and Nairobi, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Nairobi'}
