{'statement': 'Between Phoenix and Ljubljana, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Ljubljana'}
{'statement': 'Between Ho Chi Minh City and Luanda, the city with a larger population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Luanda'}
{'statement': 'Between Maputo and Shanghai, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Maputo'}
{'statement': 'Between Ljubljana and Minneapolis, the city with a larger population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Ljubljana'}
{'statement': 'Between Cairo and Caracas, the city with a larger population is Cairo.', 'answer': 'Cairo', 'candidate': 'Caracas'}
{'statement': 'Between Cabo San Lucas and Minneapolis, the city with a larger population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Brasília and Upington, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Upington'}
{'statement': 'Between Manila and Bangkok, the city with a larger population is Manila.', 'answer': 'Manila', 'candidate': 'Bangkok'}
{'statement': 'Between Dar es Salaam and Manaus, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Manaus'}
{'statement': 'Between La Ceiba and Addis Ababa, the city with a larger population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
{'statement': 'Between Phoenix and Bergen, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bergen'}
{'statement': 'Between Reykjavík and Houston, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Reykjavík'}
{'statement': 'Between Baku and Saint Petersburg, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Baku'}
{'statement': 'Between Paris and Changsha, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Changsha'}
{'statement': 'Between Mumbai and Ndola, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ndola'}
