{'statement': 'Someone is looking for a city with cold weather. Between Darwin and Fukuoka, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Darwin'}
{'statement': 'Someone is looking for a city with cold weather. Between Viedma and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Viedma'}
{'statement': 'Someone is looking for a city with cold weather. Between Napier and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Napier'}
{'statement': 'Someone is looking for a city with cold weather. Between Panama City and Mendoza, this person should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Panama City'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Phnom Penh and Napier, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Phnom Penh'}
{'statement': 'Someone is looking for a city with cold weather. Between Cabo San Lucas and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Cabo San Lucas'}
{'statement': 'Someone is looking for a city with cold weather. Between Abéché and Los Angeles, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a city with cold weather. Between Perth and Anchorage, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Perth'}
{'statement': 'Someone is looking for a city with cold weather. Between Kuwait City and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a city with cold weather. Between Caracas and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Caracas'}
{'statement': 'Someone is looking for a city with cold weather. Between Hanoi and Wellington, this person should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a city with cold weather. Between Pretoria and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a city with cold weather. Between Barranquilla and Calgary, this person should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a city with cold weather. Between Piura and Brussels, this person should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Piura'}
{'statement': 'Someone is looking for a city with cold weather. Between Karachi and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a city with cold weather. Between Yaoundé and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Yaoundé'}
{'statement': 'Someone is looking for a city with cold weather. Between Mumbai and Lyon, this person should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a city with cold weather. Between Hat Yai and Belgrade, this person should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Hat Yai'}
{'statement': 'Someone is looking for a city with cold weather. Between Garoua and Omaha, this person should visit Omaha.', 'answer': 'Omaha', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a city with cold weather. Between Bangui and Podgorica, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Bangui'}
{'statement': 'Someone is looking for a city with cold weather. Between Caracas and Ushuaia, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Caracas'}
{'statement': 'Someone is looking for a city with cold weather. Between Brasília and Zürich, this person should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a city with cold weather. Between Douala and Johannesburg, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a city with cold weather. Between Paramaribo and Ljubljana, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Paramaribo'}
{'statement': 'Someone is looking for a city with cold weather. Between Pittsburgh and Murmansk, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Pittsburgh'}
{'statement': 'Someone is looking for a city with cold weather. Between Nouakchott and Chicago, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Nouakchott'}
{'statement': 'Someone is looking for a city with cold weather. Between Neuquén and Reykjavík, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Neuquén'}
{'statement': 'Someone is looking for a city with cold weather. Between Ségou and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a city with cold weather. Between Riyadh and Toluca, this person should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a city with cold weather. Between Tucson and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Tucson'}
{'statement': 'Someone is looking for a city with cold weather. Between Lima and Ushuaia, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a city with cold weather. Between Pontianak and Curitiba, this person should visit Curitiba.', 'answer': 'Curitiba', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a city with cold weather. Between Paramaribo and Cape Town, this person should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Paramaribo'}
{'statement': 'Someone is looking for a city with cold weather. Between Managua and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Managua'}
{'statement': 'Someone is looking for a city with cold weather. Between Hat Yai and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Hat Yai'}
{'statement': 'Someone is looking for a city with cold weather. Between Hat Yai and Neuquén, this person should visit Neuquén.', 'answer': 'Neuquén', 'candidate': 'Hat Yai'}
{'statement': 'Someone is looking for a city with cold weather. Between Jakarta and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a city with cold weather. Between Darwin and Rome, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'Darwin'}
{'statement': 'Someone is looking for a city with cold weather. Between Luanda and Oslo, this person should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a city with cold weather. Between Hanoi and Vienna, this person should visit Vienna.', 'answer': 'Vienna', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a city with cold weather. Between Makassar and Belgrade, this person should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Makassar'}
{'statement': 'Someone is looking for a city with cold weather. Between Lima and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a city with cold weather. Between Ouahigouya and Ottawa, this person should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Ouahigouya'}
{'statement': 'Someone is looking for a city with cold weather. Between Managua and Toronto, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Managua'}
{'statement': 'Someone is looking for a city with cold weather. Between Palermo and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Palermo'}
{'statement': 'Someone is looking for a city with cold weather. Between Aden and Palermo, this person should visit Palermo.', 'answer': 'Palermo', 'candidate': 'Aden'}
{'statement': 'Someone is looking for a city with cold weather. Between Willemstad and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between San José and Boise, this person should visit Boise.', 'answer': 'Boise', 'candidate': 'San José'}
{'statement': 'Someone is looking for a city with cold weather. Between San José and Amsterdam, this person should visit Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'San José'}
{'statement': 'Someone is looking for a city with cold weather. Between Dodoma and Yinchuan, this person should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Dodoma'}
{'statement': 'Someone is looking for a city with cold weather. Between Mexico City and Halifax, this person should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a city with cold weather. Between Medellín and Suwałki, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Medellín'}
{'statement': 'Someone is looking for a city with cold weather. Between Villahermosa and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Villahermosa'}
{'statement': 'Someone is looking for a city with cold weather. Between Nakhon Ratchasima and Zagreb, this person should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Someone is looking for a city with cold weather. Between Kampala and Río Gallegos, this person should visit Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Kampala'}
{'statement': 'Someone is looking for a city with cold weather. Between Conakry and Milwaukee, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Conakry'}
{'statement': 'Someone is looking for a city with cold weather. Between Lake Havasu City and Vienna, this person should visit Vienna.', 'answer': 'Vienna', 'candidate': 'Lake Havasu City'}
