{'statement': "You don't like restaurants further away. Between JJ Bean and Sushi Shop, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "You don't like restaurants further away. Between Carole's Cheesecake Cafe and Anatolia Restaurant, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You don't like restaurants further away. Between EJ Sushi and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'EJ Sushi'}
{'statement': "You don't like restaurants further away. Between Hawthorne Food and Drink and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "You don't like restaurants further away. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like restaurants further away. Between Juice & Java Cafe and Eastern legend, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Eastern legend'}
{'statement': "You don't like restaurants further away. Between Kim PO Vietnamese and Banjara Indian Cuisine, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like restaurants further away. Between Mirage Grill & Lounge and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like restaurants further away. Between La Cocina De Dona Luz and Helena's Magic Kitchen, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like restaurants further away. Between Popeyes Louisiana Kitchen and Freshii, you should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between Breakfast Room and Shawarma Twist, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like restaurants further away. Between Mamma's Pizza and Mt Everest Restaurant, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like restaurants further away. Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like restaurants further away. Between Mi Mi Restaurant and La Pupusa Loka, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like restaurants further away. Between Dangerous Dan's Diner and Tierra Azteca, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Tierra Azteca'}
{'statement': "You don't like restaurants further away. Between The Empire and Eastern legend, you should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Eastern legend'}
{'statement': "You don't like restaurants further away. Between Grappa Ristorante and Basil Express Restaurant, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like restaurants further away. Between Mirage Grill & Lounge and Chick Fiesta, you should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like restaurants further away. Between Helena's Magic Kitchen and Amaya Express, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like restaurants further away. Between Buk Chang Dong Soon Tofu and Domino's Pizza, you should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Domino's Pizza"}
{'statement': "You don't like restaurants further away. Between Magic Oven and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between La Pupusa Loka and Ici Bistro, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Chick Fiesta and Nutella Cafe by Pusateri's, you should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like restaurants further away. Between Cake Opera and St. Louis Bar & Grill, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': "You don't like restaurants further away. Between Oxygen Restaurant & Lounge and Freshii, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between Freshii and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between Assembly Chef's Hall and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Queen Pita, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Queen Pita'}
{'statement': "You don't like restaurants further away. Between Big Al's Diner and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': "Big Al's Diner"}
{'statement': "You don't like restaurants further away. Between To-ne Sushi and Thai 4 You Restaurant, you should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'To-ne Sushi'}
{'statement': "You don't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Beryl's Pepper Pot"}
{'statement': "You don't like restaurants further away. Between Grappa Ristorante and Cantine Bar & Grill, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like restaurants further away. Between Kairali - Taste of Kerala and Cake Opera, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Cake Opera'}
{'statement': "You don't like restaurants further away. Between Nook and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Nook'}
{'statement': "You don't like restaurants further away. Between To-ne Sushi and Harvey's, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'To-ne Sushi'}
{'statement': "You don't like restaurants further away. Between Chipotle Mexican Grill and Eggspectation, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Aris Place and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Aris Place'}
{'statement': "You don't like restaurants further away. Between Sky Dragon Chinese Restaurant and Hina Sushi, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "You don't like restaurants further away. Between Mövenpick Café and Magic Oven, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Magic Oven'}
