{'statement': 'Between Monterrey and Florianópolis, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Florianópolis'}
{'statement': 'Between Saint Petersburg and Kathmandu, the city with a larger population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Kathmandu'}
{'statement': 'Between Phoenix and Mandalay, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Mandalay'}
{'statement': 'Between Sydney and Antofagasta, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Antofagasta'}
{'statement': 'Between Buenos Aires and Port-Gentil, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port-Gentil'}
{'statement': 'Between Ürümqi and Cotonou, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cotonou'}
{'statement': 'Between Tampa and Makurdi, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Makurdi'}
{'statement': 'Between Phoenix and Podgorica, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Podgorica'}
{'statement': 'Between Guangzhou and Mahajanga, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Mahajanga'}
{'statement': 'Between Medellín and Neuquén, the city with a larger population is Medellín.', 'answer': 'Medellín', 'candidate': 'Neuquén'}
{'statement': 'Between Surabaya and Erbil, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Erbil'}
{'statement': 'Between Denver and Juba, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Juba'}
{'statement': 'Between Lagos and Yakutsk, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Yakutsk'}
{'statement': 'Between Jakarta and Palermo, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Palermo'}
{'statement': 'Between Karachi and Minneapolis, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Minneapolis'}
{'statement': 'Between Surabaya and Fukuoka, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Fukuoka'}
{'statement': 'Between Kabul and Pretoria, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Pretoria'}
{'statement': 'Between Lagos and Surabaya, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Surabaya'}
{'statement': 'Between Bangkok and Curitiba, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Curitiba'}
{'statement': 'Between Lima and Pretoria, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Pretoria'}
{'statement': 'Between Denver and Podgorica, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Podgorica'}
{'statement': 'Between Mexico City and Ouahigouya, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Ouahigouya'}
{'statement': 'Between Mumbai and Pontianak, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Pontianak'}
{'statement': 'Between Melbourne and Nouakchott, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Nouakchott'}
{'statement': 'Between Douala and Ségou, the city with a larger population is Douala.', 'answer': 'Douala', 'candidate': 'Ségou'}
{'statement': 'Between Brisbane and Kuopio, the city with a larger population is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Kuopio'}
{'statement': 'Between Buenos Aires and Panama City, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Panama City'}
{'statement': 'Between Guangzhou and Boise, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Boise'}
{'statement': 'Between Guangzhou and Ouahigouya, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Ouahigouya'}
{'statement': 'Between Shanghai and Cape Town, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cape Town'}
{'statement': 'Between Rome and La Paz, the city with a larger population is Rome.', 'answer': 'Rome', 'candidate': 'La Paz'}
{'statement': 'Between Chicago and Novosibirsk, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Novosibirsk'}
{'statement': 'Between Ankara and Wellington, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'Wellington'}
{'statement': 'Between Ürümqi and Ndola, the city with a larger population is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Ndola'}
{'statement': 'Between Toronto and Podgorica, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Podgorica'}
{'statement': 'Between Lahore and Aden, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Aden'}
{'statement': 'Between Kuwait City and Lomé, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Lomé'}
{'statement': 'Between Kunming and San Diego, the city with a larger population is Kunming.', 'answer': 'Kunming', 'candidate': 'San Diego'}
{'statement': 'Between Paris and Lomé, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Lomé'}
{'statement': 'Between Karachi and Barranquilla, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'Barranquilla'}
{'statement': 'Between Riyadh and Pretoria, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Pretoria'}
