{'statement': 'You are looking for restaurants further away. Between Sushi Shop and JJ Bean, you should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "You are looking for restaurants further away. Between Carole's Cheesecake Cafe and Anatolia Restaurant, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Anatolia Restaurant'}
{'statement': "You are looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and EJ Sushi, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': 'You are looking for restaurants further away. Between Hawthorne Food and Drink and Juice & Java Cafe, you should go to Hawthorne Food and Drink.', 'answer': 'Hawthorne Food and Drink', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for restaurants further away. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'You are looking for restaurants further away. Between Juice & Java Cafe and Eastern legend, you should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for restaurants further away. Between Kim PO Vietnamese and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Kim PO Vietnamese'}
{'statement': 'You are looking for restaurants further away. Between Branca and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Branca'}
{'statement': "You are looking for restaurants further away. Between La Cocina De Dona Luz and Helena's Magic Kitchen, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'La Cocina De Dona Luz'}
{'statement': 'You are looking for restaurants further away. Between Popeyes Louisiana Kitchen and Freshii, you should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'You are looking for restaurants further away. Between Shawarma Twist and Breakfast Room, you should go to Shawarma Twist.', 'answer': 'Shawarma Twist', 'candidate': 'Breakfast Room'}
{'statement': "You are looking for restaurants further away. Between Mt Everest Restaurant and Mamma's Pizza, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': 'You are looking for restaurants further away. Between Buk Chang Dong Soon Tofu and Delicious Paradise Kitchen, you should go to Buk Chang Dong Soon Tofu.', 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': 'You are looking for restaurants further away. Between La Pupusa Loka and Mi Mi Restaurant, you should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'La Pupusa Loka'}
{'statement': "You are looking for restaurants further away. Between Warung Indonesia D'Eglinton and Helena's Magic Kitchen, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You are looking for restaurants further away. Between Dangerous Dan's Diner and Tierra Azteca, you should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'You are looking for restaurants further away. Between The Empire and Eastern legend, you should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'The Empire'}
{'statement': 'You are looking for restaurants further away. Between Basil Express Restaurant and Grappa Ristorante, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Basil Express Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Chick Fiesta and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Chick Fiesta'}
{'statement': "You are looking for restaurants further away. Between Helena's Magic Kitchen and Amaya Express, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Amaya Express'}
{'statement': "You are looking for restaurants further away. Between Domino's Pizza and Buk Chang Dong Soon Tofu, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': 'You are looking for restaurants further away. Between Magic Oven and Sushi World, you should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': 'You are looking for restaurants further away. Between Ici Bistro and La Pupusa Loka, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'La Pupusa Loka'}
{'statement': "You are looking for restaurants further away. Between Nutella Cafe by Pusateri's and Chick Fiesta, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Chick Fiesta'}
{'statement': 'You are looking for restaurants further away. Between St. Louis Bar & Grill and Cake Opera, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'You are looking for restaurants further away. Between Freshii and Oxygen Restaurant & Lounge, you should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': 'You are looking for restaurants further away. Between Freshii and Kim PO Vietnamese, you should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You are looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for restaurants further away. Between Queen Pita and Paradise Farms Prime Beef Bistro, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You are looking for restaurants further away. Between Big Al's Diner and Tik Talk Cafe, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tik Talk Cafe'}
{'statement': 'You are looking for restaurants further away. Between Thai 4 You Restaurant and To-ne Sushi, you should go to To-ne Sushi.', 'answer': 'To-ne Sushi', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "You are looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for restaurants further away. Between Grappa Ristorante and Cantine Bar & Grill, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Cantine Bar & Grill'}
{'statement': 'You are looking for restaurants further away. Between Kairali - Taste of Kerala and Cake Opera, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'You are looking for restaurants further away. Between Itamae Ayce Sushi and Nook, you should go to Nook.', 'answer': 'Nook', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You are looking for restaurants further away. Between To-ne Sushi and Harvey's, you should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': "Harvey's"}
{'statement': 'You are looking for restaurants further away. Between Chipotle Mexican Grill and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'You are looking for restaurants further away. Between Madras Pantry and Aris Place, you should go to Aris Place.', 'answer': 'Aris Place', 'candidate': 'Madras Pantry'}
{'statement': 'You are looking for restaurants further away. Between Hina Sushi and Sky Dragon Chinese Restaurant, you should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Magic Oven and Mövenpick Café, you should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'Mövenpick Café'}
{'statement': 'You are looking for restaurants further away. Between Cake Opera and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for restaurants further away. Between Madras Pantry and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Madras Pantry'}
{'statement': "You are looking for restaurants further away. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': 'You are looking for restaurants further away. Between FreshCo and Evoo Ristorante, you should go to FreshCo.', 'answer': 'FreshCo', 'candidate': 'Evoo Ristorante'}
{'statement': 'You are looking for restaurants further away. Between Fit For Life and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.', 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Fit For Life'}
{'statement': 'You are looking for restaurants further away. Between Basil Express Restaurant and Queen Pita, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Basil Express Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Anatolia Restaurant and Ici Bistro, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Anatolia Restaurant'}
{'statement': "You are looking for restaurants further away. Between It's All Grk and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': "It's All Grk"}
{'statement': "You are looking for restaurants further away. Between Basha Middle Eastern Grill and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': 'You are looking for restaurants further away. Between Tim Hortons and New Bilan Restaurant, you should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Tim Hortons'}
{'statement': 'You are looking for restaurants further away. Between LCBO and Lahore Grill & Fast Food, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'You are looking for restaurants further away. Between JJ Bean and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'JJ Bean'}
{'statement': 'You are looking for restaurants further away. Between The Empire and Sushi Time Japanese Restaurant, you should go to Sushi Time Japanese Restaurant.', 'answer': 'Sushi Time Japanese Restaurant', 'candidate': 'The Empire'}
{'statement': 'You are looking for restaurants further away. Between Goldstone Noodle Restaurant and Topham Corner, you should go to Topham Corner.', 'answer': 'Topham Corner', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Sushi Shop and Freshii, you should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Sushi Shop'}
{'statement': 'You are looking for restaurants further away. Between Eggspectation and Bao Bao Plus Dim Sum, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': 'You are looking for restaurants further away. Between Pizzeria Via Mercanti and Ardor Bistro, you should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Ardor Bistro'}
{'statement': "You are looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You are looking for restaurants further away. Between Le Papillon Park and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Le Papillon Park'}
{'statement': 'You are looking for restaurants further away. Between Kairali - Taste of Kerala and Tierra Azteca, you should go to Tierra Azteca.', 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'You are looking for restaurants further away. Between Juice & Java Cafe and Tierra Azteca, you should go to Tierra Azteca.', 'answer': 'Tierra Azteca', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for restaurants further away. Between The Duke of Devon and Basha Middle Eastern Grill, you should go to The Duke of Devon.', 'answer': 'The Duke of Devon', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': 'You are looking for restaurants further away. Between Verona Restaurant and Sushi Shop, you should go to Verona Restaurant.', 'answer': 'Verona Restaurant', 'candidate': 'Sushi Shop'}
{'statement': 'You are looking for restaurants further away. Between Just Soups Take Out & Catering and Sizzlers, you should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': 'You are looking for restaurants further away. Between Lebanese Bakery and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Lebanese Bakery'}
{'statement': 'You are looking for restaurants further away. Between z-teca Gourmet Burritos and LCBO, you should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'LCBO'}
{'statement': 'You are looking for restaurants further away. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': 'You are looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Queen Pita, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for restaurants further away. Between Evoo Ristorante and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Evoo Ristorante'}
{'statement': 'You are looking for restaurants further away. Between Mt Everest Restaurant and Kairali - Taste of Kerala, you should go to Mt Everest Restaurant.', 'answer': 'Mt Everest Restaurant', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You are looking for restaurants further away. Between Fit For Life and Big Al's Diner, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Fit For Life'}
{'statement': 'You are looking for restaurants further away. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, you should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "You are looking for restaurants further away. Between Queen Slice and Piper's Pub And Grill, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Piper's Pub And Grill"}
{'statement': "You are looking for restaurants further away. Between Dinah's Cupboard and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for restaurants further away. Between Breakfast Room and Thompson Rooftop, you should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Breakfast Room'}
{'statement': 'You are looking for restaurants further away. Between Viccino Pizzeria and Daily Press Juicery, you should go to Viccino Pizzeria.', 'answer': 'Viccino Pizzeria', 'candidate': 'Daily Press Juicery'}
{'statement': 'You are looking for restaurants further away. Between Mövenpick Café and Tian An Cuisine, you should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Tian An Cuisine'}
{'statement': "You are looking for restaurants further away. Between Roncy's Bean and Madras Pantry, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Madras Pantry'}
{'statement': "You are looking for restaurants further away. Between Assembly Chef's Hall and Falafel House, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Falafel House'}
{'statement': 'You are looking for restaurants further away. Between Queen Pita and Chipotle Mexican Grill, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'You are looking for restaurants further away. Between Basil Express Restaurant and The Duke of Devon, you should go to The Duke of Devon.', 'answer': 'The Duke of Devon', 'candidate': 'Basil Express Restaurant'}
{'statement': "You are looking for restaurants further away. Between Capitol Trattoria Pizzeria and Dinah's Cupboard, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "You are looking for restaurants further away. Between Itamae Ayce Sushi and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You are looking for restaurants further away. Between Beryl's Pepper Pot and El Fogón, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'El Fogón'}
{'statement': 'You are looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Eggspectation, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You are looking for restaurants further away. Between Piper's Pub And Grill and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': "Piper's Pub And Grill"}
{'statement': "You are looking for restaurants further away. Between Watson's and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Watson's"}
{'statement': 'You are looking for restaurants further away. Between Fitness Avenue and Tortería San Cosme, you should go to Fitness Avenue.', 'answer': 'Fitness Avenue', 'candidate': 'Tortería San Cosme'}
{'statement': "You are looking for restaurants further away. Between The Duke of Devon and Warung Indonesia D'Eglinton, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'You are looking for restaurants further away. Between Kim PO Vietnamese and Queen Pita, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Kim PO Vietnamese'}
{'statement': 'You are looking for restaurants further away. Between Modo Mio Italian Bistro and Mysteriously Yours Dinner Theatre, you should go to Modo Mio Italian Bistro.', 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for restaurants further away. Between Ardor Bistro and The Coffee Pocket, you should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Ardor Bistro'}
{'statement': 'You are looking for restaurants further away. Between Mi Mi Restaurant and Goldstone Noodle Restaurant, you should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Ici Bistro and JJ Bean, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'JJ Bean'}
{'statement': 'You are looking for restaurants further away. Between Pizzeria Via Mercanti and Evoo Ristorante, you should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Evoo Ristorante'}
{'statement': "You are looking for restaurants further away. Between Juice & Java Cafe and Assembly Chef's Hall, you should go to Assembly Chef's Hall.", 'answer': "Assembly Chef's Hall", 'candidate': 'Juice & Java Cafe'}
{'statement': "You are looking for restaurants further away. Between Harvey's and Tortería San Cosme, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'Tortería San Cosme'}
