{'statement': 'You are looking for a big city to visit. Between Ljubljana and Phoenix, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Ljubljana'}
{'statement': 'You are looking for a big city to visit. Between Luanda and Ho Chi Minh City, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Luanda'}
{'statement': 'You are looking for a big city to visit. Between Shanghai and Maputo, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Maputo'}
{'statement': 'You are looking for a big city to visit. Between Minneapolis and Ljubljana, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Ljubljana'}
{'statement': 'You are looking for a big city to visit. Between Cairo and Caracas, you should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Caracas'}
{'statement': 'You are looking for a big city to visit. Between Minneapolis and Cabo San Lucas, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Cabo San Lucas'}
{'statement': 'You are looking for a big city to visit. Between Brasília and Upington, you should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Upington'}
{'statement': 'You are looking for a big city to visit. Between Manila and Bangkok, you should visit Manila.', 'answer': 'Manila', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a big city to visit. Between Manaus and Dar es Salaam, you should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Manaus'}
{'statement': 'You are looking for a big city to visit. Between Addis Ababa and La Ceiba, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
{'statement': 'You are looking for a big city to visit. Between Bergen and Phoenix, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bergen'}
{'statement': 'You are looking for a big city to visit. Between Reykjavík and Houston, you should visit Houston.', 'answer': 'Houston', 'candidate': 'Reykjavík'}
{'statement': 'You are looking for a big city to visit. Between Baku and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Baku'}
{'statement': 'You are looking for a big city to visit. Between Changsha and Paris, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Changsha'}
{'statement': 'You are looking for a big city to visit. Between Mumbai and Ndola, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ndola'}
{'statement': 'You are looking for a big city to visit. Between Alexandria and Palembang, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Palembang'}
{'statement': 'You are looking for a big city to visit. Between Conakry and Ankara, you should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Conakry'}
{'statement': 'You are looking for a big city to visit. Between Milwaukee and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Milwaukee'}
{'statement': 'You are looking for a big city to visit. Between Christchurch and Los Angeles, you should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Christchurch'}
{'statement': 'You are looking for a big city to visit. Between Ho Chi Minh City and Honolulu, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Honolulu'}
