{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Florianópolis, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Florianópolis'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Auckland, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Auckland'}
{'statement': 'Someone is looking for a big city to visit. Between Cairo and Garoua, this person should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Garissa, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Denver, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Denver'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Mombasa, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Monterrey, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Florianópolis, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Florianópolis'}
{'statement': 'Someone is looking for a big city to visit. Between Tampa and La Ceiba, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'La Ceiba'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Beirut, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Beirut'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and Baku, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Baku'}
{'statement': 'Someone is looking for a big city to visit. Between Tampa and Aden, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Aden'}
{'statement': 'Someone is looking for a big city to visit. Between Medellín and Saskatoon, this person should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Albuquerque, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Albuquerque'}
{'statement': 'Someone is looking for a big city to visit. Between Tampa and Malabo, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Malabo'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Parakou, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Parakou'}
{'statement': 'Someone is looking for a big city to visit. Between Yaoundé and Tamanrasset, this person should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Tamanrasset'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and El Paso, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'El Paso'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Gabès, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a big city to visit. Between Addis Ababa and Ségou, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Honolulu, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Honolulu'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Fairbanks, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Ürümqi, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Erbil, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Erbil'}
{'statement': 'Someone is looking for a big city to visit. Between Johannesburg and Hat Yai, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Hat Yai'}
{'statement': 'Someone is looking for a big city to visit. Between Algiers and Mandalay, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Mandalay'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Garissa, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Reykjavík, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a big city to visit. Between Ho Chi Minh City and Lisbon, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Lisbon'}
{'statement': 'Someone is looking for a big city to visit. Between Kuwait City and Zagreb, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Zagreb'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Lusaka, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Lusaka'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Toliara, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Toliara'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Calgary, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Calgary'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Sacramento, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Sacramento'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Makassar, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Makassar'}
{'statement': 'Someone is looking for a big city to visit. Between Cairo and Córdoba, this person should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Córdoba'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Halifax, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Halifax'}
{'statement': 'Someone is looking for a big city to visit. Between Shanghai and San Antonio, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'San Antonio'}
{'statement': 'Someone is looking for a big city to visit. Between Sydney and San José, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'San José'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Ljubljana, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Ljubljana'}
{'statement': 'Someone is looking for a big city to visit. Between London and Barranquilla, this person should visit London.', 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a big city to visit. Between Surabaya and Bucharest, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bucharest'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Mahajanga, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a big city to visit. Between Kuwait City and Paramaribo, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Paramaribo'}
{'statement': 'Someone is looking for a big city to visit. Between Brasília and Bata, this person should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Bata'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Karachi, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a big city to visit. Between Rome and Napier, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'Napier'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Niamey, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Niamey'}
{'statement': 'Someone is looking for a big city to visit. Between Dar es Salaam and Cabo San Lucas, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Cabo San Lucas'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Fairbanks, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Fairbanks, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a big city to visit. Between Tampa and Ushuaia, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a big city to visit. Between London and Guadalajara, this person should visit London.', 'answer': 'London', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Kuopio, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Toamasina, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Toamasina'}
{'statement': 'Someone is looking for a big city to visit. Between Cairo and Toronto, this person should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Fukuoka, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a big city to visit. Between Ürümqi and Panama City, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Panama City'}
{'statement': 'Someone is looking for a big city to visit. Between Tashkent and Halifax, this person should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Halifax'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Suva, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a big city to visit. Between Algiers and Dodoma, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Dodoma'}
{'statement': 'Someone is looking for a big city to visit. Between Fukuoka and Tabora, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Tabora'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Benghazi, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Benghazi'}
{'statement': 'Someone is looking for a big city to visit. Between Brasília and Copenhagen, this person should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Copenhagen'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Piura, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Piura'}
{'statement': 'Someone is looking for a big city to visit. Between Ürümqi and Valencia, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Valencia'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Monterrey, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a big city to visit. Between San Diego and Antsiranana, this person should visit San Diego.', 'answer': 'San Diego', 'candidate': 'Antsiranana'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Kuwait City, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Kuopio, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a big city to visit. Between Addis Ababa and La Ceiba, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'La Ceiba'}
