{'statement': "I'm looking for restaurants nearby. Between Sushi Shop and JJ Bean, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for restaurants nearby. Between Carole's Cheesecake Cafe and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and EJ Sushi, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'EJ Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Juice & Java Cafe and Hawthorne Food and Drink, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I'm looking for restaurants nearby. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for restaurants nearby. Between Juice & Java Cafe and Eastern legend, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for restaurants nearby. Between Banjara Indian Cuisine and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for restaurants nearby. Between Freshii and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between Breakfast Room and Shawarma Twist, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for restaurants nearby. Between Mt Everest Restaurant and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Delicious Paradise Kitchen, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for restaurants nearby. Between La Pupusa Loka and Mi Mi Restaurant, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Mi Mi Restaurant'}
