{'statement': 'Between Baghdad and Ségou, the city with a smaller population is Ségou.', 'answer': 'Ségou', 'candidate': 'Baghdad'}
{'statement': 'Between Hanoi and Milwaukee, the city with a smaller population is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Hanoi'}
{'statement': 'Between Mumbai and Damascus, the city with a smaller population is Damascus.', 'answer': 'Damascus', 'candidate': 'Mumbai'}
{'statement': 'Between Los Angeles and Kathmandu, the city with a smaller population is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Los Angeles'}
{'statement': 'Between Toronto and Indianapolis, the city with a smaller population is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Toronto'}
{'statement': 'Between Riyadh and Kampala, the city with a smaller population is Kampala.', 'answer': 'Kampala', 'candidate': 'Riyadh'}
{'statement': 'Between Tampa and Fairbanks, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Tampa'}
{'statement': 'Between Lagos and Omaha, the city with a smaller population is Omaha.', 'answer': 'Omaha', 'candidate': 'Lagos'}
{'statement': 'Between Santiago and Wau, the city with a smaller population is Wau.', 'answer': 'Wau', 'candidate': 'Santiago'}
{'statement': 'Between Guangzhou and Sapporo, the city with a smaller population is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Guangzhou'}
{'statement': 'Between Addis Ababa and La Ceiba, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Addis Ababa'}
{'statement': 'Between Karachi and Damascus, the city with a smaller population is Damascus.', 'answer': 'Damascus', 'candidate': 'Karachi'}
{'statement': 'Between Nairobi and Sapporo, the city with a smaller population is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Nairobi'}
{'statement': 'Between Dar es Salaam and Bucharest, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Lahore and Rome, the city with a smaller population is Rome.', 'answer': 'Rome', 'candidate': 'Lahore'}
{'statement': 'Between Karachi and Kathmandu, the city with a smaller population is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Karachi'}
{'statement': 'Between Surabaya and Calgary, the city with a smaller population is Calgary.', 'answer': 'Calgary', 'candidate': 'Surabaya'}
{'statement': 'Between Buenos Aires and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Buenos Aires'}
{'statement': 'Between Kano and Christchurch, the city with a smaller population is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Kano'}
{'statement': 'Between Lagos and Alexandria, the city with a smaller population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lagos'}
{'statement': 'Between Brasília and Ushuaia, the city with a smaller population is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Brasília'}
{'statement': 'Between Lahore and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Lahore'}
{'statement': 'Between Toronto and La Paz, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Toronto'}
{'statement': 'Between Ho Chi Minh City and Wellington, the city with a smaller population is Wellington.', 'answer': 'Wellington', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Toronto and Malabo, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Toronto'}
{'statement': 'Between Tashkent and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Tashkent'}
{'statement': 'Between Jakarta and Bucharest, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Jakarta'}
{'statement': 'Between Moscow and Rangpur, the city with a smaller population is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Moscow'}
{'statement': 'Between Denver and Oslo, the city with a smaller population is Oslo.', 'answer': 'Oslo', 'candidate': 'Denver'}
{'statement': 'Between Johannesburg and Sokoto, the city with a smaller population is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Johannesburg'}
{'statement': 'Between Shanghai and Belize City, the city with a smaller population is Belize City.', 'answer': 'Belize City', 'candidate': 'Shanghai'}
{'statement': 'Between Dar es Salaam and Novosibirsk, the city with a smaller population is Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Ho Chi Minh City and Nairobi, the city with a smaller population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Beijing and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Beijing'}
{'statement': 'Between Lahore and Kingston, the city with a smaller population is Kingston.', 'answer': 'Kingston', 'candidate': 'Lahore'}
{'statement': 'Between Bangkok and Napier, the city with a smaller population is Napier.', 'answer': 'Napier', 'candidate': 'Bangkok'}
{'statement': 'Between Nairobi and Cotonou, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Nairobi'}
{'statement': 'Between Berlin and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Berlin'}
{'statement': 'Between Moscow and Kabul, the city with a smaller population is Kabul.', 'answer': 'Kabul', 'candidate': 'Moscow'}
{'statement': 'Between Chicago and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Chicago'}
{'statement': 'Between Luanda and Rangpur, the city with a smaller population is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Luanda'}
{'statement': 'Between Brisbane and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Brisbane'}
{'statement': 'Between Tampa and Bratislava, the city with a smaller population is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Tampa'}
{'statement': 'Between Surabaya and Addis Ababa, the city with a smaller population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Surabaya'}
{'statement': 'Between Houston and Baku, the city with a smaller population is Baku.', 'answer': 'Baku', 'candidate': 'Houston'}
{'statement': 'Between Kano and Saskatoon, the city with a smaller population is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Kano'}
{'statement': 'Between Manila and Nouadhibou, the city with a smaller population is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Manila'}
{'statement': 'Between Berlin and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Berlin'}
{'statement': 'Between Addis Ababa and Hobart, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Addis Ababa'}
{'statement': 'Between Jakarta and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Jakarta'}
{'statement': 'Between Denver and Fairbanks, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Denver'}
{'statement': 'Between Jakarta and Surabaya, the city with a smaller population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Jakarta'}
{'statement': 'Between Moscow and Barranquilla, the city with a smaller population is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Moscow'}
{'statement': 'Between Kuwait City and Sokoto, the city with a smaller population is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Kuwait City'}
{'statement': 'Between Mumbai and Willemstad, the city with a smaller population is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Mumbai'}
{'statement': 'Between Dar es Salaam and Bishkek, the city with a smaller population is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Surabaya and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Surabaya'}
{'statement': 'Between Phnom Penh and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Phnom Penh'}
{'statement': 'Between Mumbai and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Mumbai'}
{'statement': 'Between Beijing and Yinchuan, the city with a smaller population is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Beijing'}
{'statement': 'Between Addis Ababa and Antofagasta, the city with a smaller population is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Addis Ababa'}
{'statement': 'Between Lagos and Anchorage, the city with a smaller population is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Lagos'}
{'statement': 'Between Guangzhou and Toronto, the city with a smaller population is Toronto.', 'answer': 'Toronto', 'candidate': 'Guangzhou'}
{'statement': 'Between Cairo and Dublin, the city with a smaller population is Dublin.', 'answer': 'Dublin', 'candidate': 'Cairo'}
{'statement': 'Between Denver and Copenhagen, the city with a smaller population is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Denver'}
{'statement': 'Between Chicago and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Chicago'}
{'statement': 'Between London and Thiès, the city with a smaller population is Thiès.', 'answer': 'Thiès', 'candidate': 'London'}
{'statement': 'Between Ankara and Lyon, the city with a smaller population is Lyon.', 'answer': 'Lyon', 'candidate': 'Ankara'}
{'statement': 'Between Dar es Salaam and San Salvador, the city with a smaller population is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Mexico City and Suva, the city with a smaller population is Suva.', 'answer': 'Suva', 'candidate': 'Mexico City'}
{'statement': 'Between Houston and Upington, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Houston'}
{'statement': 'Between Beijing and Palembang, the city with a smaller population is Palembang.', 'answer': 'Palembang', 'candidate': 'Beijing'}
{'statement': 'Between Ho Chi Minh City and Nur-Sultan, the city with a smaller population is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Mumbai and Beirut, the city with a smaller population is Beirut.', 'answer': 'Beirut', 'candidate': 'Mumbai'}
{'statement': 'Between Melbourne and Honolulu, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Melbourne'}
{'statement': 'Between Johannesburg and Mendoza, the city with a smaller population is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Johannesburg'}
{'statement': 'Between Monterrey and Lyon, the city with a smaller population is Lyon.', 'answer': 'Lyon', 'candidate': 'Monterrey'}
{'statement': 'Between Harare and Garissa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Harare'}
{'statement': 'Between Karachi and Minsk, the city with a smaller population is Minsk.', 'answer': 'Minsk', 'candidate': 'Karachi'}
{'statement': 'Between Los Angeles and Campos do Jordão, the city with a smaller population is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Los Angeles'}
{'statement': 'Between Cairo and Almaty, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Cairo'}
{'statement': 'Between Paris and Managua, the city with a smaller population is Managua.', 'answer': 'Managua', 'candidate': 'Paris'}
{'statement': 'Between Brisbane and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Brisbane'}
{'statement': 'Between Brasília and Sucre, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Brasília'}
{'statement': 'Between Baltimore and Río Gallegos, the city with a smaller population is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Baltimore'}
{'statement': 'Between Monterrey and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Monterrey'}
{'statement': 'Between Surabaya and San Juan, the city with a smaller population is San Juan.', 'answer': 'San Juan', 'candidate': 'Surabaya'}
{'statement': 'Between Rome and Kansas City, the city with a smaller population is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Rome'}
{'statement': 'Between Beijing and Zürich, the city with a smaller population is Zürich.', 'answer': 'Zürich', 'candidate': 'Beijing'}
{'statement': 'Between Lagos and San Antonio, the city with a smaller population is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Lagos'}
{'statement': 'Between Beijing and Brisbane, the city with a smaller population is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Beijing'}
{'statement': 'Between Luanda and Maputo, the city with a smaller population is Maputo.', 'answer': 'Maputo', 'candidate': 'Luanda'}
{'statement': 'Between Toronto and Yinchuan, the city with a smaller population is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Toronto'}
{'statement': 'Between Mexico City and Maputo, the city with a smaller population is Maputo.', 'answer': 'Maputo', 'candidate': 'Mexico City'}
{'statement': 'Between Bogotá and Juba, the city with a smaller population is Juba.', 'answer': 'Juba', 'candidate': 'Bogotá'}
{'statement': 'Between Guangzhou and Tampa, the city with a smaller population is Tampa.', 'answer': 'Tampa', 'candidate': 'Guangzhou'}
{'statement': 'Between Ankara and Brasília, the city with a smaller population is Brasília.', 'answer': 'Brasília', 'candidate': 'Ankara'}
{'statement': 'Between London and Benghazi, the city with a smaller population is Benghazi.', 'answer': 'Benghazi', 'candidate': 'London'}
{'statement': 'Between Guadalajara and Lviv, the city with a smaller population is Lviv.', 'answer': 'Lviv', 'candidate': 'Guadalajara'}
{'statement': 'Between Saint Petersburg and Yinchuan, the city with a smaller population is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Manila and Bogotá, the city with a smaller population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Manila'}
{'statement': 'Between Dar es Salaam and Beirut, the city with a smaller population is Beirut.', 'answer': 'Beirut', 'candidate': 'Dar es Salaam'}
