{'statement': "You don't like small cities. Between Addis Ababa and Cotonou, you should visit Addis Ababa.", 'answer': 'Addis Ababa', 'candidate': 'Cotonou'}
{'statement': "You don't like small cities. Between Chicago and Baku, you should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Baku'}
{'statement': "You don't like small cities. Between Medellín and Garoua, you should visit Medellín.", 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': "You don't like small cities. Between Perth and Suwałki, you should visit Perth.", 'answer': 'Perth', 'candidate': 'Suwałki'}
{'statement': "You don't like small cities. Between Los Angeles and Lomé, you should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': "You don't like small cities. Between Houston and Bishkek, you should visit Houston.", 'answer': 'Houston', 'candidate': 'Bishkek'}
{'statement': "You don't like small cities. Between Paris and Cape Town, you should visit Paris.", 'answer': 'Paris', 'candidate': 'Cape Town'}
{'statement': "You don't like small cities. Between Melbourne and Ouahigouya, you should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Ouahigouya'}
{'statement': "You don't like small cities. Between Guadalajara and Kuopio, you should visit Guadalajara.", 'answer': 'Guadalajara', 'candidate': 'Kuopio'}
{'statement': "You don't like small cities. Between Nairobi and Pretoria, you should visit Nairobi.", 'answer': 'Nairobi', 'candidate': 'Pretoria'}
{'statement': "You don't like small cities. Between London and Bujumbura, you should visit London.", 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': "You don't like small cities. Between Saint Petersburg and Novosibirsk, you should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Novosibirsk'}
{'statement': "You don't like small cities. Between Luanda and Podgorica, you should visit Luanda.", 'answer': 'Luanda', 'candidate': 'Podgorica'}
{'statement': "You don't like small cities. Between Shanghai and Belgrade, you should visit Shanghai.", 'answer': 'Shanghai', 'candidate': 'Belgrade'}
{'statement': "You don't like small cities. Between Houston and Ouahigouya, you should visit Houston.", 'answer': 'Houston', 'candidate': 'Ouahigouya'}
{'statement': "You don't like small cities. Between Fukuoka and Nouadhibou, you should visit Fukuoka.", 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': "You don't like small cities. Between Sydney and Garoua, you should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': "You don't like small cities. Between Kabul and Garissa, you should visit Kabul.", 'answer': 'Kabul', 'candidate': 'Garissa'}
{'statement': "You don't like small cities. Between Mexico City and Changsha, you should visit Mexico City.", 'answer': 'Mexico City', 'candidate': 'Changsha'}
{'statement': "You don't like small cities. Between Kunming and Nur-Sultan, you should visit Kunming.", 'answer': 'Kunming', 'candidate': 'Nur-Sultan'}
{'statement': "You don't like small cities. Between Mumbai and Ouahigouya, you should visit Mumbai.", 'answer': 'Mumbai', 'candidate': 'Ouahigouya'}
{'statement': "You don't like small cities. Between Sydney and Kuopio, you should visit Sydney.", 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': "You don't like small cities. Between Ankara and Cotonou, you should visit Ankara.", 'answer': 'Ankara', 'candidate': 'Cotonou'}
{'statement': "You don't like small cities. Between Riyadh and Erbil, you should visit Riyadh.", 'answer': 'Riyadh', 'candidate': 'Erbil'}
{'statement': "You don't like small cities. Between Toronto and Makurdi, you should visit Toronto.", 'answer': 'Toronto', 'candidate': 'Makurdi'}
{'statement': "You don't like small cities. Between Los Angeles and Changsha, you should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Changsha'}
{'statement': "You don't like small cities. Between London and Barranquilla, you should visit London.", 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': "You don't like small cities. Between Ankara and Skopje, you should visit Ankara.", 'answer': 'Ankara', 'candidate': 'Skopje'}
{'statement': "You don't like small cities. Between Karachi and Kano, you should visit Karachi.", 'answer': 'Karachi', 'candidate': 'Kano'}
{'statement': "You don't like small cities. Between Cairo and Sokoto, you should visit Cairo.", 'answer': 'Cairo', 'candidate': 'Sokoto'}
{'statement': "You don't like small cities. Between London and Pontianak, you should visit London.", 'answer': 'London', 'candidate': 'Pontianak'}
{'statement': "You don't like small cities. Between Los Angeles and Belgrade, you should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Belgrade'}
{'statement': "You don't like small cities. Between Melbourne and Zagreb, you should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Zagreb'}
{'statement': "You don't like small cities. Between Bogotá and Porto Alegre, you should visit Bogotá.", 'answer': 'Bogotá', 'candidate': 'Porto Alegre'}
{'statement': "You don't like small cities. Between Saint Petersburg and Zagreb, you should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Zagreb'}
{'statement': "You don't like small cities. Between Guangzhou and Amsterdam, you should visit Guangzhou.", 'answer': 'Guangzhou', 'candidate': 'Amsterdam'}
{'statement': "You don't like small cities. Between Hanoi and Bamako, you should visit Hanoi.", 'answer': 'Hanoi', 'candidate': 'Bamako'}
{'statement': "You don't like small cities. Between Los Angeles and Kunming, you should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Kunming'}
{'statement': "You don't like small cities. Between Lagos and Berlin, you should visit Lagos.", 'answer': 'Lagos', 'candidate': 'Berlin'}
{'statement': "You don't like small cities. Between Los Angeles and Tirana, you should visit Los Angeles.", 'answer': 'Los Angeles', 'candidate': 'Tirana'}
{'statement': "You don't like small cities. Between Lagos and Panama City, you should visit Lagos.", 'answer': 'Lagos', 'candidate': 'Panama City'}
{'statement': "You don't like small cities. Between Ho Chi Minh City and Almaty, you should visit Ho Chi Minh City.", 'answer': 'Ho Chi Minh City', 'candidate': 'Almaty'}
{'statement': "You don't like small cities. Between London and Garissa, you should visit London.", 'answer': 'London', 'candidate': 'Garissa'}
