{'statement': 'Someone is looking for a big city to visit. Between Vientiane and Nairobi, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Vientiane'}
{'statement': 'Someone is looking for a big city to visit. Between Saskatoon and Guangzhou, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a big city to visit. Between Lviv and Alexandria, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a big city to visit. Between Thiès and Johannesburg, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Thiès'}
{'statement': 'Someone is looking for a big city to visit. Between Willemstad and Monterrey, this person should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a big city to visit. Between Manaus and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Manaus'}
{'statement': 'Someone is looking for a big city to visit. Between Pittsburgh and Sydney, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Pittsburgh'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Ürümqi, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Harare, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Harare'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Córdoba, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Córdoba'}
{'statement': 'Someone is looking for a big city to visit. Between Luanda and Sydney, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a big city to visit. Between Denpasar and Shanghai, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Denpasar'}
{'statement': 'Someone is looking for a big city to visit. Between Port-Gentil and Nairobi, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Port-Gentil'}
{'statement': 'Someone is looking for a big city to visit. Between Zürich and Lima, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Zürich'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Nur-Sultan, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Nur-Sultan'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and Goiânia, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Goiânia'}
{'statement': 'Someone is looking for a big city to visit. Between Upington and Kuwait City, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Upington'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and La Paz, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'La Paz'}
{'statement': 'Someone is looking for a big city to visit. Between Hobart and London, this person should visit London.', 'answer': 'London', 'candidate': 'Hobart'}
{'statement': 'Someone is looking for a big city to visit. Between Ürümqi and Lake Havasu City, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a big city to visit. Between Nakhon Ratchasima and Monterrey, this person should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Someone is looking for a big city to visit. Between Nouakchott and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Nouakchott'}
{'statement': 'Someone is looking for a big city to visit. Between Luanda and Garoua, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a big city to visit. Between Irkutsk and London, this person should visit London.', 'answer': 'London', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Manaus, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Manaus'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Darwin, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Darwin'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Bamako, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Bamako'}
{'statement': 'Someone is looking for a big city to visit. Between San Diego and Erbil, this person should visit San Diego.', 'answer': 'San Diego', 'candidate': 'Erbil'}
{'statement': 'Someone is looking for a big city to visit. Between Baku and Fianarantsoa, this person should visit Baku.', 'answer': 'Baku', 'candidate': 'Fianarantsoa'}
{'statement': 'Someone is looking for a big city to visit. Between Baku and Campos do Jordão, this person should visit Baku.', 'answer': 'Baku', 'candidate': 'Campos do Jordão'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Djibouti, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Djibouti'}
{'statement': 'Someone is looking for a big city to visit. Between Upington and Guangzhou, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Upington'}
{'statement': 'Someone is looking for a big city to visit. Between Houston and Garissa, this person should visit Houston.', 'answer': 'Houston', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Port Moresby, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Port Moresby'}
{'statement': 'Someone is looking for a big city to visit. Between Lahore and Palembang, this person should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a big city to visit. Between Kuwait City and Parakou, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Parakou'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Durban, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Durban'}
{'statement': 'Someone is looking for a big city to visit. Between Panama City and Ankara, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Panama City'}
{'statement': 'Someone is looking for a big city to visit. Between Monterrey and Hobart, this person should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Hobart'}
{'statement': 'Someone is looking for a big city to visit. Between Nouadhibou and Santiago, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Nouadhibou'}
{'statement': 'Someone is looking for a big city to visit. Between Phoenix and Pontianak, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Córdoba, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Córdoba'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Pontianak, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Pontianak'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Phnom Penh, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Phnom Penh'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and Fairbanks, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a big city to visit. Between El Paso and Mumbai, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'El Paso'}
{'statement': 'Someone is looking for a big city to visit. Between Yakutsk and Beijing, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Yakutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Kano, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a big city to visit. Between Boise and Baghdad, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Boise'}
{'statement': 'Someone is looking for a big city to visit. Between Algiers and Bata, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Bata'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Antsiranana, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Antsiranana'}
{'statement': 'Someone is looking for a big city to visit. Between Medellín and Kuopio, this person should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Ottawa, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Ottawa'}
