{'statement': "I'm looking for restaurants further away. Between Sushi Shop and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between The Empire and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'The Empire'}
{'statement': "I'm looking for restaurants further away. Between Milo's Pita and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Milo's Pita"}
{'statement': "I'm looking for restaurants further away. Between z-teca Gourmet Burritos and Solero Mediterranean Bakery, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I'm looking for restaurants further away. Between Ardor Bistro and Green Grotto, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for restaurants further away. Between Oxygen Restaurant & Lounge and Tian An Cuisine, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for restaurants further away. Between El Fogón and JJ Bean, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'El Fogón'}
{'statement': "I'm looking for restaurants further away. Between Galata Cafe and Goldstone Noodle Restaurant, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Druxy's Famous Deli and Madras Pantry, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for restaurants further away. Between Green Grotto and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for restaurants further away. Between Aroma Espresso Bar and Evoo Ristorante, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for restaurants further away. Between Watson's and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Watson's"}
{'statement': "I'm looking for restaurants further away. Between Bagel Nash and Tik Talk Cafe, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for restaurants further away. Between Mamma's Pizza and Ardor Bistro, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for restaurants further away. Between Sushi World and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Sushi World'}
{'statement': "I'm looking for restaurants further away. Between Tierra Azteca and Kairali - Taste of Kerala, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for restaurants further away. Between Basil Express Restaurant and Modo Mio Italian Bistro, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Bagel Nash and KFC, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'KFC'}
{'statement': "I'm looking for restaurants further away. Between Cake Opera and Tortería San Cosme, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Tortería San Cosme'}
{'statement': "I'm looking for restaurants further away. Between Fit For Life and Carole's Cheesecake Cafe, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Eggspectation and St. Louis Bar & Grill, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'St. Louis Bar & Grill'}
