{'statement': 'Someone is looking for a big city to visit. Between London and Milan, this person should visit London.', 'answer': 'London', 'candidate': 'Milan'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Calgary, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Calgary'}
{'statement': 'Someone is looking for a big city to visit. Between Douala and Reykjavík, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Hanoi, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a big city to visit. Between Houston and Pretoria, this person should visit Houston.', 'answer': 'Houston', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Lusaka, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Lusaka'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Makurdi, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a big city to visit. Between Tashkent and Gabès, this person should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a big city to visit. Between Luanda and Toliara, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Toliara'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Harare, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Harare'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Zagreb, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Zagreb'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Barranquilla, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a big city to visit. Between Berlin and Ndola, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Ndola'}
{'statement': 'Someone is looking for a big city to visit. Between Ho Chi Minh City and Bratislava, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Bratislava'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Cayenne, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Cayenne'}
{'statement': 'Someone is looking for a big city to visit. Between Algiers and Chihuahua, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Chihuahua'}
{'statement': 'Someone is looking for a big city to visit. Between Manila and Managua, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Managua'}
{'statement': 'Someone is looking for a big city to visit. Between Berlin and San Juan, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a big city to visit. Between Berlin and Córdoba, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Córdoba'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Luanda, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Brisbane, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Brisbane'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and Alexandria, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a big city to visit. Between Phnom Penh and Port-Gentil, this person should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Port-Gentil'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and Juba, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Juba'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Indianapolis, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Indianapolis'}
{'statement': 'Someone is looking for a big city to visit. Between Buenos Aires and Frankfurt, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Frankfurt'}
{'statement': 'Someone is looking for a big city to visit. Between Manila and Ankara, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Manaus, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Manaus'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Entebbe, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Entebbe'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Rome, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Rome'}
{'statement': 'Someone is looking for a big city to visit. Between London and Mendoza, this person should visit London.', 'answer': 'London', 'candidate': 'Mendoza'}
{'statement': 'Someone is looking for a big city to visit. Between Dar es Salaam and Bucharest, this person should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Bucharest'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Canberra, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Canberra'}
{'statement': 'Someone is looking for a big city to visit. Between Tashkent and Beirut, this person should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Beirut'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Reykjavík, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Ljubljana, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Ljubljana'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Fukuoka, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Fukuoka'}
