{'statement': 'Between Mumbai and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Mumbai'}
{'statement': 'Between Lagos and Auckland, the smaller city is Auckland.', 'answer': 'Auckland', 'candidate': 'Lagos'}
{'statement': 'Between Cairo and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Cairo'}
{'statement': 'Between Nairobi and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Nairobi'}
{'statement': 'Between Los Angeles and Denver, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Los Angeles'}
{'statement': 'Between Ankara and Mombasa, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Ankara'}
{'statement': 'Between Guangzhou and Monterrey, the smaller city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Guangzhou'}
{'statement': 'Between Guadalajara and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Guadalajara'}
{'statement': 'Between Tampa and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Tampa'}
{'statement': 'Between Guadalajara and Beirut, the smaller city is Beirut.', 'answer': 'Beirut', 'candidate': 'Guadalajara'}
{'statement': 'Between Paris and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Paris'}
{'statement': 'Between Tampa and Aden, the smaller city is Aden.', 'answer': 'Aden', 'candidate': 'Tampa'}
{'statement': 'Between Medellín and Saskatoon, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Medellín'}
{'statement': 'Between Ankara and Albuquerque, the smaller city is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Ankara'}
{'statement': 'Between Tampa and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Tampa'}
{'statement': 'Between Beijing and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Beijing'}
{'statement': 'Between Yaoundé and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Yaoundé'}
{'statement': 'Between Paris and El Paso, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Paris'}
{'statement': 'Between Melbourne and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Melbourne'}
{'statement': 'Between Addis Ababa and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Addis Ababa'}
{'statement': 'Between Los Angeles and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Los Angeles'}
{'statement': 'Between Lima and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Lima'}
{'statement': 'Between Guadalajara and Ürümqi, the smaller city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Guadalajara'}
{'statement': 'Between Mumbai and Erbil, the smaller city is Erbil.', 'answer': 'Erbil', 'candidate': 'Mumbai'}
{'statement': 'Between Johannesburg and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Johannesburg'}
{'statement': 'Between Algiers and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Algiers'}
{'statement': 'Between Mumbai and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Mumbai'}
{'statement': 'Between Los Angeles and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Los Angeles'}
{'statement': 'Between Ho Chi Minh City and Lisbon, the smaller city is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Kuwait City and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Kuwait City'}
{'statement': 'Between Melbourne and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Melbourne'}
{'statement': 'Between Bangkok and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Bangkok'}
{'statement': 'Between Hanoi and Calgary, the smaller city is Calgary.', 'answer': 'Calgary', 'candidate': 'Hanoi'}
{'statement': 'Between Guangzhou and Sacramento, the smaller city is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Guangzhou'}
{'statement': 'Between Mexico City and Makassar, the smaller city is Makassar.', 'answer': 'Makassar', 'candidate': 'Mexico City'}
{'statement': 'Between Cairo and Córdoba, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Cairo'}
{'statement': 'Between Santiago and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Santiago'}
{'statement': 'Between Shanghai and San Antonio, the smaller city is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Shanghai'}
{'statement': 'Between Sydney and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Sydney'}
{'statement': 'Between Kabul and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Kabul'}
{'statement': 'Between London and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'London'}
{'statement': 'Between Surabaya and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Surabaya'}
{'statement': 'Between Ankara and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ankara'}
{'statement': 'Between Kuwait City and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Kuwait City'}
{'statement': 'Between Brasília and Bata, the smaller city is Bata.', 'answer': 'Bata', 'candidate': 'Brasília'}
{'statement': 'Between Mumbai and Karachi, the smaller city is Karachi.', 'answer': 'Karachi', 'candidate': 'Mumbai'}
{'statement': 'Between Rome and Napier, the smaller city is Napier.', 'answer': 'Napier', 'candidate': 'Rome'}
{'statement': 'Between Guadalajara and Niamey, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Guadalajara'}
{'statement': 'Between Dar es Salaam and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Moscow and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Moscow'}
{'statement': 'Between Lagos and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Lagos'}
{'statement': 'Between Tampa and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Tampa'}
{'statement': 'Between London and Guadalajara, the smaller city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'London'}
{'statement': 'Between Lima and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Lima'}
{'statement': 'Between Denver and Toamasina, the smaller city is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Denver'}
{'statement': 'Between Cairo and Toronto, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Cairo'}
{'statement': 'Between Los Angeles and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Los Angeles'}
{'statement': 'Between Ürümqi and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Ürümqi'}
{'statement': 'Between Tashkent and Halifax, the smaller city is Halifax.', 'answer': 'Halifax', 'candidate': 'Tashkent'}
{'statement': 'Between Denver and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Denver'}
{'statement': 'Between Algiers and Dodoma, the smaller city is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Algiers'}
{'statement': 'Between Fukuoka and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Fukuoka'}
