{'statement': 'You are looking for restaurants nearby. Between JJ Bean and Sushi Shop, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "You are looking for restaurants nearby. Between Anatolia Restaurant and Carole's Cheesecake Cafe, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You are looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and EJ Sushi, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'EJ Sushi'}
{'statement': 'You are looking for restaurants nearby. Between Juice & Java Cafe and Hawthorne Food and Drink, you should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Hawthorne Food and Drink'}
{'statement': 'You are looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'You are looking for restaurants nearby. Between Eastern legend and Juice & Java Cafe, you should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Eastern legend'}
{'statement': 'You are looking for restaurants nearby. Between Kim PO Vietnamese and Banjara Indian Cuisine, you should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Banjara Indian Cuisine'}
{'statement': 'You are looking for restaurants nearby. Between Branca and Mirage Grill & Lounge, you should go to Branca.', 'answer': 'Branca', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You are looking for restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': "Helena's Magic Kitchen"}
{'statement': 'You are looking for restaurants nearby. Between Popeyes Louisiana Kitchen and Freshii, you should go to Popeyes Louisiana Kitchen.', 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Freshii'}
{'statement': 'You are looking for restaurants nearby. Between Breakfast Room and Shawarma Twist, you should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Shawarma Twist'}
{'statement': "You are looking for restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, you should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': 'You are looking for restaurants nearby. Between Mi Mi Restaurant and La Pupusa Loka, you should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You are looking for restaurants nearby. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Helena's Magic Kitchen"}
{'statement': "You are looking for restaurants nearby. Between Dangerous Dan's Diner and Tierra Azteca, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Tierra Azteca'}
{'statement': 'You are looking for restaurants nearby. Between Eastern legend and The Empire, you should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Eastern legend'}
{'statement': 'You are looking for restaurants nearby. Between Grappa Ristorante and Basil Express Restaurant, you should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for restaurants nearby. Between Chick Fiesta and Mirage Grill & Lounge, you should go to Chick Fiesta.', 'answer': 'Chick Fiesta', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You are looking for restaurants nearby. Between Helena's Magic Kitchen and Amaya Express, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You are looking for restaurants nearby. Between Domino's Pizza and Buk Chang Dong Soon Tofu, you should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Domino's Pizza"}
{'statement': 'You are looking for restaurants nearby. Between Magic Oven and Sushi World, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for restaurants nearby. Between La Pupusa Loka and Ici Bistro, you should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Ici Bistro'}
