{'statement': 'Someone is looking for a city with warm weather. Between Sokoto and Auckland, this person should visit Sokoto.', 'answer': 'Sokoto', 'candidate': 'Auckland'}
{'statement': 'Someone is looking for a city with warm weather. Between Wau and Fukuoka, this person should visit Wau.', 'answer': 'Wau', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a city with warm weather. Between Juba and Kunming, this person should visit Juba.', 'answer': 'Juba', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a city with warm weather. Between Buenos Aires and Moscow, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a city with warm weather. Between Medellín and Ljubljana, this person should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Ljubljana'}
{'statement': 'Someone is looking for a city with warm weather. Between Brisbane and Novosibirsk, this person should visit Brisbane.', 'answer': 'Brisbane', 'candidate': 'Novosibirsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Cotonou and London, this person should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'London'}
{'statement': 'Someone is looking for a city with warm weather. Between Barranquilla and Bogotá, this person should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Bogotá'}
{'statement': 'Someone is looking for a city with warm weather. Between Antsiranana and Fairbanks, this person should visit Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Fairbanks'}
{'statement': 'Someone is looking for a city with warm weather. Between Kingston and Zagreb, this person should visit Kingston.', 'answer': 'Kingston', 'candidate': 'Zagreb'}
{'statement': 'Someone is looking for a city with warm weather. Between Mandalay and Toluca, this person should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Toluca'}
{'statement': 'Someone is looking for a city with warm weather. Between Belize City and Lhasa, this person should visit Belize City.', 'answer': 'Belize City', 'candidate': 'Lhasa'}
{'statement': 'Someone is looking for a city with warm weather. Between Suva and Lhasa, this person should visit Suva.', 'answer': 'Suva', 'candidate': 'Lhasa'}
{'statement': 'Someone is looking for a city with warm weather. Between Fukuoka and Kuopio, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Beirut and Brussels, this person should visit Beirut.', 'answer': 'Beirut', 'candidate': 'Brussels'}
{'statement': 'Someone is looking for a city with warm weather. Between Cotonou and Frankfurt, this person should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Frankfurt'}
{'statement': 'Someone is looking for a city with warm weather. Between Manila and Albuquerque, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Albuquerque'}
{'statement': 'Someone is looking for a city with warm weather. Between Hanoi and Kabul, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a city with warm weather. Between Port-Gentil and Melbourne, this person should visit Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a city with warm weather. Between Phoenix and Saskatoon, this person should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between Brasília and Bratislava, this person should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Bratislava'}
{'statement': 'Someone is looking for a city with warm weather. Between Lagos and Yinchuan, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Yinchuan'}
{'statement': 'Someone is looking for a city with warm weather. Between Port Moresby and Minsk, this person should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Minsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Florianópolis and Reykjavík, this person should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Reykjavík'}
{'statement': 'Someone is looking for a city with warm weather. Between Kunming and Irkutsk, this person should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Port-Gentil and Belgrade, this person should visit Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Belgrade'}
{'statement': 'Someone is looking for a city with warm weather. Between Cape Town and Yakutsk, this person should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Yakutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Lahore and Saskatoon, this person should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between Vientiane and Kunming, this person should visit Vientiane.', 'answer': 'Vientiane', 'candidate': 'Kunming'}
