{'statement': 'You are looking for a big city to visit. Between Monterrey and Florianópolis, you should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Florianópolis'}
{'statement': 'You are looking for a big city to visit. Between Saint Petersburg and Kathmandu, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Kathmandu'}
{'statement': 'You are looking for a big city to visit. Between Phoenix and Mandalay, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Mandalay'}
{'statement': 'You are looking for a big city to visit. Between Sydney and Antofagasta, you should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Antofagasta'}
{'statement': 'You are looking for a big city to visit. Between Buenos Aires and Port-Gentil, you should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port-Gentil'}
{'statement': 'You are looking for a big city to visit. Between Ürümqi and Cotonou, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a big city to visit. Between Tampa and Makurdi, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Makurdi'}
{'statement': 'You are looking for a big city to visit. Between Phoenix and Podgorica, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Podgorica'}
{'statement': 'You are looking for a big city to visit. Between Guangzhou and Mahajanga, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a big city to visit. Between Medellín and Neuquén, you should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Neuquén'}
{'statement': 'You are looking for a big city to visit. Between Surabaya and Erbil, you should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Erbil'}
{'statement': 'You are looking for a big city to visit. Between Denver and Juba, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Juba'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Yakutsk, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a big city to visit. Between Jakarta and Palermo, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Palermo'}
{'statement': 'You are looking for a big city to visit. Between Karachi and Minneapolis, you should visit Karachi.', 'answer': 'Karachi', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a big city to visit. Between Surabaya and Fukuoka, you should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Fukuoka'}
{'statement': 'You are looking for a big city to visit. Between Kabul and Pretoria, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a big city to visit. Between Lagos and Surabaya, you should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Surabaya'}
{'statement': 'You are looking for a big city to visit. Between Bangkok and Curitiba, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Curitiba'}
{'statement': 'You are looking for a big city to visit. Between Lima and Pretoria, you should visit Lima.', 'answer': 'Lima', 'candidate': 'Pretoria'}
{'statement': 'You are looking for a big city to visit. Between Denver and Podgorica, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Podgorica'}
