{'statement': 'Between Dar es Salaam and Indianapolis, the city with higher average temperature is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Indianapolis'}
{'statement': 'Between Caracas and Omaha, the city with higher average temperature is Caracas.', 'answer': 'Caracas', 'candidate': 'Omaha'}
{'statement': 'Between Phnom Penh and Irkutsk, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Irkutsk'}
{'statement': 'Between Parakou and Skopje, the city with higher average temperature is Parakou.', 'answer': 'Parakou', 'candidate': 'Skopje'}
{'statement': 'Between Mandalay and Podgorica, the city with higher average temperature is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Podgorica'}
{'statement': 'Between Rosario and Novosibirsk, the city with higher average temperature is Rosario.', 'answer': 'Rosario', 'candidate': 'Novosibirsk'}
{'statement': 'Between Bata and Lviv, the city with higher average temperature is Bata.', 'answer': 'Bata', 'candidate': 'Lviv'}
{'statement': 'Between Tampa and Ushuaia, the city with higher average temperature is Tampa.', 'answer': 'Tampa', 'candidate': 'Ushuaia'}
{'statement': 'Between Bangui and Baku, the city with higher average temperature is Bangui.', 'answer': 'Bangui', 'candidate': 'Baku'}
{'statement': 'Between San Juan and Indianapolis, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Indianapolis'}
{'statement': 'Between Garissa and Erzurum, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Erzurum'}
{'statement': 'Between Wau and Johannesburg, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Johannesburg'}
{'statement': 'Between Mumbai and Punta Arenas, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Punta Arenas'}
{'statement': 'Between Vientiane and Halifax, the city with higher average temperature is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Halifax'}
{'statement': 'Between Thiès and Moscow, the city with higher average temperature is Thiès.', 'answer': 'Thiès', 'candidate': 'Moscow'}
{'statement': 'Between Phnom Penh and Chicago, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Chicago'}
{'statement': 'Between Hanoi and Punta Arenas, the city with higher average temperature is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Punta Arenas'}
{'statement': 'Between Riyadh and Ushuaia, the city with higher average temperature is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Ushuaia'}
{'statement': 'Between Sydney and Kuopio, the city with higher average temperature is Sydney.', 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': 'Between Ouahigouya and Suwałki, the city with higher average temperature is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Suwałki'}
{'statement': 'Between Entebbe and Minneapolis, the city with higher average temperature is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Minneapolis'}
{'statement': 'Between Thiès and Ushuaia, the city with higher average temperature is Thiès.', 'answer': 'Thiès', 'candidate': 'Ushuaia'}
{'statement': 'Between La Paz and Ottawa, the city with higher average temperature is La Paz.', 'answer': 'La Paz', 'candidate': 'Ottawa'}
{'statement': 'Between Garissa and Asmara, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Asmara'}
{'statement': 'Between Garissa and Saskatoon, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Saskatoon'}
{'statement': 'Between Darwin and Fukuoka, the city with higher average temperature is Darwin.', 'answer': 'Darwin', 'candidate': 'Fukuoka'}
{'statement': 'Between Djibouti and Córdoba, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Córdoba'}
{'statement': 'Between Garissa and Mendoza, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Mendoza'}
{'statement': 'Between Hat Yai and Bahía Blanca, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Mombasa and Calgary, the city with higher average temperature is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Calgary'}
{'statement': 'Between Malabo and Hobart, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Hobart'}
{'statement': 'Between San Juan and Reykjavík, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Reykjavík'}
{'statement': 'Between Mexico City and Oslo, the city with higher average temperature is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Oslo'}
{'statement': 'Between Kathmandu and Erzurum, the city with higher average temperature is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Erzurum'}
{'statement': 'Between San Salvador and Lviv, the city with higher average temperature is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Lviv'}
{'statement': 'Between Manila and Ankara, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Ankara'}
{'statement': 'Between Medellín and Chicago, the city with higher average temperature is Medellín.', 'answer': 'Medellín', 'candidate': 'Chicago'}
{'statement': 'Between Thiès and Hobart, the city with higher average temperature is Thiès.', 'answer': 'Thiès', 'candidate': 'Hobart'}
{'statement': 'Between Sokoto and Brussels, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Brussels'}
{'statement': 'Between Cairo and Omaha, the city with higher average temperature is Cairo.', 'answer': 'Cairo', 'candidate': 'Omaha'}
{'statement': 'Between Port Sudan and Christchurch, the city with higher average temperature is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Christchurch'}
{'statement': 'Between Ankara and Novosibirsk, the city with higher average temperature is Ankara.', 'answer': 'Ankara', 'candidate': 'Novosibirsk'}
{'statement': 'Between Abéché and Kuopio, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Kuopio'}
{'statement': 'Between Surabaya and Fukuoka, the city with higher average temperature is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Fukuoka'}
{'statement': 'Between Manaus and Santiago, the city with higher average temperature is Manaus.', 'answer': 'Manaus', 'candidate': 'Santiago'}
{'statement': 'Between San José and Moscow, the city with higher average temperature is San José.', 'answer': 'San José', 'candidate': 'Moscow'}
{'statement': 'Between Pontianak and Rabat, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Rabat'}
{'statement': 'Between Guangzhou and Ushuaia, the city with higher average temperature is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Ushuaia'}
{'statement': 'Between Yaoundé and Indianapolis, the city with higher average temperature is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Indianapolis'}
{'statement': 'Between Cabo San Lucas and Vladivostok, the city with higher average temperature is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Vladivostok'}
{'statement': 'Between Mombasa and Yerevan, the city with higher average temperature is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Yerevan'}
{'statement': 'Between Malabo and Lhasa, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Lhasa'}
{'statement': 'Between Indianapolis and Murmansk, the city with higher average temperature is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Murmansk'}
{'statement': 'Between Muscat and Canberra, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Canberra'}
{'statement': 'Between Malabo and Irkutsk, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Irkutsk'}
{'statement': 'Between Suva and Pittsburgh, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Pittsburgh'}
{'statement': 'Between Brisbane and Dublin, the city with higher average temperature is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Dublin'}
{'statement': 'Between Tabora and Minsk, the city with higher average temperature is Tabora.', 'answer': 'Tabora', 'candidate': 'Minsk'}
