{'statement': 'Between Monterrey and Florianópolis, the city with a smaller population is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Monterrey'}
{'statement': 'Between Saint Petersburg and Kathmandu, the city with a smaller population is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Phoenix and Mandalay, the city with a smaller population is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Phoenix'}
{'statement': 'Between Sydney and Antofagasta, the city with a smaller population is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Sydney'}
{'statement': 'Between Buenos Aires and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Buenos Aires'}
{'statement': 'Between Ürümqi and Cotonou, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ürümqi'}
{'statement': 'Between Tampa and Makurdi, the city with a smaller population is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Tampa'}
{'statement': 'Between Phoenix and Podgorica, the city with a smaller population is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Phoenix'}
{'statement': 'Between Guangzhou and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Guangzhou'}
{'statement': 'Between Medellín and Neuquén, the city with a smaller population is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Medellín'}
{'statement': 'Between Surabaya and Erbil, the city with a smaller population is Erbil.', 'answer': 'Erbil', 'candidate': 'Surabaya'}
{'statement': 'Between Denver and Juba, the city with a smaller population is Juba.', 'answer': 'Juba', 'candidate': 'Denver'}
{'statement': 'Between Lagos and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Lagos'}
{'statement': 'Between Jakarta and Palermo, the city with a smaller population is Palermo.', 'answer': 'Palermo', 'candidate': 'Jakarta'}
{'statement': 'Between Karachi and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Karachi'}
{'statement': 'Between Surabaya and Fukuoka, the city with a smaller population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Surabaya'}
{'statement': 'Between Kabul and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Kabul'}
{'statement': 'Between Lagos and Surabaya, the city with a smaller population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Lagos'}
{'statement': 'Between Bangkok and Curitiba, the city with a smaller population is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Lima'}
