{'statement': 'Between Barranquilla and Sacramento, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Sacramento'}
{'statement': 'Between Suva and Minneapolis, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Minneapolis'}
{'statement': 'Between Port Sudan and Buenos Aires, the city with warmer weather is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Buenos Aires'}
{'statement': 'Between Wau and Bratislava, the city with warmer weather is Wau.', 'answer': 'Wau', 'candidate': 'Bratislava'}
{'statement': 'Between Ho Chi Minh City and Ushuaia, the city with warmer weather is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Ushuaia'}
{'statement': 'Between Managua and Napier, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Napier'}
{'statement': 'Between Bamako and Milwaukee, the city with warmer weather is Bamako.', 'answer': 'Bamako', 'candidate': 'Milwaukee'}
{'statement': 'Between Shanghai and Ottawa, the city with warmer weather is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Ottawa'}
{'statement': 'Between Willemstad and Vienna, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Vienna'}
{'statement': 'Between Bujumbura and Ljubljana, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Ljubljana'}
{'statement': 'Between Guangzhou and Almaty, the city with warmer weather is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Almaty'}
{'statement': 'Between Porto Alegre and Copenhagen, the city with warmer weather is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Copenhagen'}
{'statement': 'Between Luanda and Ürümqi, the city with warmer weather is Luanda.', 'answer': 'Luanda', 'candidate': 'Ürümqi'}
{'statement': 'Between San Juan and Addis Ababa, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Addis Ababa'}
{'statement': 'Between Valencia and Saint Petersburg, the city with warmer weather is Valencia.', 'answer': 'Valencia', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Wau and Anchorage, the city with warmer weather is Wau.', 'answer': 'Wau', 'candidate': 'Anchorage'}
{'statement': 'Between Mombasa and Toluca, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Toluca'}
{'statement': 'Between Dodoma and Saskatoon, the city with warmer weather is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Saskatoon'}
{'statement': 'Between Bujumbura and Indianapolis, the city with warmer weather is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Indianapolis'}
{'statement': 'Between Lusaka and Zürich, the city with warmer weather is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Zürich'}
{'statement': 'Between Honolulu and Rome, the city with warmer weather is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Rome'}
{'statement': 'Between Mumbai and Cape Town, the city with warmer weather is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Cape Town'}
{'statement': 'Between Kunming and Erzurum, the city with warmer weather is Kunming.', 'answer': 'Kunming', 'candidate': 'Erzurum'}
{'statement': 'Between Perth and Nur-Sultan, the city with warmer weather is Perth.', 'answer': 'Perth', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Barranquilla and Yakutsk, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Yakutsk'}
{'statement': 'Between Lusaka and Kuopio, the city with warmer weather is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Kuopio'}
{'statement': 'Between Managua and Reykjavík, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Reykjavík'}
{'statement': 'Between Mandalay and Zürich, the city with warmer weather is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Zürich'}
{'statement': 'Between Guadalajara and Chicago, the city with warmer weather is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Chicago'}
{'statement': 'Between San Juan and Palmerston North, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Palmerston North'}
{'statement': 'Between Hat Yai and Campos do Jordão, the city with warmer weather is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Tamanrasset and Zagreb, the city with warmer weather is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Zagreb'}
{'statement': 'Between Willemstad and Kuopio, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Kuopio'}
{'statement': 'Between Baghdad and Dublin, the city with warmer weather is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Dublin'}
{'statement': 'Between Nouakchott and Rome, the city with warmer weather is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Rome'}
{'statement': 'Between Rangpur and Milan, the city with warmer weather is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Milan'}
{'statement': 'Between Phnom Penh and Christchurch, the city with warmer weather is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Christchurch'}
{'statement': 'Between Caracas and Murmansk, the city with warmer weather is Caracas.', 'answer': 'Caracas', 'candidate': 'Murmansk'}
{'statement': 'Between Kingston and Johannesburg, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Johannesburg'}
{'statement': 'Between Suva and Melbourne, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Melbourne'}
{'statement': 'Between Cotonou and Sapporo, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Sapporo'}
{'statement': 'Between Valencia and Halifax, the city with warmer weather is Valencia.', 'answer': 'Valencia', 'candidate': 'Halifax'}
{'statement': 'Between Port Moresby and Sapporo, the city with warmer weather is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Sapporo'}
{'statement': 'Between Thiès and Frankfurt, the city with warmer weather is Thiès.', 'answer': 'Thiès', 'candidate': 'Frankfurt'}
{'statement': 'Between Ljubljana and Yakutsk, the city with warmer weather is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Yakutsk'}
{'statement': 'Between Lomé and Saskatoon, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'Saskatoon'}
{'statement': 'Between Upington and Irkutsk, the city with warmer weather is Upington.', 'answer': 'Upington', 'candidate': 'Irkutsk'}
{'statement': 'Between Nouadhibou and Halifax, the city with warmer weather is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Halifax'}
{'statement': 'Between Riyadh and Frankfurt, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Frankfurt'}
{'statement': 'Between Sokoto and Sapporo, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Sapporo'}
{'statement': 'Between Tamanrasset and Minneapolis, the city with warmer weather is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Minneapolis'}
{'statement': 'Between Mahajanga and Bergen, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bergen'}
{'statement': 'Between Phnom Penh and Ljubljana, the city with warmer weather is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Ljubljana'}
{'statement': 'Between Ségou and Lhasa, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'Lhasa'}
{'statement': 'Between Albuquerque and Yakutsk, the city with warmer weather is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Yakutsk'}
{'statement': 'Between Bangui and Minneapolis, the city with warmer weather is Bangui.', 'answer': 'Bangui', 'candidate': 'Minneapolis'}
{'statement': 'Between Kano and Belgrade, the city with warmer weather is Kano.', 'answer': 'Kano', 'candidate': 'Belgrade'}
{'statement': 'Between Caracas and Berlin, the city with warmer weather is Caracas.', 'answer': 'Caracas', 'candidate': 'Berlin'}
{'statement': 'Between Gabès and Yakutsk, the city with warmer weather is Gabès.', 'answer': 'Gabès', 'candidate': 'Yakutsk'}
{'statement': 'Between Mombasa and Christchurch, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Christchurch'}
{'statement': 'Between Port Moresby and Irkutsk, the city with warmer weather is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Irkutsk'}
{'statement': 'Between Florianópolis and Novosibirsk, the city with warmer weather is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Novosibirsk'}
{'statement': 'Between Barranquilla and Albuquerque, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Albuquerque'}
{'statement': 'Between Piura and Bratislava, the city with warmer weather is Piura.', 'answer': 'Piura', 'candidate': 'Bratislava'}
{'statement': 'Between Lomé and Belgrade, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'Belgrade'}
