{'statement': "Someone doesn't like expensive restaurants. Between Piper's Pub And Grill and Branca, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between The Duke of Devon and Sweet Jesus, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like expensive restaurants. Between The Empire and Verona Restaurant, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Eastern legend and Hawthorne Food and Drink, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "Someone doesn't like expensive restaurants. Between Solero Mediterranean Bakery and Eggspectation, this person should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like expensive restaurants. Between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between St. Clair Shawarma and Falafel and Watson's, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': "Watson's"}
{'statement': "Someone doesn't like expensive restaurants. Between It's All Grk and Supermodel Pizza, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "It's All Grk"}
{'statement': "Someone doesn't like expensive restaurants. Between Milo's Pita and Roncy's Bean, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': "Someone doesn't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Bagel Nash and Hina Sushi, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Anatolia Restaurant and McDonald's, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Anatolia Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Kairali - Taste of Kerala and Eastern legend, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like expensive restaurants. Between Pisco 1641 and Villa Madina, this person should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like expensive restaurants. Between Itamae Ayce Sushi and KFC, this person should go to KFC.", 'answer': 'KFC', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Falafel House and Mysteriously Yours Dinner Theatre, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between Carole's Cheesecake Cafe and McDonald's, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like expensive restaurants. Between Bonne Journee and Verona Restaurant, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between The Empire and Amaya Express, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like expensive restaurants. Between Thompson Rooftop and Delicious Paradise Kitchen, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Delicious Paradise Kitchen and Domino's Pizza, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like expensive restaurants. Between La Pupusa Loka and Thompson Rooftop, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Aris Place and Modo Mio Italian Bistro, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Tierra Azteca and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Tierra Azteca'}
{'statement': "Someone doesn't like expensive restaurants. Between The Duke of Devon and Just Soups Take Out & Catering, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'The Duke of Devon'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Falafel House, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Galata Cafe and Falafel House, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Galata Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Domino's Pizza and Ici Bistro, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Nook and Sizzlers, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Nook'}
{'statement': "Someone doesn't like expensive restaurants. Between Supermodel Pizza and Sushi Time Japanese Restaurant, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Tian An Cuisine and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Supermodel Pizza and Hina Sushi, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Smoke's Weinerie and To-ne Sushi, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'To-ne Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between El Fogón and Aris Place, this person should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like expensive restaurants. Between Marcello’s pizzeria and Dinah's Cupboard, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Cafe Jules and La Cocina De Dona Luz, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'La Cocina De Dona Luz'}
{'statement': "Someone doesn't like expensive restaurants. Between Marcello’s pizzeria and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Ici Bistro and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Nutella Cafe by Pusateri's"}
