{'statement': 'Between Muscat and Nur-Sultan, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Djibouti and Perth, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Perth'}
{'statement': 'Between Jakarta and Sapporo, the city with higher average temperature is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Sapporo'}
{'statement': 'Between Surabaya and Berlin, the city with higher average temperature is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Berlin'}
{'statement': 'Between Kathmandu and Kuopio, the city with higher average temperature is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Kuopio'}
{'statement': 'Between Muscat and Fianarantsoa, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Fianarantsoa'}
{'statement': 'Between Port Moresby and Antofagasta, the city with higher average temperature is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Antofagasta'}
{'statement': 'Between Quito and Ulaanbaatar, the city with higher average temperature is Quito.', 'answer': 'Quito', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Monterrey and Dublin, the city with higher average temperature is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Dublin'}
{'statement': 'Between Manaus and Kunming, the city with higher average temperature is Manaus.', 'answer': 'Manaus', 'candidate': 'Kunming'}
{'statement': 'Between Kuwait City and Novosibirsk, the city with higher average temperature is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Novosibirsk'}
{'statement': 'Between Willemstad and Murmansk, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Murmansk'}
{'statement': 'Between Barranquilla and Beijing, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Beijing'}
{'statement': 'Between Djibouti and Lusaka, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Lusaka'}
{'statement': 'Between Surabaya and Bergen, the city with higher average temperature is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bergen'}
{'statement': 'Between Melbourne and Ulaanbaatar, the city with higher average temperature is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Córdoba and Oslo, the city with higher average temperature is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Oslo'}
{'statement': 'Between Parakou and Ushuaia, the city with higher average temperature is Parakou.', 'answer': 'Parakou', 'candidate': 'Ushuaia'}
{'statement': 'Between Juba and Ottawa, the city with higher average temperature is Juba.', 'answer': 'Juba', 'candidate': 'Ottawa'}
{'statement': 'Between Phnom Penh and Antofagasta, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Antofagasta'}
{'statement': 'Between Baghdad and Vienna, the city with higher average temperature is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Vienna'}
{'statement': 'Between La Paz and Minneapolis, the city with higher average temperature is La Paz.', 'answer': 'La Paz', 'candidate': 'Minneapolis'}
{'statement': 'Between Bogotá and Fairbanks, the city with higher average temperature is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Fairbanks'}
{'statement': 'Between Djibouti and Baltimore, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Baltimore'}
